series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Age	Freq	Units	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	last.5.years.mean	latest.year	latest.value	latest.source
2017.Q2.G.01	SH_DYN_IMRTN	Infant deaths, total (number)	48	50.5490754	26.04407747	BHR	Bahrain	1	<1Y	ANNUAL	NUMBER	139	134	132	132	133	137	138	136	136	134	129	131	131	127	123	115	125.4	2015	115	United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2015.
2017.Q2.G.01	SH_DYN_IMRTN	Infant deaths, total (number)	50	89.17660788	22.86961622	BGD	Bangladesh	1	<1Y	ANNUAL	NUMBER	231531	220326	209459	198448	187575	175795	164532	152606	141628	131519	123231	116322	110578	105556	101722	97478	106331.2	2015	97478	United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2015.
2017.Q2.G.01	SH_DYN_IMRTN	Infant deaths, total (number)	51	44.93839317	40.29499741	ARM	Armenia	1	<1Y	ANNUAL	NUMBER	941	920	936	959	976	971	946	904	855	802	749	696	649	598	556	513	602.4	2015	513	United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2015.
2017.Q2.G.01	SH_DYN_IMRTN	Infant deaths, total (number)	52	-59.5346489	13.13648273	BRB	Barbados	1	<1Y	ANNUAL	NUMBER	52	53	54	55	56	55	54	51	49	47	45	44	43	43	42	41	42.6	2015	41	United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2015.
2017.Q2.G.01	SH_DYN_IMRTN	Infant deaths, total (number)	56	4.660976456	50.64104975	BEL	Belgium	1	<1Y	ANNUAL	NUMBER	520	501	489	481	497	500	500	498	495	487	477	462	457	437	432	417	441	2015	417	United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2015.
2017.Q2.G.01	SH_DYN_IMRTN	Infant deaths, total (number)	60	-64.78155012	32.27881922	BMU	Bermuda	1	<1Y	ANNUAL	NUMBER																				
2017.Q2.G.01	SH_DYN_IMRTN	Infant deaths, total (number)	64	90.45098484	27.39598568	BTN	Bhutan	1	<1Y	ANNUAL	NUMBER	930	872	814	758	706	662	631	605	581	552	516	475	432	391	358	335	398.2	2015	335	United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2015.
2017.Q2.G.01	SH_DYN_IMRTN	Infant deaths, total (number)	68	-64.66224284	-16.71273412	BOL	Bolivia (Plurinational State of)	1	<1Y	ANNUAL	NUMBER	14845	14173	13501	12818	12169	11589	11023	10475	9985	9541	9137	8731	8369	8039	7756	7504	8079.8	2015	7504	United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2015.
2017.Q2.G.01	SH_DYN_IMRTN	Infant deaths, total (number)	70	17.78584332	44.16845548	BIH	Bosnia and Herzegovina	1	<1Y	ANNUAL	NUMBER	384	335	276	220	182	167	180	209	247	270	276	267	241	208	182	159	211.4	2015	159	United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2015.
2017.Q2.G.01	SH_DYN_IMRTN	Infant deaths, total (number)	72	23.81380223	-22.18810073	BWA	Botswana	1	<1Y	ANNUAL	NUMBER	2464	2407	2338	2299	2262	2071	2045	2165	2206	2113	2044	2115	2091	2049	2042	2007	2060.8	2015	2007	United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2015.
2017.Q2.G.01	SH_DYN_IMRTN	Infant deaths, total (number)	74	3.410732868	-54.43295905	BVT	Bouvet Island	1	<1Y	ANNUAL	NUMBER																				
2017.Q2.G.01	SH_DYN_IMRTN	Infant deaths, total (number)	76	-53.08432878	-10.77668561	BRA	Brazil	1	<1Y	ANNUAL	NUMBER	107590	99482	91386	82761	75013	67255	60204	53879	48626	44529	42049	41324	42305	43966	45682	46995	44054.4	2015	46995	United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2015.
2017.Q2.G.01	SH_DYN_IMRTN	Infant deaths, total (number)	84	-88.70199554	17.19965901	BLZ	Belize	1	<1Y	ANNUAL	NUMBER	162	158	153	148	143	138	133	129	125	122	120	120	120	121	121	120	120.4	2015	120	United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2015.
2017.Q2.G.01	SH_DYN_IMRTN	Infant deaths, total (number)	86	72.38715553	-7.299281071	IOT	British Indian Ocean Territory	1	<1Y	ANNUAL	NUMBER																				
2017.Q2.G.01	SH_DYN_IMRTN	Infant deaths, total (number)	90	160.1584117	-9.622391719	SLB	Solomon Islands	1	<1Y	ANNUAL	NUMBER	379	386	397	408	421	434	445	454	456	456	452	444	433	421	407	395	420	2015	395	United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2015.
2017.Q2.G.01	SH_DYN_IMRTN	Infant deaths, total (number)	92	-64.63294223	18.42256578	VGB	British Virgin Islands	1	<1Y	ANNUAL	NUMBER																				
2017.Q2.G.01	SH_DYN_IMRTN	Infant deaths, total (number)	96	114.6288563	4.49736984	BRN	Brunei Darussalam	1	<1Y	ANNUAL	NUMBER	51	49	49	48	47	46	45	43	43	43	45	48	54	59	64	66	58.2	2015	66	United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2015.
2017.Q2.G.01	SH_DYN_IMRTN	Infant deaths, total (number)	100	25.23763153	42.75731323	BGR	Bulgaria	1	<1Y	ANNUAL	NUMBER	1187	1133	1073	1015	960	910	894	891	893	894	872	824	750	671	604	557	681.2	2015	557	United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2015.
2017.Q2.G.01	SH_DYN_IMRTN	Infant deaths, total (number)	104	96.51752295	21.19332882	MMR	Myanmar	1	<1Y	ANNUAL	NUMBER	69913	68872	67648	66090	64040	61438	58240	54659	56086	47633	44646	42234	40219	38559	37267	36176	38891	2015	36176	United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2015.
2017.Q2.G.01	SH_DYN_IMRTN	Infant deaths, total (number)	108	29.89080992	-3.366387428	BDI	Burundi	1	<1Y	ANNUAL	NUMBER	25794	25533	25512	25569	25737	25892	25939	26006	26031	26082	26039	25932	25698	25435	25172	24956	25438.6	2015	24956	United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2015.
2017.Q2.G.01	SH_DYN_IMRTN	Infant deaths, total (number)	112	28.04940161	53.54193075	BLR	Belarus	1	<1Y	ANNUAL	NUMBER	1051	961	879	824	770	735	687	637	586	546	519	492	478	471	442	428	462.2	2015	428	United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2015.
2017.Q2.G.01	SH_DYN_IMRTN	Infant deaths, total (number)	116	104.922836	12.71163737	KHM	Cambodia	1	<1Y	ANNUAL	NUMBER	24931	23070	21358	19975	18972	18148	17473	16807	16061	15114	13992	12731	11460	10360	9461	8759	10554.2	2015	8759	United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2015.
2017.Q2.G.01	SH_DYN_IMRTN	Infant deaths, total (number)	120	12.7419827	5.692387031	CMR	Cameroon	1	<1Y	ANNUAL	NUMBER	58028	57753	57196	56594	56051	55508	54610	53782	52768	51947	50648	49922	49046	48149	47365	46762	48248.8	2015	46762	United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2015.
2017.Q2.G.01	SH_DYN_IMRTN	Infant deaths, total (number)	124	-101.6575058	57.72360191	CAN	Canada	1	<1Y	ANNUAL	NUMBER	1671	1685	1698	1704	1756	1847	1871	1898	1918	1960	1939	1852	1822	1743	1636	1587	1728	2015	1587	United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2015.
2017.Q2.G.01	SH_DYN_IMRTN	Infant deaths, total (number)	132	-23.63544151	15.07791834	CPV	Cabo Verde	1	<1Y	ANNUAL	NUMBER	367	330	298	276	262	255	257	261	265	268	267	261	253	244	235	226	243.8	2015	226	United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2015.
2017.Q2.G.01	SH_DYN_IMRTN	Infant deaths, total (number)	136	-81.16740559	19.32266656	CYM	Cayman Islands	1	<1Y	ANNUAL	NUMBER																				
2017.Q2.G.01	SH_DYN_IMRTN	Infant deaths, total (number)	140	20.93559492	7.003720791	CAF	Central African Republic	1	<1Y	ANNUAL	NUMBER	16424	16478	16403	16254	16071	15885	15640	15428	15241	15058	14969	14936	14984	15125	15049	14981	15015	2015	14981	United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2015.
2017.Q2.G.01	SH_DYN_IMRTN	Infant deaths, total (number)	144	80.70489654	7.614693343	LKA	Sri Lanka	1	<1Y	ANNUAL	NUMBER	4698	4618	4591	4657	5637	4520	4283	4011	3788	3547	3369	3179	3014	2851	2738	2620	2880.4	2015	2620	United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2015.
2017.Q2.G.01	SH_DYN_IMRTN	Infant deaths, total (number)	148	18.66618401	15.36279341	TCD	Chad	1	<1Y	ANNUAL	NUMBER	42726	43680	44673	45727	46769	47752	48601	49198	49682	50040	50467	50650	50852	50995	51181	51335	51002.6	2015	51335	United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2015.
2017.Q2.G.01	SH_DYN_IMRTN	Infant deaths, total (number)	152	-71.23029019	-35.2652885	CHL	Chile	1	<1Y	ANNUAL	NUMBER	2345	2207	2090	1997	1956	1892	1855	1843	1833	1800	1815	1781	1749	1717	1687	1636	1714	2015	1636	United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2015.
2017.Q2.G.01	SH_DYN_IMRTN	Infant deaths, total (number)	156	104.1403375	32.30955217	CHN	China	1	<1Y	ANNUAL	NUMBER	472967	457841	435516	410531	381407	350485	320578	289733	260204	235968	216375	201706	188741	177504	166402	156450	178160.6	2015	156450	United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2015.
2017.Q2.G.01	SH_DYN_IMRTN	Infant deaths, total (number)	162	105.6426067	-10.4882473	CXR	Christmas Island	1	<1Y	ANNUAL	NUMBER																				
2017.Q2.G.01	SH_DYN_IMRTN	Infant deaths, total (number)	166	96.82633757	-12.18600682	CCK	Cocos (Keeling) Islands	1	<1Y	ANNUAL	NUMBER																				
2017.Q2.G.01	SH_DYN_IMRTN	Infant deaths, total (number)	170	-73.07446751	3.888209046	COL	Colombia	1	<1Y	ANNUAL	NUMBER	17365	16923	16642	16410	16179	15778	15082	14342	13627	12866	12208	11680	11232	10910	10595	10183	10920	2015	10183	United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2015.
2017.Q2.G.01	SH_DYN_IMRTN	Infant deaths, total (number)	174	43.34234565	-11.66121732	COM	Comoros	1	<1Y	ANNUAL	NUMBER	1468	1490	1514	1531	1543	1546	1545	1546	1542	1531	1524	1506	1495	1478	1456	1433	1473.6	2015	1433	United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2015.
2017.Q2.G.01	SH_DYN_IMRTN	Infant deaths, total (number)	175	45.14015057	-12.82217691	MYT	Mayotte	1	<1Y	ANNUAL	NUMBER																				
2017.Q2.G.01	SH_DYN_IMRTN	Infant deaths, total (number)	178	15.22052612	-0.840544119	COG	Congo	1	<1Y	ANNUAL	NUMBER	8967	9051	8956	8703	8383	8035	7654	7293	6942	6607	6310	6065	5880	5714	5556	5426	5728.2	2015	5426	United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2015.
2017.Q2.G.01	SH_DYN_IMRTN	Infant deaths, total (number)	180	23.65496507	-2.877154732	COD	Democratic Republic of the Congo	1	<1Y	ANNUAL	NUMBER	231614	232960	235249	238095	240721	242062	241562	240582	239523	238317	237711	236512	235628	234375	234269	233339	234824.6	2015	233339	United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2015.
2017.Q2.G.01	SH_DYN_IMRTN	Infant deaths, total (number)	184	-159.7711391	-21.22696458	COK	Cook Islands	1	<1Y	ANNUAL	NUMBER	6	5	5	4	4	4	4	4	3	3	3	3	3	3	3	2	2.8	2015	2	United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2015.
2017.Q2.G.01	SH_DYN_IMRTN	Infant deaths, total (number)	188	-84.19712782	9.970998683	CRI	Costa Rica	1	<1Y	ANNUAL	NUMBER	878	803	741	680	642	621	620	636	656	672	678	665	650	622	597	577	622.2	2015	577	United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2015.
2017.Q2.G.01	SH_DYN_IMRTN	Infant deaths, total (number)	191	17.95874553	45.45172212	HRV	Croatia	1	<1Y	ANNUAL	NUMBER	380	348	301	253	219	197	197	206	218	229	229	212	192	174	152	135	173	2015	135	United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2015.
2017.Q2.G.01	SH_DYN_IMRTN	Infant deaths, total (number)	192	-79.54460144	22.10030366	CUB	Cuba	1	<1Y	ANNUAL	NUMBER	1007	934	875	793	728	660	615	590	569	564	584	571	547	524	486	469	519.4	2015	469	United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2015.
2017.Q2.G.01	SH_DYN_IMRTN	Infant deaths, total (number)	196	33.22285964	35.05659437	CYP	Cyprus	1	<1Y	ANNUAL	NUMBER	68	62	56	52	49	46	44	43	42	41	40	39	37	36	34	32	35.6	2015	32	United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2015.
2017.Q2.G.01	SH_DYN_IMRTN	Infant deaths, total (number)	203	15.33151382	49.73913871	CZE	Czechia	1	<1Y	ANNUAL	NUMBER	396	394	420	446	475	492	494	473	467	441	408	370	349	306	279	262	313.2	2015	262	United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2015.
2017.Q2.G.01	SH_DYN_IMRTN	Infant deaths, total (number)	204	2.339933594	9.65401646	BEN	Benin	1	<1Y	ANNUAL	NUMBER	25517	25548	25536	25528	25469	25391	25247	25110	24992	24876	24776	24709	24587	24458	24258	24069	24416.2	2015	24069	United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2015.
2017.Q2.G.01	SH_DYN_IMRTN	Infant deaths, total (number)	208	9.326571283	56.03829721	DNK	Denmark	1	<1Y	ANNUAL	NUMBER	290	282	283	279	270	267	257	248	244	237	219	204	192	173	158	150	175.4	2015	150	United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2015.
2017.Q2.G.01	SH_DYN_IMRTN	Infant deaths, total (number)	212	-61.3493756	15.43391378	DMA	Dominica	1	<1Y	ANNUAL	NUMBER	14	13	12	12	13	13	14	15	16	17	18	19	20	21	21	21	20.4	2015	21	United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2015.
2017.Q2.G.01	SH_DYN_IMRTN	Infant deaths, total (number)	214	-70.49847576	18.89832088	DOM	Dominican Republic	1	<1Y	ANNUAL	NUMBER	6876	6785	6769	6794	6793	6757	6652	6498	6339	6181	6047	5947	5865	5792	5690	5572	5773.2	2015	5572	United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2015.
2017.Q2.G.01	SH_DYN_IMRTN	Infant deaths, total (number)	218	-78.37005241	-1.447785891	ECU	Ecuador	1	<1Y	ANNUAL	NUMBER	8976	8626	8276	7957	7703	7503	7396	7332	7281	7207	7085	6908	6693	6455	6251	6027	6466.8	2015	6027	United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2015.
2017.Q2.G.01	SH_DYN_IMRTN	Infant deaths, total (number)	222	-88.86862995	13.73603564	SLV	El Salvador	1	<1Y	ANNUAL	NUMBER	3754	3448	3149	2895	2667	2470	2327	2220	2126	2042	1961	1863	1770	1665	1580	1509	1677.4	2015	1509	United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2015.
2017.Q2.G.01	SH_DYN_IMRTN	Infant deaths, total (number)	226	10.46535826	1.565792376	GNQ	Equatorial Guinea	1	<1Y	ANNUAL	NUMBER	2150	2139	2120	2099	2078	2065	2060	2060	2061	2060	2055	2038	2013	1989	1968	1940	1989.6	2015	1940	United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2015.
2017.Q2.G.01	SH_DYN_IMRTN	Infant deaths, total (number)	231	39.63505296	8.631223181	ETH	Ethiopia	1	<1Y	ANNUAL	NUMBER	259828	251897	241288	228587	215172	201578	188838	176483	165708	156463	149585	143719	139264	136073	133012	129947	136403	2015	129947	United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2015.
2017.Q2.G.01	SH_DYN_IMRTN	Infant deaths, total (number)	232	38.11074289	16.12894644	ERI	Eritrea	1	<1Y	ANNUAL	NUMBER	7223	7251	7335	7433	7488	7434	7368	7228	7034	6829	6619	6398	6161	5960	5781	5652	5990.4	2015	5652	United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2015.
2017.Q2.G.01	SH_DYN_IMRTN	Infant deaths, total (number)	233	25.84093481	58.68487172	EST	Estonia	1	<1Y	ANNUAL	NUMBER	108	107	103	99	95	90	85	79	74	67	59	50	42	36	32	28	37.6	2015	28	United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2015.
2017.Q2.G.01	SH_DYN_IMRTN	Infant deaths, total (number)	234	-7.122044325	62.21228119	FRO	Faroe Islands	1	<1Y	ANNUAL	NUMBER																				
2017.Q2.G.01	SH_DYN_IMRTN	Infant deaths, total (number)	238	-58.75246778	-51.74562601	FLK	Falkland Islands (Malvinas)	1	<1Y	ANNUAL	NUMBER																				
2017.Q2.G.01	SH_DYN_IMRTN	Infant deaths, total (number)	239	-36.90662765	-54.20736749	SGS	South Georgia and the South Sandwich Islands	1	<1Y	ANNUAL	NUMBER																				
2017.Q2.G.01	SH_DYN_IMRTN	Infant deaths, total (number)	242	177.9660884	-17.83301566	FJI	Fiji	1	<1Y	ANNUAL	NUMBER	407	396	390	385	387	389	391	393	394	393	390	380	370	355	340	328	354.6	2015	328	United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2015.
2017.Q2.G.01	SH_DYN_IMRTN	Infant deaths, total (number)	246	23.308447	61.91586738	FIN	Finland	1	<1Y	ANNUAL	NUMBER	182	175	179	181	183	184	176	179	168	163	156	148	134	125	117	110	126.8	2015	110	United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2015.
2017.Q2.G.01	SH_DYN_IMRTN	Infant deaths, total (number)	248	19.80945969	60.1544901	ALA	Åland Islands	1	<1Y	ANNUAL	NUMBER																				
2017.Q2.G.01	SH_DYN_IMRTN	Infant deaths, total (number)	250	2.457288129	46.62660861	FRA	France	1	<1Y	ANNUAL	NUMBER	3364	3396	3263	3122	3054	2981	2908	2830	2750	2747	2745	2747	2749	2830	2829	2747	2780.4	2015	2747	United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2015.
2017.Q2.G.01	SH_DYN_IMRTN	Infant deaths, total (number)	254	-53.23619089	3.922673437	GUF	French Guiana	1	<1Y	ANNUAL	NUMBER																				
2017.Q2.G.01	SH_DYN_IMRTN	Infant deaths, total (number)	258	-149.4052367	-17.67709294	PYF	French Polynesia	1	<1Y	ANNUAL	NUMBER																				
2017.Q2.G.01	SH_DYN_IMRTN	Infant deaths, total (number)	260	69.64849091	-49.6068576	ATF	French Southern Territories	1	<1Y	ANNUAL	NUMBER																				
2017.Q2.G.01	SH_DYN_IMRTN	Infant deaths, total (number)	262	42.18274707	11.56004161	DJI	Djibouti	1	<1Y	ANNUAL	NUMBER	1726	1708	1686	1658	1627	1586	1534	1472	1411	1356	1314	1281	1259	1242	1220	1190	1238.4	2015	1190	United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2015.
2017.Q2.G.01	SH_DYN_IMRTN	Infant deaths, total (number)	266	11.78727747	-0.60687619	GAB	Gabon	1	<1Y	ANNUAL	NUMBER	2225	2207	2179	2148	2120	2102	2096	2079	2060	2047	2032	2004	1965	1912	1885	1852	1923.6	2015	1852	United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2015.
2017.Q2.G.01	SH_DYN_IMRTN	Infant deaths, total (number)	268	43.3713615	42.04813028	GEO	Georgia	1	<1Y	ANNUAL	NUMBER	1599	1488	1416	1365	1316	1268	1202	1134	1068	1005	939	863	789	723	662	601	727.6	2015	601	United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2015.
2017.Q2.G.01	SH_DYN_IMRTN	Infant deaths, total (number)	270	-15.39944785	13.45295927	GMB	Gambia	1	<1Y	ANNUAL	NUMBER	3403	3415	3427	3448	3471	3499	3519	3545	3587	3625	3674	3730	3790	3855	3901	3938	3842.8	2015	3938	United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2015.
2017.Q2.G.01	SH_DYN_IMRTN	Infant deaths, total (number)	275	35.25694122	31.94347933	PSE	State of Palestine	1	<1Y	ANNUAL	NUMBER	2950	2872	2795	2732	2684	2660	2658	2676	2706	2736	2772	2776	2773	2765	2737	2705	2751.2	2015	2705	United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2015.
2017.Q2.G.01	SH_DYN_IMRTN	Infant deaths, total (number)	276	10.3806066	51.08862743	DEU	Germany	1	<1Y	ANNUAL	NUMBER	3602	3451	3234	2987	2758	2578	2457	2377	2326	2352	2313	2265	2219	2240	2191	2140	2211	2015	2140	United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2015.
2017.Q2.G.01	SH_DYN_IMRTN	Infant deaths, total (number)	288	-1.205623522	7.964825185	GHA	Ghana	1	<1Y	ANNUAL	NUMBER	40269	40024	40086	40378	40649	40857	40802	40561	40167	39767	39436	39300	39253	39186	38970	38211	38984	2015	38211	United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2015.
2017.Q2.G.01	SH_DYN_IMRTN	Infant deaths, total (number)	292	-5.347561686	36.13895036	GIB	Gibraltar	1	<1Y	ANNUAL	NUMBER																				
2017.Q2.G.01	SH_DYN_IMRTN	Infant deaths, total (number)	296	-157.5643005	1.768837732	KIR	Kiribati	1	<1Y	ANNUAL	NUMBER	137	124	109	94	86	87	100	121	145	164	173	171	161	146	132	123	146.6	2015	123	United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2015.
2017.Q2.G.01	SH_DYN_IMRTN	Infant deaths, total (number)	300	22.58307827	39.47301873	GRC	Greece	1	<1Y	ANNUAL	NUMBER	718	676	626	577	550	514	500	487	484	478	469	459	446	430	408	382	425	2015	382	United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2015.
2017.Q2.G.01	SH_DYN_IMRTN	Infant deaths, total (number)	304	-41.39371316	74.75625681	GRL	Greenland	1	<1Y	ANNUAL	NUMBER																				
2017.Q2.G.01	SH_DYN_IMRTN	Infant deaths, total (number)	308	-61.68248568	12.11238395	GRD	Grenada	1	<1Y	ANNUAL	NUMBER	30	29	27	25	23	22	23	23	24	25	26	25	25	24	23	21	23.6	2015	21	United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2015.
2017.Q2.G.01	SH_DYN_IMRTN	Infant deaths, total (number)	312	-61.64762115	16.14416917	GLP	Guadeloupe	1	<1Y	ANNUAL	NUMBER																				
2017.Q2.G.01	SH_DYN_IMRTN	Infant deaths, total (number)	316	144.7029305	13.35485404	GUM	Guam	1	<1Y	ANNUAL	NUMBER																				
2017.Q2.G.01	SH_DYN_IMRTN	Infant deaths, total (number)	320	-91.2312746	15.00273719	GTM	Guatemala	1	<1Y	ANNUAL	NUMBER	15983	15496	15032	14652	14203	13798	13290	12797	12349	11985	11684	11460	11281	11200	11040	10818	11159.8	2015	10818	United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2015.
