series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Freq	Location	Units	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2017.Q2.G.01	SI_POV_NAHC	Proportion of population living below the national poverty line, total and by rural/urban (%)	12	2.678164227	28.15940032	DZA	Algeria	2	ANNUAL	ALLAREA	PERCENT																						5.5					5.5	2011	5.5		CA
2017.Q2.G.01	SI_POV_NAHC	Proportion of population living below the national poverty line, total and by rural/urban (%)	12	2.678164227	28.15940032	DZA	Algeria	3	ANNUAL	RURAL	PERCENT																						4.8					4.8	2011	4.8		CA
2017.Q2.G.01	SI_POV_NAHC	Proportion of population living below the national poverty line, total and by rural/urban (%)	16	-170.7187269	-14.30587306	ASM	American Samoa	1	ANNUAL	URBAN	PERCENT																															
2017.Q2.G.01	SI_POV_NAHC	Proportion of population living below the national poverty line, total and by rural/urban (%)	16	-170.7187269	-14.30587306	ASM	American Samoa	2	ANNUAL	ALLAREA	PERCENT																															
2017.Q2.G.01	SI_POV_NAHC	Proportion of population living below the national poverty line, total and by rural/urban (%)	16	-170.7187269	-14.30587306	ASM	American Samoa	3	ANNUAL	RURAL	PERCENT																															
2017.Q2.G.01	SI_POV_NAHC	Proportion of population living below the national poverty line, total and by rural/urban (%)	20	1.576257417	42.54548611	AND	Andorra	1	ANNUAL	URBAN	PERCENT																															
2017.Q2.G.01	SI_POV_NAHC	Proportion of population living below the national poverty line, total and by rural/urban (%)	20	1.576257417	42.54548611	AND	Andorra	2	ANNUAL	ALLAREA	PERCENT																															
2017.Q2.G.01	SI_POV_NAHC	Proportion of population living below the national poverty line, total and by rural/urban (%)	20	1.576257417	42.54548611	AND	Andorra	3	ANNUAL	RURAL	PERCENT																															
2017.Q2.G.01	SI_POV_NAHC	Proportion of population living below the national poverty line, total and by rural/urban (%)	24	17.57817062	-12.33724746	AGO	Angola	1	ANNUAL	URBAN	PERCENT																			18.7									2008	18.7		CA
2017.Q2.G.01	SI_POV_NAHC	Proportion of population living below the national poverty line, total and by rural/urban (%)	24	17.57817062	-12.33724746	AGO	Angola	2	ANNUAL	ALLAREA	PERCENT																			36.6									2008	36.6		CA
2017.Q2.G.01	SI_POV_NAHC	Proportion of population living below the national poverty line, total and by rural/urban (%)	24	17.57817062	-12.33724746	AGO	Angola	3	ANNUAL	RURAL	PERCENT																			58.3									2008	58.3		CA
2017.Q2.G.01	SI_POV_NAHC	Proportion of population living below the national poverty line, total and by rural/urban (%)	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	1	ANNUAL	URBAN	PERCENT																															
2017.Q2.G.01	SI_POV_NAHC	Proportion of population living below the national poverty line, total and by rural/urban (%)	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	2	ANNUAL	ALLAREA	PERCENT																															
2017.Q2.G.01	SI_POV_NAHC	Proportion of population living below the national poverty line, total and by rural/urban (%)	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	3	ANNUAL	RURAL	PERCENT																															
2017.Q2.G.01	SI_POV_NAHC	Proportion of population living below the national poverty line, total and by rural/urban (%)	31	50.01064725	40.39229544	AZE	Azerbaijan	1	ANNUAL	URBAN	PERCENT												55.7																2001	55.7		CA
2017.Q2.G.01	SI_POV_NAHC	Proportion of population living below the national poverty line, total and by rural/urban (%)	31	50.01064725	40.39229544	AZE	Azerbaijan	2	ANNUAL	ALLAREA	PERCENT												49.6						15.8	13.2	10.9	9.1	7.6	6				6.8	2012	6		CA
2017.Q2.G.01	SI_POV_NAHC	Proportion of population living below the national poverty line, total and by rural/urban (%)	31	50.01064725	40.39229544	AZE	Azerbaijan	3	ANNUAL	RURAL	PERCENT												42.5																2001	42.5		CA
2017.Q2.G.01	SI_POV_NAHC	Proportion of population living below the national poverty line, total and by rural/urban (%)	32	-65.14563274	-35.19446255	ARG	Argentina	1	ANNUAL	URBAN	PERCENT														47.8	40.2	33.8	26.9	20.6	15.3	13.2	9.9	6.5	5.4	4.7			5.53333333333333	2013	4.7		CA
2017.Q2.G.01	SI_POV_NAHC	Proportion of population living below the national poverty line, total and by rural/urban (%)	32	-65.14563274	-35.19446255	ARG	Argentina	2	ANNUAL	ALLAREA	PERCENT																															
2017.Q2.G.01	SI_POV_NAHC	Proportion of population living below the national poverty line, total and by rural/urban (%)	32	-65.14563274	-35.19446255	ARG	Argentina	3	ANNUAL	RURAL	PERCENT																															
2017.Q2.G.01	SI_POV_NAHC	Proportion of population living below the national poverty line, total and by rural/urban (%)	36	134.3499412	-25.57717202	AUS	Australia	1	ANNUAL	URBAN	PERCENT																															
2017.Q2.G.01	SI_POV_NAHC	Proportion of population living below the national poverty line, total and by rural/urban (%)	36	134.3499412	-25.57717202	AUS	Australia	2	ANNUAL	ALLAREA	PERCENT																															
2017.Q2.G.01	SI_POV_NAHC	Proportion of population living below the national poverty line, total and by rural/urban (%)	36	134.3499412	-25.57717202	AUS	Australia	3	ANNUAL	RURAL	PERCENT																															
2017.Q2.G.01	SI_POV_NAHC	Proportion of population living below the national poverty line, total and by rural/urban (%)	40	14.14172472	47.58704857	AUT	Austria	1	ANNUAL	URBAN	PERCENT																															
2017.Q2.G.01	SI_POV_NAHC	Proportion of population living below the national poverty line, total and by rural/urban (%)	40	14.14172472	47.58704857	AUT	Austria	2	ANNUAL	ALLAREA	PERCENT																															
2017.Q2.G.01	SI_POV_NAHC	Proportion of population living below the national poverty line, total and by rural/urban (%)	40	14.14172472	47.58704857	AUT	Austria	3	ANNUAL	RURAL	PERCENT																															
2017.Q2.G.01	SI_POV_NAHC	Proportion of population living below the national poverty line, total and by rural/urban (%)	44	-78.05111663	24.69546597	BHS	Bahamas	1	ANNUAL	URBAN	PERCENT																															
2017.Q2.G.01	SI_POV_NAHC	Proportion of population living below the national poverty line, total and by rural/urban (%)	44	-78.05111663	24.69546597	BHS	Bahamas	2	ANNUAL	ALLAREA	PERCENT																															
2017.Q2.G.01	SI_POV_NAHC	Proportion of population living below the national poverty line, total and by rural/urban (%)	44	-78.05111663	24.69546597	BHS	Bahamas	3	ANNUAL	RURAL	PERCENT																															
2017.Q2.G.01	SI_POV_NAHC	Proportion of population living below the national poverty line, total and by rural/urban (%)	48	50.5490754	26.04407747	BHR	Bahrain	1	ANNUAL	URBAN	PERCENT																															
2017.Q2.G.01	SI_POV_NAHC	Proportion of population living below the national poverty line, total and by rural/urban (%)	48	50.5490754	26.04407747	BHR	Bahrain	2	ANNUAL	ALLAREA	PERCENT																															
2017.Q2.G.01	SI_POV_NAHC	Proportion of population living below the national poverty line, total and by rural/urban (%)	48	50.5490754	26.04407747	BHR	Bahrain	3	ANNUAL	RURAL	PERCENT																															
2017.Q2.G.01	SI_POV_NAHC	Proportion of population living below the national poverty line, total and by rural/urban (%)	50	89.17660788	22.86961622	BGD	Bangladesh	1	ANNUAL	URBAN	PERCENT											35.2					28.4					21.3							2010	21.3		CA
2017.Q2.G.01	SI_POV_NAHC	Proportion of population living below the national poverty line, total and by rural/urban (%)	50	89.17660788	22.86961622	BGD	Bangladesh	2	ANNUAL	ALLAREA	PERCENT											48.9					40					31.5							2010	31.5		CA
2017.Q2.G.01	SI_POV_NAHC	Proportion of population living below the national poverty line, total and by rural/urban (%)	50	89.17660788	22.86961622	BGD	Bangladesh	3	ANNUAL	RURAL	PERCENT											52.3					43.8					35.2							2010	35.2		CA
2017.Q2.G.01	SI_POV_NAHC	Proportion of population living below the national poverty line, total and by rural/urban (%)	51	44.93839317	40.29499741	ARM	Armenia	1	ANNUAL	URBAN	PERCENT												48.5							27.6	33.7	35.7	35.2	32.5	32.2	30		32.475	2014	30		CA
2017.Q2.G.01	SI_POV_NAHC	Proportion of population living below the national poverty line, total and by rural/urban (%)	51	44.93839317	40.29499741	ARM	Armenia	2	ANNUAL	ALLAREA	PERCENT												48.3							27.6	34.1	35.8	35	32.4	32	30		32.35	2014	30		CA
2017.Q2.G.01	SI_POV_NAHC	Proportion of population living below the national poverty line, total and by rural/urban (%)	51	44.93839317	40.29499741	ARM	Armenia	3	ANNUAL	RURAL	PERCENT												47.9							27.5	34.9	36	34.5	32.1	31.7	29.9		32.05	2014	29.9		CA
2017.Q2.G.01	SI_POV_NAHC	Proportion of population living below the national poverty line, total and by rural/urban (%)	52	-59.5346489	13.13648273	BRB	Barbados	1	ANNUAL	URBAN	PERCENT																															
2017.Q2.G.01	SI_POV_NAHC	Proportion of population living below the national poverty line, total and by rural/urban (%)	52	-59.5346489	13.13648273	BRB	Barbados	2	ANNUAL	ALLAREA	PERCENT																															
2017.Q2.G.01	SI_POV_NAHC	Proportion of population living below the national poverty line, total and by rural/urban (%)	52	-59.5346489	13.13648273	BRB	Barbados	3	ANNUAL	RURAL	PERCENT																															
2017.Q2.G.01	SI_POV_NAHC	Proportion of population living below the national poverty line, total and by rural/urban (%)	56	4.660976456	50.64104975	BEL	Belgium	1	ANNUAL	URBAN	PERCENT																															
2017.Q2.G.01	SI_POV_NAHC	Proportion of population living below the national poverty line, total and by rural/urban (%)	56	4.660976456	50.64104975	BEL	Belgium	2	ANNUAL	ALLAREA	PERCENT																															
2017.Q2.G.01	SI_POV_NAHC	Proportion of population living below the national poverty line, total and by rural/urban (%)	56	4.660976456	50.64104975	BEL	Belgium	3	ANNUAL	RURAL	PERCENT																															
2017.Q2.G.01	SI_POV_NAHC	Proportion of population living below the national poverty line, total and by rural/urban (%)	60	-64.78155012	32.27881922	BMU	Bermuda	1	ANNUAL	URBAN	PERCENT																															
2017.Q2.G.01	SI_POV_NAHC	Proportion of population living below the national poverty line, total and by rural/urban (%)	60	-64.78155012	32.27881922	BMU	Bermuda	2	ANNUAL	ALLAREA	PERCENT																															
2017.Q2.G.01	SI_POV_NAHC	Proportion of population living below the national poverty line, total and by rural/urban (%)	60	-64.78155012	32.27881922	BMU	Bermuda	3	ANNUAL	RURAL	PERCENT																															
2017.Q2.G.01	SI_POV_NAHC	Proportion of population living below the national poverty line, total and by rural/urban (%)	64	90.45098484	27.39598568	BTN	Bhutan	1	ANNUAL	URBAN	PERCENT																		1.7					1.8				1.8	2012	1.8		CA
2017.Q2.G.01	SI_POV_NAHC	Proportion of population living below the national poverty line, total and by rural/urban (%)	64	90.45098484	27.39598568	BTN	Bhutan	2	ANNUAL	ALLAREA	PERCENT																		23.2					12				12	2012	12		CA
2017.Q2.G.01	SI_POV_NAHC	Proportion of population living below the national poverty line, total and by rural/urban (%)	64	90.45098484	27.39598568	BTN	Bhutan	3	ANNUAL	RURAL	PERCENT																		30.9					16.7				16.7	2012	16.7		CA
2017.Q2.G.01	SI_POV_NAHC	Proportion of population living below the national poverty line, total and by rural/urban (%)	68	-64.66224284	-16.71273412	BOL	Bolivia (Plurinational State of)	1	ANNUAL	URBAN	PERCENT											54.5	54.3	53.9		54.4	51.1	50.3	50.9	48.7	43.5		36.8	34.7	29	30.6		32.775	2014	30.6		CA
2017.Q2.G.01	SI_POV_NAHC	Proportion of population living below the national poverty line, total and by rural/urban (%)	68	-64.66224284	-16.71273412	BOL	Bolivia (Plurinational State of)	2	ANNUAL	ALLAREA	PERCENT											66.4	63.1	63.3		63.1	59.6	59.9	60.1	57.3	51.3		45.1	43.3	38.9	39.1	38.6	41	2015	38.6		CA
2017.Q2.G.01	SI_POV_NAHC	Proportion of population living below the national poverty line, total and by rural/urban (%)	68	-64.66224284	-16.71273412	BOL	Bolivia (Plurinational State of)	3	ANNUAL	RURAL	PERCENT											87	77.7	78.8		77.7	77.6	76.5	77.3	73.6	66.4		61.3	61.2	59.9	57.6		60	2014	57.6		CA
2017.Q2.G.01	SI_POV_NAHC	Proportion of population living below the national poverty line, total and by rural/urban (%)	70	17.78584332	44.16845548	BIH	Bosnia and Herzegovina	1	ANNUAL	URBAN	PERCENT																															
2017.Q2.G.01	SI_POV_NAHC	Proportion of population living below the national poverty line, total and by rural/urban (%)	70	17.78584332	44.16845548	BIH	Bosnia and Herzegovina	2	ANNUAL	ALLAREA	PERCENT																		18.2				17.9					17.9	2011	17.9		CA
2017.Q2.G.01	SI_POV_NAHC	Proportion of population living below the national poverty line, total and by rural/urban (%)	70	17.78584332	44.16845548	BIH	Bosnia and Herzegovina	3	ANNUAL	RURAL	PERCENT																															
2017.Q2.G.01	SI_POV_NAHC	Proportion of population living below the national poverty line, total and by rural/urban (%)	72	23.81380223	-22.18810073	BWA	Botswana	1	ANNUAL	URBAN	PERCENT				24.7									19.4							11								2009	11		CA
2017.Q2.G.01	SI_POV_NAHC	Proportion of population living below the national poverty line, total and by rural/urban (%)	72	23.81380223	-22.18810073	BWA	Botswana	2	ANNUAL	ALLAREA	PERCENT				32.9									30.6							19.3								2009	19.3		CA
2017.Q2.G.01	SI_POV_NAHC	Proportion of population living below the national poverty line, total and by rural/urban (%)	72	23.81380223	-22.18810073	BWA	Botswana	3	ANNUAL	RURAL	PERCENT				40.4									44.8							24.3								2009	24.3		CA
2017.Q2.G.01	SI_POV_NAHC	Proportion of population living below the national poverty line, total and by rural/urban (%)	74	3.410732868	-54.43295905	BVT	Bouvet Island	1	ANNUAL	URBAN	PERCENT																															
2017.Q2.G.01	SI_POV_NAHC	Proportion of population living below the national poverty line, total and by rural/urban (%)	74	3.410732868	-54.43295905	BVT	Bouvet Island	2	ANNUAL	ALLAREA	PERCENT																															
2017.Q2.G.01	SI_POV_NAHC	Proportion of population living below the national poverty line, total and by rural/urban (%)	74	3.410732868	-54.43295905	BVT	Bouvet Island	3	ANNUAL	RURAL	PERCENT																															
2017.Q2.G.01	SI_POV_NAHC	Proportion of population living below the national poverty line, total and by rural/urban (%)	76	-53.08432878	-10.77668561	BRA	Brazil	1	ANNUAL	URBAN	PERCENT																															
2017.Q2.G.01	SI_POV_NAHC	Proportion of population living below the national poverty line, total and by rural/urban (%)	76	-53.08432878	-10.77668561	BRA	Brazil	2	ANNUAL	ALLAREA	PERCENT												24.7	23.3	24.9	22.4	21	17.3	16.1	14.1	13.3		11.1	9	8.9	7.4		9.1	2014	7.4		CA
2017.Q2.G.01	SI_POV_NAHC	Proportion of population living below the national poverty line, total and by rural/urban (%)	76	-53.08432878	-10.77668561	BRA	Brazil	3	ANNUAL	RURAL	PERCENT																															
2017.Q2.G.01	SI_POV_NAHC	Proportion of population living below the national poverty line, total and by rural/urban (%)	84	-88.70199554	17.19965901	BLZ	Belize	1	ANNUAL	URBAN	PERCENT																															
2017.Q2.G.01	SI_POV_NAHC	Proportion of population living below the national poverty line, total and by rural/urban (%)	84	-88.70199554	17.19965901	BLZ	Belize	2	ANNUAL	ALLAREA	PERCENT																															
2017.Q2.G.01	SI_POV_NAHC	Proportion of population living below the national poverty line, total and by rural/urban (%)	84	-88.70199554	17.19965901	BLZ	Belize	3	ANNUAL	RURAL	PERCENT																															
2017.Q2.G.01	SI_POV_NAHC	Proportion of population living below the national poverty line, total and by rural/urban (%)	86	72.38715553	-7.299281071	IOT	British Indian Ocean Territory	1	ANNUAL	URBAN	PERCENT																															
2017.Q2.G.01	SI_POV_NAHC	Proportion of population living below the national poverty line, total and by rural/urban (%)	86	72.38715553	-7.299281071	IOT	British Indian Ocean Territory	2	ANNUAL	ALLAREA	PERCENT																															
2017.Q2.G.01	SI_POV_NAHC	Proportion of population living below the national poverty line, total and by rural/urban (%)	86	72.38715553	-7.299281071	IOT	British Indian Ocean Territory	3	ANNUAL	RURAL	PERCENT																															
2017.Q2.G.01	SI_POV_NAHC	Proportion of population living below the national poverty line, total and by rural/urban (%)	90	160.1584117	-9.622391719	SLB	Solomon Islands	1	ANNUAL	URBAN	PERCENT																															
2017.Q2.G.01	SI_POV_NAHC	Proportion of population living below the national poverty line, total and by rural/urban (%)	90	160.1584117	-9.622391719	SLB	Solomon Islands	2	ANNUAL	ALLAREA	PERCENT																								12.7			12.7	2013	12.7		CA
2017.Q2.G.01	SI_POV_NAHC	Proportion of population living below the national poverty line, total and by rural/urban (%)	90	160.1584117	-9.622391719	SLB	Solomon Islands	3	ANNUAL	RURAL	PERCENT																															
2017.Q2.G.01	SI_POV_NAHC	Proportion of population living below the national poverty line, total and by rural/urban (%)	92	-64.63294223	18.42256578	VGB	British Virgin Islands	1	ANNUAL	URBAN	PERCENT																															
2017.Q2.G.01	SI_POV_NAHC	Proportion of population living below the national poverty line, total and by rural/urban (%)	92	-64.63294223	18.42256578	VGB	British Virgin Islands	2	ANNUAL	ALLAREA	PERCENT																															
2017.Q2.G.01	SI_POV_NAHC	Proportion of population living below the national poverty line, total and by rural/urban (%)	92	-64.63294223	18.42256578	VGB	British Virgin Islands	3	ANNUAL	RURAL	PERCENT																															
2017.Q2.G.01	SI_POV_NAHC	Proportion of population living below the national poverty line, total and by rural/urban (%)	96	114.6288563	4.49736984	BRN	Brunei Darussalam	1	ANNUAL	URBAN	PERCENT																															
2017.Q2.G.01	SI_POV_NAHC	Proportion of population living below the national poverty line, total and by rural/urban (%)	96	114.6288563	4.49736984	BRN	Brunei Darussalam	2	ANNUAL	ALLAREA	PERCENT																															
2017.Q2.G.01	SI_POV_NAHC	Proportion of population living below the national poverty line, total and by rural/urban (%)	96	114.6288563	4.49736984	BRN	Brunei Darussalam	3	ANNUAL	RURAL	PERCENT																															
2017.Q2.G.01	SI_POV_NAHC	Proportion of population living below the national poverty line, total and by rural/urban (%)	100	25.23763153	42.75731323	BGR	Bulgaria	1	ANNUAL	URBAN	PERCENT																															
2017.Q2.G.01	SI_POV_NAHC	Proportion of population living below the national poverty line, total and by rural/urban (%)	100	25.23763153	42.75731323	BGR	Bulgaria	2	ANNUAL	ALLAREA	PERCENT																18.4	22	21.4	21.8	20.7	22.2	21.2	21	21.8	22		21.5	2014	22		CA
2017.Q2.G.01	SI_POV_NAHC	Proportion of population living below the national poverty line, total and by rural/urban (%)	100	25.23763153	42.75731323	BGR	Bulgaria	3	ANNUAL	RURAL	PERCENT																															
2017.Q2.G.01	SI_POV_NAHC	Proportion of population living below the national poverty line, total and by rural/urban (%)	104	96.51752295	21.19332882	MMR	Myanmar	1	ANNUAL	URBAN	PERCENT																															
2017.Q2.G.01	SI_POV_NAHC	Proportion of population living below the national poverty line, total and by rural/urban (%)	104	96.51752295	21.19332882	MMR	Myanmar	2	ANNUAL	ALLAREA	PERCENT																															
2017.Q2.G.01	SI_POV_NAHC	Proportion of population living below the national poverty line, total and by rural/urban (%)	104	96.51752295	21.19332882	MMR	Myanmar	3	ANNUAL	RURAL	PERCENT																															
2017.Q2.G.01	SI_POV_NAHC	Proportion of population living below the national poverty line, total and by rural/urban (%)	108	29.89080992	-3.366387428	BDI	Burundi	1	ANNUAL	URBAN	PERCENT																									27.6		27.6	2014	27.6		CA
2017.Q2.G.01	SI_POV_NAHC	Proportion of population living below the national poverty line, total and by rural/urban (%)	108	29.89080992	-3.366387428	BDI	Burundi	2	ANNUAL	ALLAREA	PERCENT																	67.1								64.6		64.6	2014	64.6		CA
2017.Q2.G.01	SI_POV_NAHC	Proportion of population living below the national poverty line, total and by rural/urban (%)	108	29.89080992	-3.366387428	BDI	Burundi	3	ANNUAL	RURAL	PERCENT																									68.8		68.8	2014	68.8		CA
2017.Q2.G.01	SI_POV_NAHC	Proportion of population living below the national poverty line, total and by rural/urban (%)	112	28.04940161	53.54193075	BLR	Belarus	1	ANNUAL	URBAN	PERCENT											37.9					10.9	9.1	5.6	4.4	4	3.8	5.8	5.2	4.2	3.7	3.7	4.52	2015	3.7		CA
2017.Q2.G.01	SI_POV_NAHC	Proportion of population living below the national poverty line, total and by rural/urban (%)	112	28.04940161	53.54193075	BLR	Belarus	2	ANNUAL	ALLAREA	PERCENT											41.9	28.9	30.5	27.1	17.8	12.7	11.1	7.7	6.1	5.4	5.2	7.3	6.3	5.5	4.8	5.1	5.8	2015	5.1		CA
2017.Q2.G.01	SI_POV_NAHC	Proportion of population living below the national poverty line, total and by rural/urban (%)	112	28.04940161	53.54193075	BLR	Belarus	3	ANNUAL	RURAL	PERCENT											50.8					16.7	15.5	12.4	9.7	9.5	8.9	11.5	9.4	9	7.9	8.7	9.3	2015	8.7		CA
2017.Q2.G.01	SI_POV_NAHC	Proportion of population living below the national poverty line, total and by rural/urban (%)	116	104.922836	12.71163737	KHM	Cambodia	1	ANNUAL	URBAN	PERCENT														28.5			18.3		15.1	8	8.5	8.7	6.4				7.55	2012	6.4		CA
2017.Q2.G.01	SI_POV_NAHC	Proportion of population living below the national poverty line, total and by rural/urban (%)	116	104.922836	12.71163737	KHM	Cambodia	2	ANNUAL	ALLAREA	PERCENT														50.2			45		34	23.9	22.1	20.5	17.7				19.1	2012	17.7		CA
2017.Q2.G.01	SI_POV_NAHC	Proportion of population living below the national poverty line, total and by rural/urban (%)	116	104.922836	12.71163737	KHM	Cambodia	3	ANNUAL	RURAL	PERCENT														54.2			51.4		38.5	27.5	25.3	23.6	20.8				22.2	2012	20.8		CA
2017.Q2.G.01	SI_POV_NAHC	Proportion of population living below the national poverty line, total and by rural/urban (%)	120	12.7419827	5.692387031	CMR	Cameroon	1	ANNUAL	URBAN	PERCENT							41.4					17.9						12.2							8.9		8.9	2014	8.9		CA
2017.Q2.G.01	SI_POV_NAHC	Proportion of population living below the national poverty line, total and by rural/urban (%)	120	12.7419827	5.692387031	CMR	Cameroon	2	ANNUAL	ALLAREA	PERCENT							53.3					40.2						39.9							37.5		37.5	2014	37.5		CA
2017.Q2.G.01	SI_POV_NAHC	Proportion of population living below the national poverty line, total and by rural/urban (%)	120	12.7419827	5.692387031	CMR	Cameroon	3	ANNUAL	RURAL	PERCENT							59.6					52.1						55							56.8		56.8	2014	56.8		CA
2017.Q2.G.01	SI_POV_NAHC	Proportion of population living below the national poverty line, total and by rural/urban (%)	124	-101.6575058	57.72360191	CAN	Canada	1	ANNUAL	URBAN	PERCENT																															
2017.Q2.G.01	SI_POV_NAHC	Proportion of population living below the national poverty line, total and by rural/urban (%)	124	-101.6575058	57.72360191	CAN	Canada	2	ANNUAL	ALLAREA	PERCENT																															
2017.Q2.G.01	SI_POV_NAHC	Proportion of population living below the national poverty line, total and by rural/urban (%)	124	-101.6575058	57.72360191	CAN	Canada	3	ANNUAL	RURAL	PERCENT																															
2017.Q2.G.01	SI_POV_NAHC	Proportion of population living below the national poverty line, total and by rural/urban (%)	132	-23.63544151	15.07791834	CPV	Cabo Verde	1	ANNUAL	URBAN	PERCENT																		13.2										2007	13.2		CA
2017.Q2.G.01	SI_POV_NAHC	Proportion of population living below the national poverty line, total and by rural/urban (%)	132	-23.63544151	15.07791834	CPV	Cabo Verde	2	ANNUAL	ALLAREA	PERCENT																		26.6										2007	26.6		CA
2017.Q2.G.01	SI_POV_NAHC	Proportion of population living below the national poverty line, total and by rural/urban (%)	132	-23.63544151	15.07791834	CPV	Cabo Verde	3	ANNUAL	RURAL	PERCENT																		44.3										2007	44.3		CA
2017.Q2.G.01	SI_POV_NAHC	Proportion of population living below the national poverty line, total and by rural/urban (%)	136	-81.16740559	19.32266656	CYM	Cayman Islands	1	ANNUAL	URBAN	PERCENT																															
2017.Q2.G.01	SI_POV_NAHC	Proportion of population living below the national poverty line, total and by rural/urban (%)	136	-81.16740559	19.32266656	CYM	Cayman Islands	2	ANNUAL	ALLAREA	PERCENT																															
2017.Q2.G.01	SI_POV_NAHC	Proportion of population living below the national poverty line, total and by rural/urban (%)	136	-81.16740559	19.32266656	CYM	Cayman Islands	3	ANNUAL	RURAL	PERCENT																															
2017.Q2.G.01	SI_POV_NAHC	Proportion of population living below the national poverty line, total and by rural/urban (%)	140	20.93559492	7.003720791	CAF	Central African Republic	1	ANNUAL	URBAN	PERCENT																			49.6									2008	49.6		CA
2017.Q2.G.01	SI_POV_NAHC	Proportion of population living below the national poverty line, total and by rural/urban (%)	140	20.93559492	7.003720791	CAF	Central African Republic	2	ANNUAL	ALLAREA	PERCENT																			62									2008	62		CA
2017.Q2.G.01	SI_POV_NAHC	Proportion of population living below the national poverty line, total and by rural/urban (%)	140	20.93559492	7.003720791	CAF	Central African Republic	3	ANNUAL	RURAL	PERCENT																			69.4									2008	69.4		CA
2017.Q2.G.01	SI_POV_NAHC	Proportion of population living below the national poverty line, total and by rural/urban (%)	144	80.70489654	7.614693343	LKA	Sri Lanka	1	ANNUAL	URBAN	PERCENT													7.9				6.7			5.3			2.1				2.1	2012	2.1		CA
2017.Q2.G.01	SI_POV_NAHC	Proportion of population living below the national poverty line, total and by rural/urban (%)	144	80.70489654	7.614693343	LKA	Sri Lanka	2	ANNUAL	ALLAREA	PERCENT													22.7				15.2			8.9			6.7				6.7	2012	6.7		CA
2017.Q2.G.01	SI_POV_NAHC	Proportion of population living below the national poverty line, total and by rural/urban (%)	144	80.70489654	7.614693343	LKA	Sri Lanka	3	ANNUAL	RURAL	PERCENT													24.7				15.7			9.4			7.6				7.6	2012	7.6		CA
2017.Q2.G.01	SI_POV_NAHC	Proportion of population living below the national poverty line, total and by rural/urban (%)	148	18.66618401	15.36279341	TCD	Chad	1	ANNUAL	URBAN	PERCENT													24.4									20.9					20.9	2011	20.9		CA
