series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Age	Freq	Units	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2017.Q2.G.01	SH_DYN_NMRT	Neonatal mortality rate, total (deaths per 1,000 live births)	36	134.3499412	-25.57717202	AUS	Australia	1	<1M	ANNUAL	PER_1000_LIVE_BIRTHS	3.5	3.5	3.4	3.4	3.3	3.3	3.2	3.1	3	2.9	2.8	2.6	2.5	2.4	2.3	2.2	2.4	2015	2.2	United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2015.	
2017.Q2.G.01	SH_DYN_NMRT	Neonatal mortality rate, total (deaths per 1,000 live births)	40	14.14172472	47.58704857	AUT	Austria	1	<1M	ANNUAL	PER_1000_LIVE_BIRTHS	3.1	3.1	3	3	2.9	2.8	2.8	2.7	2.6	2.6	2.5	2.4	2.4	2.3	2.2	2.1	2.28	2015	2.1	United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2015.	
2017.Q2.G.01	SH_DYN_NMRT	Neonatal mortality rate, total (deaths per 1,000 live births)	44	-78.05111663	24.69546597	BHS	Bahamas	1	<1M	ANNUAL	PER_1000_LIVE_BIRTHS	8.7	8.6	8.6	8.6	8.7	8.7	8.6	8.5	8.4	8.2	8	7.8	7.5	7.3	7.1	6.9	7.32	2015	6.9	United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2015.	
2017.Q2.G.01	SH_DYN_NMRT	Neonatal mortality rate, total (deaths per 1,000 live births)	48	50.5490754	26.04407747	BHR	Bahrain	1	<1M	ANNUAL	PER_1000_LIVE_BIRTHS	4.7	4.2	3.7	3.2	2.8	2.4	2.1	1.8	1.6	1.5	1.4	1.3	1.2	1.2	1.1	1.1	1.18	2015	1.1	United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2015.	
2017.Q2.G.01	SH_DYN_NMRT	Neonatal mortality rate, total (deaths per 1,000 live births)	50	89.17660788	22.86961622	BGD	Bangladesh	1	<1M	ANNUAL	PER_1000_LIVE_BIRTHS	42.6	41	39.6	38.2	36.8	35.5	34.2	32.8	31.5	30.2	28.9	27.6	26.3	25.2	24.2	23.3	25.32	2015	23.3	United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2015.	
2017.Q2.G.01	SH_DYN_NMRT	Neonatal mortality rate, total (deaths per 1,000 live births)	51	44.93839317	40.29499741	ARM	Armenia	1	<1M	ANNUAL	PER_1000_LIVE_BIRTHS	15.9	15.1	14.4	13.7	13	12.4	11.8	11.1	10.6	10	9.5	9.1	8.6	8.2	7.7	7.4	8.2	2015	7.4	United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2015.	
2017.Q2.G.01	SH_DYN_NMRT	Neonatal mortality rate, total (deaths per 1,000 live births)	52	-59.5346489	13.13648273	BRB	Barbados	1	<1M	ANNUAL	PER_1000_LIVE_BIRTHS	8.7	8.8	9.2	9.5	9.8	10	9.9	9.8	9.5	9.3	9.1	8.9	8.7	8.4	8.2	8	8.44	2015	8	United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2015.	
2017.Q2.G.01	SH_DYN_NMRT	Neonatal mortality rate, total (deaths per 1,000 live births)	56	4.660976456	50.64104975	BEL	Belgium	1	<1M	ANNUAL	PER_1000_LIVE_BIRTHS	3	2.9	2.8	2.8	2.7	2.6	2.6	2.5	2.4	2.4	2.3	2.3	2.3	2.2	2.2	2.2	2.24	2015	2.2	United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2015.	
2017.Q2.G.01	SH_DYN_NMRT	Neonatal mortality rate, total (deaths per 1,000 live births)	60	-64.78155012	32.27881922	BMU	Bermuda	1	<1M	ANNUAL	PER_1000_LIVE_BIRTHS																					
2017.Q2.G.01	SH_DYN_NMRT	Neonatal mortality rate, total (deaths per 1,000 live births)	64	90.45098484	27.39598568	BTN	Bhutan	1	<1M	ANNUAL	PER_1000_LIVE_BIRTHS	32.7	31.8	30.7	29.8	28.8	27.7	26.6	25.5	24.4	23.3	22.2	21.3	20.4	19.7	19.1	18.3	19.76	2015	18.3	United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2015.	
2017.Q2.G.01	SH_DYN_NMRT	Neonatal mortality rate, total (deaths per 1,000 live births)	68	-64.66224284	-16.71273412	BOL	Bolivia (Plurinational State of)	1	<1M	ANNUAL	PER_1000_LIVE_BIRTHS	29.9	29	28.4	28	27.6	27.1	26.3	25.3	24.4	23.4	22.6	21.9	21.2	20.7	20.1	19.6	20.7	2015	19.6	United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2015.	
2017.Q2.G.01	SH_DYN_NMRT	Neonatal mortality rate, total (deaths per 1,000 live births)	70	17.78584332	44.16845548	BIH	Bosnia and Herzegovina	1	<1M	ANNUAL	PER_1000_LIVE_BIRTHS	6.6	6.1	5.7	5.4	5.2	5.1	5.1	5.1	5.1	5.2	5.1	5	4.7	4.5	4.2	4	4.48	2015	4	United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2015.	
2017.Q2.G.01	SH_DYN_NMRT	Neonatal mortality rate, total (deaths per 1,000 live births)	72	23.81380223	-22.18810073	BWA	Botswana	1	<1M	ANNUAL	PER_1000_LIVE_BIRTHS	24	24.3	24.7	25.1	25.4	25.5	25.5	25.3	25	24.6	24.2	23.7	23.3	22.9	22.4	21.9	22.84	2015	21.9	United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2015.	
2017.Q2.G.01	SH_DYN_NMRT	Neonatal mortality rate, total (deaths per 1,000 live births)	74	3.410732868	-54.43295905	BVT	Bouvet Island	1	<1M	ANNUAL	PER_1000_LIVE_BIRTHS																					
2017.Q2.G.01	SH_DYN_NMRT	Neonatal mortality rate, total (deaths per 1,000 live births)	76	-53.08432878	-10.77668561	BRA	Brazil	1	<1M	ANNUAL	PER_1000_LIVE_BIRTHS	16	14.9	13.9	13	12.2	11.5	10.8	10.4	10.3	10.5	10.7	10.8	10.7	10.3	9.6	8.9	10.06	2015	8.9	United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2015.	
2017.Q2.G.01	SH_DYN_NMRT	Neonatal mortality rate, total (deaths per 1,000 live births)	84	-88.70199554	17.19965901	BLZ	Belize	1	<1M	ANNUAL	PER_1000_LIVE_BIRTHS	12.6	12.2	11.8	11.5	11.2	11	10.7	10.4	10.1	9.9	9.6	9.4	9.1	8.9	8.6	8.3	8.86	2015	8.3	United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2015.	
2017.Q2.G.01	SH_DYN_NMRT	Neonatal mortality rate, total (deaths per 1,000 live births)	86	72.38715553	-7.299281071	IOT	British Indian Ocean Territory	1	<1M	ANNUAL	PER_1000_LIVE_BIRTHS																					
2017.Q2.G.01	SH_DYN_NMRT	Neonatal mortality rate, total (deaths per 1,000 live births)	90	160.1584117	-9.622391719	SLB	Solomon Islands	1	<1M	ANNUAL	PER_1000_LIVE_BIRTHS	14.4	14.3	14.2	14.3	14.3	14.4	14.5	14.5	14.3	14	13.8	13.5	13.2	12.9	12.5	12.2	12.86	2015	12.2	United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2015.	
2017.Q2.G.01	SH_DYN_NMRT	Neonatal mortality rate, total (deaths per 1,000 live births)	92	-64.63294223	18.42256578	VGB	British Virgin Islands	1	<1M	ANNUAL	PER_1000_LIVE_BIRTHS																					
2017.Q2.G.01	SH_DYN_NMRT	Neonatal mortality rate, total (deaths per 1,000 live births)	96	114.6288563	4.49736984	BRN	Brunei Darussalam	1	<1M	ANNUAL	PER_1000_LIVE_BIRTHS	4.9	4.9	4.9	4.9	4.9	4.9	4.9	4.8	4.7	4.7	4.6	4.5	4.4	4.3	4.3	4.3	4.36	2015	4.3	United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2015.	
2017.Q2.G.01	SH_DYN_NMRT	Neonatal mortality rate, total (deaths per 1,000 live births)	100	25.23763153	42.75731323	BGR	Bulgaria	1	<1M	ANNUAL	PER_1000_LIVE_BIRTHS	11.3	10.8	10.3	9.8	9.2	8.6	8.1	7.7	7.4	7.2	7.1	6.8	6.5	6.2	5.9	5.6	6.2	2015	5.6	United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2015.	
2017.Q2.G.01	SH_DYN_NMRT	Neonatal mortality rate, total (deaths per 1,000 live births)	104	96.51752295	21.19332882	MMR	Myanmar	1	<1M	ANNUAL	PER_1000_LIVE_BIRTHS	37.3	36.5	35.6	34.9	34.2	33.5	32.8	32.1	31.7	30.5	29.7	29	28.4	27.7	27	26.4	27.7	2015	26.4	United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2015.	
2017.Q2.G.01	SH_DYN_NMRT	Neonatal mortality rate, total (deaths per 1,000 live births)	108	29.89080992	-3.366387428	BDI	Burundi	1	<1M	ANNUAL	PER_1000_LIVE_BIRTHS	39.4	38.9	38.3	37.7	36.9	36	35.2	34.2	33.3	32.3	31.7	31	30.4	29.8	29.3	28.6	29.82	2015	28.6	United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2015.	
2017.Q2.G.01	SH_DYN_NMRT	Neonatal mortality rate, total (deaths per 1,000 live births)	112	28.04940161	53.54193075	BLR	Belarus	1	<1M	ANNUAL	PER_1000_LIVE_BIRTHS	7.4	6.6	5.9	5.3	4.7	4.2	3.7	3.2	2.8	2.5	2.3	2.2	2.1	2	1.9	1.9	2.02	2015	1.9	United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2015.	
2017.Q2.G.01	SH_DYN_NMRT	Neonatal mortality rate, total (deaths per 1,000 live births)	116	104.922836	12.71163737	KHM	Cambodia	1	<1M	ANNUAL	PER_1000_LIVE_BIRTHS	36.1	34.2	32	30.1	28.3	26.8	25.5	24.3	23.1	21.9	20.7	19.4	18.2	16.9	15.7	14.8	17	2015	14.8	United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2015.	
2017.Q2.G.01	SH_DYN_NMRT	Neonatal mortality rate, total (deaths per 1,000 live births)	120	12.7419827	5.692387031	CMR	Cameroon	1	<1M	ANNUAL	PER_1000_LIVE_BIRTHS	34.7	33.5	32.5	31.7	31.1	30.7	30.2	29.6	29	28.5	28.1	27.5	26.9	26.5	26.1	25.7	26.54	2015	25.7	United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2015.	
2017.Q2.G.01	SH_DYN_NMRT	Neonatal mortality rate, total (deaths per 1,000 live births)	124	-101.6575058	57.72360191	CAN	Canada	1	<1M	ANNUAL	PER_1000_LIVE_BIRTHS	3.7	3.8	3.8	3.9	4	4	4	3.9	3.8	3.8	3.7	3.6	3.5	3.4	3.3	3.2	3.4	2015	3.2	United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2015.	
2017.Q2.G.01	SH_DYN_NMRT	Neonatal mortality rate, total (deaths per 1,000 live births)	132	-23.63544151	15.07791834	CPV	Cabo Verde	1	<1M	ANNUAL	PER_1000_LIVE_BIRTHS	17.3	15.9	14.8	14.2	13.9	13.8	13.9	14	14.1	14.1	13.9	13.7	13.3	12.9	12.6	12.2	12.94	2015	12.2	United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2015.	
2017.Q2.G.01	SH_DYN_NMRT	Neonatal mortality rate, total (deaths per 1,000 live births)	136	-81.16740559	19.32266656	CYM	Cayman Islands	1	<1M	ANNUAL	PER_1000_LIVE_BIRTHS																					
2017.Q2.G.01	SH_DYN_NMRT	Neonatal mortality rate, total (deaths per 1,000 live births)	140	20.93559492	7.003720791	CAF	Central African Republic	1	<1M	ANNUAL	PER_1000_LIVE_BIRTHS	49	48.9	48.7	48.5	48.4	48.1	47.9	47.8	47.4	47	46.4	45.7	44.9	44.2	43.3	42.6	44.14	2015	42.6	United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2015.	
2017.Q2.G.01	SH_DYN_NMRT	Neonatal mortality rate, total (deaths per 1,000 live births)	144	80.70489654	7.614693343	LKA	Sri Lanka	1	<1M	ANNUAL	PER_1000_LIVE_BIRTHS	10.1	9.8	9.6	9.4	9.4	8.7	8.2	7.7	7.2	6.8	6.4	6.1	5.9	5.7	5.6	5.4	5.74	2015	5.4	United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2015.	
2017.Q2.G.01	SH_DYN_NMRT	Neonatal mortality rate, total (deaths per 1,000 live births)	148	18.66618401	15.36279341	TCD	Chad	1	<1M	ANNUAL	PER_1000_LIVE_BIRTHS	46.7	46.2	45.8	45.5	45.2	44.8	44.5	44.1	43.7	43.1	42.5	41.8	41.1	40.5	39.9	39.3	40.52	2015	39.3	United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2015.	
2017.Q2.G.01	SH_DYN_NMRT	Neonatal mortality rate, total (deaths per 1,000 live births)	152	-71.23029019	-35.2652885	CHL	Chile	1	<1M	ANNUAL	PER_1000_LIVE_BIRTHS	5.7	5.5	5.3	5.3	5.4	5.4	5.5	5.5	5.5	5.5	5.4	5.4	5.3	5.2	5.1	4.9	5.18	2015	4.9	United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2015.	
2017.Q2.G.01	SH_DYN_NMRT	Neonatal mortality rate, total (deaths per 1,000 live births)	156	104.1403375	32.30955217	CHN	China	1	<1M	ANNUAL	PER_1000_LIVE_BIRTHS	21.2	20.1	18.6	17.1	15.5	14	12.6	11.3	10.1	9.1	8.2	7.5	6.9	6.3	5.9	5.5	6.42	2015	5.5	United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2015.	
2017.Q2.G.01	SH_DYN_NMRT	Neonatal mortality rate, total (deaths per 1,000 live births)	162	105.6426067	-10.4882473	CXR	Christmas Island	1	<1M	ANNUAL	PER_1000_LIVE_BIRTHS																					
2017.Q2.G.01	SH_DYN_NMRT	Neonatal mortality rate, total (deaths per 1,000 live births)	166	96.82633757	-12.18600682	CCK	Cocos (Keeling) Islands	1	<1M	ANNUAL	PER_1000_LIVE_BIRTHS																					
2017.Q2.G.01	SH_DYN_NMRT	Neonatal mortality rate, total (deaths per 1,000 live births)	170	-73.07446751	3.888209046	COL	Colombia	1	<1M	ANNUAL	PER_1000_LIVE_BIRTHS	13.5	13.1	12.7	12.3	12	11.7	11.4	11	10.7	10.4	10	9.7	9.4	9.1	8.8	8.5	9.1	2015	8.5	United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2015.	
2017.Q2.G.01	SH_DYN_NMRT	Neonatal mortality rate, total (deaths per 1,000 live births)	174	43.34234565	-11.66121732	COM	Comoros	1	<1M	ANNUAL	PER_1000_LIVE_BIRTHS	41.8	41.8	41.6	41.3	40.9	40.7	40.2	39.7	38.9	38.2	37.6	36.9	36.2	35.5	34.7	34	35.46	2015	34	United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2015.	
2017.Q2.G.01	SH_DYN_NMRT	Neonatal mortality rate, total (deaths per 1,000 live births)	175	45.14015057	-12.82217691	MYT	Mayotte	1	<1M	ANNUAL	PER_1000_LIVE_BIRTHS																					
2017.Q2.G.01	SH_DYN_NMRT	Neonatal mortality rate, total (deaths per 1,000 live births)	178	15.22052612	-0.840544119	COG	Congo	1	<1M	ANNUAL	PER_1000_LIVE_BIRTHS	33.2	32.7	31.9	30.9	29.6	28.4	27.1	25.7	24.4	23.1	21.9	20.9	19.9	19.2	18.6	18	19.32	2015	18	United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2015.	
2017.Q2.G.01	SH_DYN_NMRT	Neonatal mortality rate, total (deaths per 1,000 live births)	180	23.65496507	-2.877154732	COD	Democratic Republic of the Congo	1	<1M	ANNUAL	PER_1000_LIVE_BIRTHS	38.7	38.4	38	37.6	37.1	36.5	35.7	35	34.3	33.6	32.9	32.3	31.7	31.2	30.6	30.1	31.18	2015	30.1	United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2015.	
2017.Q2.G.01	SH_DYN_NMRT	Neonatal mortality rate, total (deaths per 1,000 live births)	184	-159.7711391	-21.22696458	COK	Cook Islands	1	<1M	ANNUAL	PER_1000_LIVE_BIRTHS	9.1	8.6	8.2	7.8	7.4	7	6.6	6.2	5.9	5.6	5.3	5.1	4.9	4.7	4.5	4.4	4.72	2015	4.4	United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2015.	
2017.Q2.G.01	SH_DYN_NMRT	Neonatal mortality rate, total (deaths per 1,000 live births)	188	-84.19712782	9.970998683	CRI	Costa Rica	1	<1M	ANNUAL	PER_1000_LIVE_BIRTHS	7.7	7.4	7.2	7.1	7	7	6.9	6.8	6.7	6.6	6.6	6.5	6.5	6.4	6.3	6.2	6.38	2015	6.2	United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2015.	
2017.Q2.G.01	SH_DYN_NMRT	Neonatal mortality rate, total (deaths per 1,000 live births)	191	17.95874553	45.45172212	HRV	Croatia	1	<1M	ANNUAL	PER_1000_LIVE_BIRTHS	5.5	5.3	5	4.7	4.5	4.2	4	3.9	3.8	3.7	3.5	3.3	3.1	2.9	2.7	2.6	2.92	2015	2.6	United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2015.	
2017.Q2.G.01	SH_DYN_NMRT	Neonatal mortality rate, total (deaths per 1,000 live births)	192	-79.54460144	22.10030366	CUB	Cuba	1	<1M	ANNUAL	PER_1000_LIVE_BIRTHS	4.2	4.1	4	3.8	3.6	3.4	3.2	3.1	2.9	2.8	2.7	2.6	2.5	2.4	2.4	2.3	2.44	2015	2.3	United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2015.	
2017.Q2.G.01	SH_DYN_NMRT	Neonatal mortality rate, total (deaths per 1,000 live births)	196	33.22285964	35.05659437	CYP	Cyprus	1	<1M	ANNUAL	PER_1000_LIVE_BIRTHS	3.2	3	2.8	2.6	2.5	2.4	2.3	2.2	2.1	2	1.9	1.8	1.7	1.6	1.5	1.5	1.62	2015	1.5	United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2015.	
2017.Q2.G.01	SH_DYN_NMRT	Neonatal mortality rate, total (deaths per 1,000 live births)	203	15.33151382	49.73913871	CZE	Czechia	1	<1M	ANNUAL	PER_1000_LIVE_BIRTHS	3.9	3.7	3.5	3.4	3.3	3.1	3	2.8	2.7	2.5	2.4	2.3	2.1	2	1.9	1.8	2.02	2015	1.8	United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2015.	
2017.Q2.G.01	SH_DYN_NMRT	Neonatal mortality rate, total (deaths per 1,000 live births)	204	2.339933594	9.65401646	BEN	Benin	1	<1M	ANNUAL	PER_1000_LIVE_BIRTHS	39.6	38.6	37.8	36.9	36.1	35.5	35	34.5	34.1	33.8	33.5	33.3	32.9	32.6	32.2	31.8	32.56	2015	31.8	United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2015.	
2017.Q2.G.01	SH_DYN_NMRT	Neonatal mortality rate, total (deaths per 1,000 live births)	208	9.326571283	56.03829721	DNK	Denmark	1	<1M	ANNUAL	PER_1000_LIVE_BIRTHS	3.5	3.4	3.3	3.2	3.1	3.1	3	2.9	2.9	2.8	2.8	2.7	2.7	2.6	2.6	2.5	2.62	2015	2.5	United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2015.	
2017.Q2.G.01	SH_DYN_NMRT	Neonatal mortality rate, total (deaths per 1,000 live births)	212	-61.3493756	15.43391378	DMA	Dominica	1	<1M	ANNUAL	PER_1000_LIVE_BIRTHS	11.2	11.2	11.2	11.2	11.3	11.5	11.8	12.2	12.7	13.2	13.9	14.6	15.1	15.5	15.6	15.6	15.28	2015	15.6	United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2015.	
2017.Q2.G.01	SH_DYN_NMRT	Neonatal mortality rate, total (deaths per 1,000 live births)	214	-70.49847576	18.89832088	DOM	Dominican Republic	1	<1M	ANNUAL	PER_1000_LIVE_BIRTHS	24.1	24	23.9	23.8	23.7	23.8	23.8	23.9	23.8	23.7	23.5	23.3	23	22.6	22.1	21.7	22.54	2015	21.7	United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2015.	
2017.Q2.G.01	SH_DYN_NMRT	Neonatal mortality rate, total (deaths per 1,000 live births)	218	-78.37005241	-1.447785891	ECU	Ecuador	1	<1M	ANNUAL	PER_1000_LIVE_BIRTHS	17.3	16.7	16.1	15.6	15.1	14.6	14.2	13.8	13.4	13	12.6	12.2	11.8	11.4	11.1	10.8	11.46	2015	10.8	United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2015.	
2017.Q2.G.01	SH_DYN_NMRT	Neonatal mortality rate, total (deaths per 1,000 live births)	222	-88.86862995	13.73603564	SLV	El Salvador	1	<1M	ANNUAL	PER_1000_LIVE_BIRTHS	14.4	13.6	12.9	12.3	11.8	11.3	10.9	10.6	10.3	10	9.8	9.5	9.2	8.9	8.6	8.3	8.9	2015	8.3	United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2015.	
2017.Q2.G.01	SH_DYN_NMRT	Neonatal mortality rate, total (deaths per 1,000 live births)	226	10.46535826	1.565792376	GNQ	Equatorial Guinea	1	<1M	ANNUAL	PER_1000_LIVE_BIRTHS	44.8	44	43.3	42.6	41.8	40.8	39.7	38.6	37.8	37.1	36.4	35.7	35.1	34.4	33.7	33.1	34.4	2015	33.1	United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2015.	
2017.Q2.G.01	SH_DYN_NMRT	Neonatal mortality rate, total (deaths per 1,000 live births)	231	39.63505296	8.631223181	ETH	Ethiopia	1	<1M	ANNUAL	PER_1000_LIVE_BIRTHS	48.4	47.2	45.9	44.4	42.7	40.9	39	37.3	35.5	33.9	32.5	31.4	30.4	29.3	28.5	27.7	29.46	2015	27.7	United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2015.	
2017.Q2.G.01	SH_DYN_NMRT	Neonatal mortality rate, total (deaths per 1,000 live births)	232	38.11074289	16.12894644	ERI	Eritrea	1	<1M	ANNUAL	PER_1000_LIVE_BIRTHS	26.3	25.7	25.2	24.7	24.1	23.4	22.9	22.2	21.6	21.1	20.5	20	19.6	19.2	18.8	18.4	19.2	2015	18.4	United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2015.	
2017.Q2.G.01	SH_DYN_NMRT	Neonatal mortality rate, total (deaths per 1,000 live births)	233	25.84093481	58.68487172	EST	Estonia	1	<1M	ANNUAL	PER_1000_LIVE_BIRTHS	6.3	5.7	5.3	4.8	4.4	4	3.7	3.4	3.1	2.8	2.5	2.3	2	1.8	1.7	1.5	1.86	2015	1.5	United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2015.	
2017.Q2.G.01	SH_DYN_NMRT	Neonatal mortality rate, total (deaths per 1,000 live births)	234	-7.122044325	62.21228119	FRO	Faroe Islands	1	<1M	ANNUAL	PER_1000_LIVE_BIRTHS																					
2017.Q2.G.01	SH_DYN_NMRT	Neonatal mortality rate, total (deaths per 1,000 live births)	238	-58.75246778	-51.74562601	FLK	Falkland Islands (Malvinas)	1	<1M	ANNUAL	PER_1000_LIVE_BIRTHS																					
2017.Q2.G.01	SH_DYN_NMRT	Neonatal mortality rate, total (deaths per 1,000 live births)	239	-36.90662765	-54.20736749	SGS	South Georgia and the South Sandwich Islands	1	<1M	ANNUAL	PER_1000_LIVE_BIRTHS																					
