series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Age	Freq	Location	Sex	Units	Bounds	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	last.5.years.mean	latest.year	latest.value	latest.source
2017.Q2.G.01	IT_MOB_3GNTWK	Proportion of population covered by at least a 3G mobile network	36	134.3499412	-25.57717202	AUS	Australia	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP		98.8	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	2015	99	Department of Communications and the Arts
2017.Q2.G.01	IT_MOB_3GNTWK	Proportion of population covered by at least a 3G mobile network	40	14.14172472	47.58704857	AUT	Austria	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP	84		96	96	96	96	96	97	98	96	96	96	96	96	97	98	96.6	2015	98	ITU estimate.
2017.Q2.G.01	IT_MOB_3GNTWK	Proportion of population covered by at least a 3G mobile network	44	-78.05111663	24.69546597	BHS	Bahamas	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP								98	98						98	98	98	2015	98	Utilities Regulation and Competition Authority
2017.Q2.G.01	IT_MOB_3GNTWK	Proportion of population covered by at least a 3G mobile network	48	50.5490754	26.04407747	BHR	Bahrain	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP			100	100	100	100	100	97.9	97.9	100	100	100	100	100	97.9	97.9	99.16	2015	97.9	Telecommunications Regulatory Authority
2017.Q2.G.01	IT_MOB_3GNTWK	Proportion of population covered by at least a 3G mobile network	50	89.17660788	22.86961622	BGD	Bangladesh	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP						1	21.79	59.1	71				1	21.79	59.1	71	38.2225	2015	71	Bangladesh Telecommunication Regulatory Commission
2017.Q2.G.01	IT_MOB_3GNTWK	Proportion of population covered by at least a 3G mobile network	51	44.93839317	40.29499741	ARM	Armenia	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP			81.1	93	95	96.3	97.68	98.8	99.9	81.1	93	95	96.3	97.68	98.8	99.9	97.536	2015	99.9	Ministry of Transport and Communication of Armenia
2017.Q2.G.01	IT_MOB_3GNTWK	Proportion of population covered by at least a 3G mobile network	52	-59.5346489	13.13648273	BRB	Barbados	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP					20		100	98	98			20		100	98	98	79	2015	98	ITU estimate
2017.Q2.G.01	IT_MOB_3GNTWK	Proportion of population covered by at least a 3G mobile network	56	4.660976456	50.64104975	BEL	Belgium	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP	85	89.9	96.7	97	97	99.5	99.5	99.5	100	96.7	97	97	99.5	99.5	99.5	100	99.1	2015	100	Belgian Institute for Postal Services and Telecommunications
2017.Q2.G.01	IT_MOB_3GNTWK	Proportion of population covered by at least a 3G mobile network	60	-64.78155012	32.27881922	BMU	Bermuda	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP									99							99	99	2015	99	ITU estimate
2017.Q2.G.01	IT_MOB_3GNTWK	Proportion of population covered by at least a 3G mobile network	64	90.45098484	27.39598568	BTN	Bhutan	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP				14.98	32.5	33.6	54.7	60	80		14.98	32.5	33.6	54.7	60	80	52.16	2015	80	Ministry of Information & Communications
2017.Q2.G.01	IT_MOB_3GNTWK	Proportion of population covered by at least a 3G mobile network	68	-64.66224284	-16.71273412	BOL	Bolivia (Plurinational State of)	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP					2	5	12	27	27			2	5	12	27	27	14.6	2015	27	Autoridad de Regulación y Fiscalización de Telecomunicaciones y Transportes
2017.Q2.G.01	IT_MOB_3GNTWK	Proportion of population covered by at least a 3G mobile network	70	17.78584332	44.16845548	BIH	Bosnia and Herzegovina	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP			25	60	70	72	90	95	96	25	60	70	72	90	95	96	84.6	2015	96	Communications Regulatory Agency B & H
2017.Q2.G.01	IT_MOB_3GNTWK	Proportion of population covered by at least a 3G mobile network	72	23.81380223	-22.18810073	BWA	Botswana	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP					40	45		78	92			40	45		78	92	63.75	2015	92	Botswana Communications Regulatory Authority (BOCRA)
2017.Q2.G.01	IT_MOB_3GNTWK	Proportion of population covered by at least a 3G mobile network	74	3.410732868	-54.43295905	BVT	Bouvet Island	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP																				
2017.Q2.G.01	IT_MOB_3GNTWK	Proportion of population covered by at least a 3G mobile network	76	-53.08432878	-10.77668561	BRA	Brazil	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP			55	67.05	81.63	85.98	88.66	92.2	93.53	55	67.05	81.63	85.98	88.66	92.2	93.53	88.4	2015	93.53	Agência Nacional de Telecomunicaçoes
2017.Q2.G.01	IT_MOB_3GNTWK	Proportion of population covered by at least a 3G mobile network	84	-88.70199554	17.19965901	BLZ	Belize	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP																				
2017.Q2.G.01	IT_MOB_3GNTWK	Proportion of population covered by at least a 3G mobile network	86	72.38715553	-7.299281071	IOT	British Indian Ocean Territory	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP																				
2017.Q2.G.01	IT_MOB_3GNTWK	Proportion of population covered by at least a 3G mobile network	90	160.1584117	-9.622391719	SLB	Solomon Islands	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP									11.5							11.5	11.5	2015	11.5	Telecommunications Commission of the Solomon Islands
2017.Q2.G.01	IT_MOB_3GNTWK	Proportion of population covered by at least a 3G mobile network	92	-64.63294223	18.42256578	VGB	British Virgin Islands	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP									91							91	91	2015	91	ITU estimate
2017.Q2.G.01	IT_MOB_3GNTWK	Proportion of population covered by at least a 3G mobile network	96	114.6288563	4.49736984	BRN	Brunei Darussalam	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP									91							91	91	2015	91	Authority for Info-communications Technology Industry of Brunei Darussalam
2017.Q2.G.01	IT_MOB_3GNTWK	Proportion of population covered by at least a 3G mobile network	100	25.23763153	42.75731323	BGR	Bulgaria	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP	49.03	75.69	82.05	93.43	97.81	99.46	99.81	99.88	99.95	82.05	93.43	97.81	99.46	99.81	99.88	99.95	99.382	2015	99.95	Communications Regulation Commission
2017.Q2.G.01	IT_MOB_3GNTWK	Proportion of population covered by at least a 3G mobile network	104	96.51752295	21.19332882	MMR	Myanmar	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP								50	79.3						50	79.3	64.65	2015	79.3	Posts and Telecommunications Department, Ministry of communications and Information Technology
2017.Q2.G.01	IT_MOB_3GNTWK	Proportion of population covered by at least a 3G mobile network	108	29.89080992	-3.366387428	BDI	Burundi	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP			0					0	0	0					0	0	0	2015	0	ITU estimate
2017.Q2.G.01	IT_MOB_3GNTWK	Proportion of population covered by at least a 3G mobile network	112	28.04940161	53.54193075	BLR	Belarus	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP	0		59.3	67	80	87.4	89.1	95.7	95.7	59.3	67	80	87.4	89.1	95.7	95.7	89.58	2015	95.7	Ministry of Communications and Informatization
2017.Q2.G.01	IT_MOB_3GNTWK	Proportion of population covered by at least a 3G mobile network	116	104.922836	12.71163737	KHM	Cambodia	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP			43					60	70	43					60	70	65	2015	70	Telecommunication Regulator of Cambodia (TRC)
2017.Q2.G.01	IT_MOB_3GNTWK	Proportion of population covered by at least a 3G mobile network	120	12.7419827	5.692387031	CMR	Cameroon	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP								30	50						30	50	40	2015	50	ITU estimate
2017.Q2.G.01	IT_MOB_3GNTWK	Proportion of population covered by at least a 3G mobile network	124	-101.6575058	57.72360191	CAN	Canada	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP	78		96	98	99	99	99	99	99.3	96	98	99	99	99	99	99.3	99.06	2015	99.3	Canadian Radio-television and Telecommunications Commission
2017.Q2.G.01	IT_MOB_3GNTWK	Proportion of population covered by at least a 3G mobile network	132	-23.63544151	15.07791834	CPV	Cabo Verde	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP					50	80		76.5	86.8			50	80		76.5	86.8	73.325	2015	86.8	Agencia Nacional das Comunicaçoes
2017.Q2.G.01	IT_MOB_3GNTWK	Proportion of population covered by at least a 3G mobile network	136	-81.16740559	19.32266656	CYM	Cayman Islands	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP					100	100	100	100	100			100	100	100	100	100	100	2015	100	Information and Communications Technology Authority
2017.Q2.G.01	IT_MOB_3GNTWK	Proportion of population covered by at least a 3G mobile network	140	20.93559492	7.003720791	CAF	Central African Republic	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP						0		23	23				0		23	23	15.3333333333333	2015	23	Agence de Régulation des Télécommunications (ART)
2017.Q2.G.01	IT_MOB_3GNTWK	Proportion of population covered by at least a 3G mobile network	144	80.70489654	7.614693343	LKA	Sri Lanka	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP						72	72	72	83				72	72	72	83	74.75	2015	83	ITU estimate
2017.Q2.G.01	IT_MOB_3GNTWK	Proportion of population covered by at least a 3G mobile network	148	18.66618401	15.36279341	TCD	Chad	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP								11.2	13						11.2	13	12.1	2015	13	Autorité de Régulation des Communications Électroniques et des Postes
2017.Q2.G.01	IT_MOB_3GNTWK	Proportion of population covered by at least a 3G mobile network	152	-71.23029019	-35.2652885	CHL	Chile	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP								50	90						50	90	70	2015	90	ITU estimate
2017.Q2.G.01	IT_MOB_3GNTWK	Proportion of population covered by at least a 3G mobile network	156	104.1403375	32.30955217	CHN	China	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP								43.59	95						43.59	95	69.295	2015	95	Ministry of Industry and Information Technology
2017.Q2.G.01	IT_MOB_3GNTWK	Proportion of population covered by at least a 3G mobile network	162	105.6426067	-10.4882473	CXR	Christmas Island	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP																				
2017.Q2.G.01	IT_MOB_3GNTWK	Proportion of population covered by at least a 3G mobile network	166	96.82633757	-12.18600682	CCK	Cocos (Keeling) Islands	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP																				
2017.Q2.G.01	IT_MOB_3GNTWK	Proportion of population covered by at least a 3G mobile network	170	-73.07446751	3.888209046	COL	Colombia	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP						100	100	100	100				100	100	100	100	100	2015	100	Ministerio de Tecnologías de la Información y las Comunicaciones
2017.Q2.G.01	IT_MOB_3GNTWK	Proportion of population covered by at least a 3G mobile network	174	43.34234565	-11.66121732	COM	Comoros	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP																				
2017.Q2.G.01	IT_MOB_3GNTWK	Proportion of population covered by at least a 3G mobile network	175	45.14015057	-12.82217691	MYT	Mayotte	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP																				
2017.Q2.G.01	IT_MOB_3GNTWK	Proportion of population covered by at least a 3G mobile network	178	15.22052612	-0.840544119	COG	Congo	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP								50	50						50	50	50	2015	50	ITU estimate
2017.Q2.G.01	IT_MOB_3GNTWK	Proportion of population covered by at least a 3G mobile network	180	23.65496507	-2.877154732	COD	Democratic Republic of the Congo	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP			0	0	0	20	20	20	20	0	0	0	20	20	20	20	16	2015	20	Autorité de Régulation de la Poste et des Télécommunications
2017.Q2.G.01	IT_MOB_3GNTWK	Proportion of population covered by at least a 3G mobile network	184	-159.7711391	-21.22696458	COK	Cook Islands	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP																				
2017.Q2.G.01	IT_MOB_3GNTWK	Proportion of population covered by at least a 3G mobile network	188	-84.19712782	9.970998683	CRI	Costa Rica	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP			44.85					99	99	44.85					99	99	99	2015	99	ITU estimate
2017.Q2.G.01	IT_MOB_3GNTWK	Proportion of population covered by at least a 3G mobile network	191	17.95874553	45.45172212	HRV	Croatia	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP			75.5	78.8	81	93.74	98.6	98.95	99.06	75.5	78.8	81	93.74	98.6	98.95	99.06	94.27	2015	99.06	Croatian Regulatory Authority for Network Industries
2017.Q2.G.01	IT_MOB_3GNTWK	Proportion of population covered by at least a 3G mobile network	192	-79.54460144	22.10030366	CUB	Cuba	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP							0	0	0					0	0	0	0	2015	0	Ministerio de Comunicaciones
2017.Q2.G.01	IT_MOB_3GNTWK	Proportion of population covered by at least a 3G mobile network	196	33.22285964	35.05659437	CYP	Cyprus	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP			85	85	85.3	85.3	90	90.01	90.01	85	85	85.3	85.3	90	90.01	90.01	88.124	2015	90.01	Office of the Commissioner for Electronic Communications and Postal Regulation
2017.Q2.G.01	IT_MOB_3GNTWK	Proportion of population covered by at least a 3G mobile network	203	15.33151382	49.73913871	CZE	Czechia	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP		84	90.4	90.4	87	90.1	90.3	98.4	99	90.4	90.4	87	90.1	90.3	98.4	99	92.96	2015	99	Czech Telecommunication Office
2017.Q2.G.01	IT_MOB_3GNTWK	Proportion of population covered by at least a 3G mobile network	204	2.339933594	9.65401646	BEN	Benin	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP	0	0	0	0	0	0	25	30	45	0	0	0	0	25	30	45	20	2015	45	Autorité de Régulation des Communications Electroniques et de la Poste (ARCEP- Bénin)
2017.Q2.G.01	IT_MOB_3GNTWK	Proportion of population covered by at least a 3G mobile network	208	9.326571283	56.03829721	DNK	Denmark	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP		97				70.1	73.6	99.5	99.99				70.1	73.6	99.5	99.99	85.7975	2015	99.99	Danish Energy Agency
2017.Q2.G.01	IT_MOB_3GNTWK	Proportion of population covered by at least a 3G mobile network	212	-61.3493756	15.43391378	DMA	Dominica	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP				0				0	60		0				0	60	30	2015	60	ITU estimate
2017.Q2.G.01	IT_MOB_3GNTWK	Proportion of population covered by at least a 3G mobile network	214	-70.49847576	18.89832088	DOM	Dominican Republic	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP								80	98.8						80	98.8	89.4	2015	98.8	Instituto Dominicano de las Telecomunicaciones (INDOTEL)
2017.Q2.G.01	IT_MOB_3GNTWK	Proportion of population covered by at least a 3G mobile network	218	-78.37005241	-1.447785891	ECU	Ecuador	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP		53.14	62.21	66.29	77.75	87.47	88.86	91.63	91.86	62.21	66.29	77.75	87.47	88.86	91.63	91.86	87.514	2015	91.86	Agencia de Regulación y Control de las Telecomunicaciones
2017.Q2.G.01	IT_MOB_3GNTWK	Proportion of population covered by at least a 3G mobile network	222	-88.86862995	13.73603564	SLV	El Salvador	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP								55.43	73.41						55.43	73.41	64.42	2015	73.41	Superintendencia General de Electricidad y Telecomunicaciones
2017.Q2.G.01	IT_MOB_3GNTWK	Proportion of population covered by at least a 3G mobile network	226	10.46535826	1.565792376	GNQ	Equatorial Guinea	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP																				
2017.Q2.G.01	IT_MOB_3GNTWK	Proportion of population covered by at least a 3G mobile network	231	39.63505296	8.631223181	ETH	Ethiopia	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP					4	4		65	71			4	4		65	71	36	2015	71	Ministry of Communications and Information Technology
2017.Q2.G.01	IT_MOB_3GNTWK	Proportion of population covered by at least a 3G mobile network	232	38.11074289	16.12894644	ERI	Eritrea	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP						85	92	92	92				85	92	92	92	90.25	2015	92	ITU estimate
2017.Q2.G.01	IT_MOB_3GNTWK	Proportion of population covered by at least a 3G mobile network	233	25.84093481	58.68487172	EST	Estonia	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP			85	95	97	97	100	100	100	85	95	97	97	100	100	100	98.8	2015	100	Estonian Technical Regulatory Authority
2017.Q2.G.01	IT_MOB_3GNTWK	Proportion of population covered by at least a 3G mobile network	234	-7.122044325	62.21228119	FRO	Faroe Islands	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP									96							96	96	2015	96	Post and Telecom Authority
2017.Q2.G.01	IT_MOB_3GNTWK	Proportion of population covered by at least a 3G mobile network	238	-58.75246778	-51.74562601	FLK	Falkland Islands (Malvinas)	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP																				
2017.Q2.G.01	IT_MOB_3GNTWK	Proportion of population covered by at least a 3G mobile network	239	-36.90662765	-54.20736749	SGS	South Georgia and the South Sandwich Islands	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP																				
2017.Q2.G.01	IT_MOB_3GNTWK	Proportion of population covered by at least a 3G mobile network	242	177.9660884	-17.83301566	FJI	Fiji	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP							30	30	68.35					30	30	68.35	42.7833333333333	2015	68.35	Ministry of Communications
2017.Q2.G.01	IT_MOB_3GNTWK	Proportion of population covered by at least a 3G mobile network	246	23.308447	61.91586738	FIN	Finland	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP		80			95			95	99.9			95			95	99.9	96.6333333333333	2015	99.9	
2017.Q2.G.01	IT_MOB_3GNTWK	Proportion of population covered by at least a 3G mobile network	248	19.80945969	60.1544901	ALA	Åland Islands	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP																				
2017.Q2.G.01	IT_MOB_3GNTWK	Proportion of population covered by at least a 3G mobile network	250	2.457288129	46.62660861	FRA	France	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP		72.5		91	98	98		98	99		91	98	98		98	99	98.25	2015	99	Autorité de Régulation des Communications électroniques et des postes
2017.Q2.G.01	IT_MOB_3GNTWK	Proportion of population covered by at least a 3G mobile network	254	-53.23619089	3.922673437	GUF	French Guiana	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP																				
2017.Q2.G.01	IT_MOB_3GNTWK	Proportion of population covered by at least a 3G mobile network	258	-149.4052367	-17.67709294	PYF	French Polynesia	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP		15	30	45	68	78	80	80	85	30	45	68	78	80	80	85	78.2	2015	85	Direction générale de l'économie numérique (DGEN)
2017.Q2.G.01	IT_MOB_3GNTWK	Proportion of population covered by at least a 3G mobile network	260	69.64849091	-49.6068576	ATF	French Southern Territories	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP																				
2017.Q2.G.01	IT_MOB_3GNTWK	Proportion of population covered by at least a 3G mobile network	262	42.18274707	11.56004161	DJI	Djibouti	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP			0	0	0			0	0	0	0	0			0	0	0	2015	0	ITU estimate
2017.Q2.G.01	IT_MOB_3GNTWK	Proportion of population covered by at least a 3G mobile network	266	11.78727747	-0.60687619	GAB	Gabon	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP								75	97						75	97	86	2015	97	Autorité de Régulation des Communications Electroniques et des Postes
2017.Q2.G.01	IT_MOB_3GNTWK	Proportion of population covered by at least a 3G mobile network	268	43.3713615	42.04813028	GEO	Georgia	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP								99	99						99	99	99	2015	99	Georgian National Communications Commission
2017.Q2.G.01	IT_MOB_3GNTWK	Proportion of population covered by at least a 3G mobile network	270	-15.39944785	13.45295927	GMB	Gambia	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP			50					50	86	50					50	86	68	2015	86	
2017.Q2.G.01	IT_MOB_3GNTWK	Proportion of population covered by at least a 3G mobile network	275	35.25694122	31.94347933	PSE	State of Palestine	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP				0	0	0	0	0	0		0	0	0	0	0	0	0	2015	0	Palestinian Central Bureau of Statistics
2017.Q2.G.01	IT_MOB_3GNTWK	Proportion of population covered by at least a 3G mobile network	276	10.3806066	51.08862743	DEU	Germany	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP		80			89	90	92	92.5	95.7			89	90	92	92.5	95.7	91.84	2015	95.7	Bundesnetzagentur (BNetzA) / Federal Network Agency
2017.Q2.G.01	IT_MOB_3GNTWK	Proportion of population covered by at least a 3G mobile network	288	-1.205623522	7.964825185	GHA	Ghana	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP			35	36	38	40		70	80	35	36	38	40		70	80	57	2015	80	National Communications Authority
2017.Q2.G.01	IT_MOB_3GNTWK	Proportion of population covered by at least a 3G mobile network	292	-5.347561686	36.13895036	GIB	Gibraltar	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP								100	100						100	100	100	2015	100	Gibraltar Regulatory Authority
2017.Q2.G.01	IT_MOB_3GNTWK	Proportion of population covered by at least a 3G mobile network	296	-157.5643005	1.768837732	KIR	Kiribati	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP									63							63	63	2015	63	Ministry of Information, Communication, Transport and Tourism Development
2017.Q2.G.01	IT_MOB_3GNTWK	Proportion of population covered by at least a 3G mobile network	300	22.58307827	39.47301873	GRC	Greece	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP		88	74.5	96	98	98	98.7	98.7	99.3	74.5	96	98	98	98.7	98.7	99.3	98.54	2015	99.3	Hellenic Telecommunications & Post Commission
2017.Q2.G.01	IT_MOB_3GNTWK	Proportion of population covered by at least a 3G mobile network	304	-41.39371316	74.75625681	GRL	Greenland	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP	0	0	0	25	34	49		49	49	0	25	34	49		49	49	45.25	2015	49	ITU estimate
2017.Q2.G.01	IT_MOB_3GNTWK	Proportion of population covered by at least a 3G mobile network	308	-61.68248568	12.11238395	GRD	Grenada	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP								100	75						100	75	87.5	2015	75	ITU estimate
2017.Q2.G.01	IT_MOB_3GNTWK	Proportion of population covered by at least a 3G mobile network	312	-61.64762115	16.14416917	GLP	Guadeloupe	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP																				
2017.Q2.G.01	IT_MOB_3GNTWK	Proportion of population covered by at least a 3G mobile network	316	144.7029305	13.35485404	GUM	Guam	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP																				
