series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Freq	Units	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2017.Q2.G.01	SN_ITK_DEFC	Prevalence of undernourishment, total (%)	40	14.14172472	47.58704857	AUT	Austria	1	ANNUAL	PERCENT																														
2017.Q2.G.01	SN_ITK_DEFC	Prevalence of undernourishment, total (%)	44	-78.05111663	24.69546597	BHS	Bahamas	1	ANNUAL	PERCENT																														
2017.Q2.G.01	SN_ITK_DEFC	Prevalence of undernourishment, total (%)	48	50.5490754	26.04407747	BHR	Bahrain	1	ANNUAL	PERCENT																														
2017.Q2.G.01	SN_ITK_DEFC	Prevalence of undernourishment, total (%)	50	89.17660788	22.86961622	BGD	Bangladesh	1	ANNUAL	PERCENT	32.8	33.2	34.7	36.3	36.9	36.1	34.1	30.8	26.9	23.1	20.6	19.1	18.3	17.5	17.1	16.8	16.9	17	17.2	17.2	17.3	17.3	17.2	16.9	16.4	17.02	2014	16.4	FAO. Statistics Division	E
2017.Q2.G.01	SN_ITK_DEFC	Prevalence of undernourishment, total (%)	51	44.93839317	40.29499741	ARM	Armenia	1	ANNUAL	PERCENT	27.3	27.3	27.3	27.3	22.7	19.6	17	17.4	19	21.4	23	22.3	19.2	14.7	10.9	8.2	6.7	6.1	6.1	6.5	6.8	6.8	6.7	6.3	5.8	6.48	2014	5.8	FAO. Statistics Division	E
2017.Q2.G.01	SN_ITK_DEFC	Prevalence of undernourishment, total (%)	52	-59.5346489	13.13648273	BRB	Barbados	1	ANNUAL	PERCENT											5.2	5.4	6	6.3	6.9	6.7	6.3	5.3									2007	5.3	FAO. Statistics Division	E
2017.Q2.G.01	SN_ITK_DEFC	Prevalence of undernourishment, total (%)	56	4.660976456	50.64104975	BEL	Belgium	1	ANNUAL	PERCENT																														
2017.Q2.G.01	SN_ITK_DEFC	Prevalence of undernourishment, total (%)	60	-64.78155012	32.27881922	BMU	Bermuda	1	ANNUAL	PERCENT																														
2017.Q2.G.01	SN_ITK_DEFC	Prevalence of undernourishment, total (%)	64	90.45098484	27.39598568	BTN	Bhutan	1	ANNUAL	PERCENT																														
2017.Q2.G.01	SN_ITK_DEFC	Prevalence of undernourishment, total (%)	68	-64.66224284	-16.71273412	BOL	Bolivia (Plurinational State of)	1	ANNUAL	PERCENT	38	35.9	36.5	35.7	35.3	33.7	34.1	35	36	34.6	32.8	31	30.8	31	31.1	29.9	28.7	28	28	27	24.5	21.1	18.3	16.6	15.9	19.28	2014	15.9	FAO. Statistics Division	E
2017.Q2.G.01	SN_ITK_DEFC	Prevalence of undernourishment, total (%)	70	17.78584332	44.16845548	BIH	Bosnia and Herzegovina	1	ANNUAL	PERCENT																														
2017.Q2.G.01	SN_ITK_DEFC	Prevalence of undernourishment, total (%)	72	23.81380223	-22.18810073	BWA	Botswana	1	ANNUAL	PERCENT	25.1	26.7	28.6	30.4	30.1	29.6	30	32.1	34.5	35.6	36	35.5	35.1	34	32.8	32.2	32.4	32.5	31.8	30.4	28.7	27	25.8	24.8	24.1	26.08	2014	24.1	FAO. Statistics Division	E
2017.Q2.G.01	SN_ITK_DEFC	Prevalence of undernourishment, total (%)	74	3.410732868	-54.43295905	BVT	Bouvet Island	1	ANNUAL	PERCENT																														
2017.Q2.G.01	SN_ITK_DEFC	Prevalence of undernourishment, total (%)	76	-53.08432878	-10.77668561	BRA	Brazil	1	ANNUAL	PERCENT	14.8	14.3	14.3	14.1	13.8	13.6	13.3	13.1	12.9	12.3	11.2	9.6	7.8	6.1													2003	6.1	FAO. Statistics Division	E
2017.Q2.G.01	SN_ITK_DEFC	Prevalence of undernourishment, total (%)	84	-88.70199554	17.19965901	BLZ	Belize	1	ANNUAL	PERCENT	9.7	8.5	7.3	6.6	6.5	6.7	7	7.2	7	6.5	5.8	5.3					5.1	5.4	5.7	5.7	5.7	5.9	6.2	6.3	6.2	6.06	2014	6.2	FAO. Statistics Division	E
2017.Q2.G.01	SN_ITK_DEFC	Prevalence of undernourishment, total (%)	86	72.38715553	-7.299281071	IOT	British Indian Ocean Territory	1	ANNUAL	PERCENT																														
2017.Q2.G.01	SN_ITK_DEFC	Prevalence of undernourishment, total (%)	90	160.1584117	-9.622391719	SLB	Solomon Islands	1	ANNUAL	PERCENT	24.8	23.7	23.1	21	18.4	16.1	15	14.6	14.6	15	15	14.7	13.8	13.1	12.4	12	11.6	11.4	11	10.9	10.7	10.6	10.6	10.9	11.3	10.82	2014	11.3	FAO. Statistics Division	E
2017.Q2.G.01	SN_ITK_DEFC	Prevalence of undernourishment, total (%)	92	-64.63294223	18.42256578	VGB	British Virgin Islands	1	ANNUAL	PERCENT																														
2017.Q2.G.01	SN_ITK_DEFC	Prevalence of undernourishment, total (%)	96	114.6288563	4.49736984	BRN	Brunei Darussalam	1	ANNUAL	PERCENT																														
2017.Q2.G.01	SN_ITK_DEFC	Prevalence of undernourishment, total (%)	100	25.23763153	42.75731323	BGR	Bulgaria	1	ANNUAL	PERCENT																														
2017.Q2.G.01	SN_ITK_DEFC	Prevalence of undernourishment, total (%)	104	96.51752295	21.19332882	MMR	Myanmar	1	ANNUAL	PERCENT	62.6	62.7	62.5	61.6	60.6	58.7	56.9	55.2	54.1	52.4	49.6	46.3	42.9	39.9	36.9	33.7	30.1	26.4	23	20.2	18	16.5	15.5	14.9	14.2	15.82	2014	14.2	FAO. Statistics Division	E
2017.Q2.G.01	SN_ITK_DEFC	Prevalence of undernourishment, total (%)	108	29.89080992	-3.366387428	BDI	Burundi	1	ANNUAL	PERCENT																														
2017.Q2.G.01	SN_ITK_DEFC	Prevalence of undernourishment, total (%)	112	28.04940161	53.54193075	BLR	Belarus	1	ANNUAL	PERCENT																														
2017.Q2.G.01	SN_ITK_DEFC	Prevalence of undernourishment, total (%)	116	104.922836	12.71163737	KHM	Cambodia	1	ANNUAL	PERCENT	32.1	29.7	29	28.3	29.3	31.9	35.3	36.7	35.2	32	28.5	25.9	23.6	22.1	20.8	19.6	18.3	17.5	17.1	17	16.8	16.4	15.7	15	14.2	15.62	2014	14.2	FAO. Statistics Division	E
2017.Q2.G.01	SN_ITK_DEFC	Prevalence of undernourishment, total (%)	120	12.7419827	5.692387031	CMR	Cameroon	1	ANNUAL	PERCENT	37.8	37.5	36.7	37.5	38	38	37.1	35.5	34	32.3	30.8	29	27.1	25	23.1	21	18.8	16.9	15	13.4	11.9	10.8	10.4	10.2	9.9	10.64	2014	9.9	FAO. Statistics Division	E
2017.Q2.G.01	SN_ITK_DEFC	Prevalence of undernourishment, total (%)	124	-101.6575058	57.72360191	CAN	Canada	1	ANNUAL	PERCENT																														
2017.Q2.G.01	SN_ITK_DEFC	Prevalence of undernourishment, total (%)	132	-23.63544151	15.07791834	CPV	Cabo Verde	1	ANNUAL	PERCENT	16.1	15.8	13.4	13.6	14.7	17	18.3	18.8	18.7	18.7	19.2	19.4	19.1	17.6	15.9	14.4	13.5	13	12.9	12.6	12.1	11.4	10.6	10	9.4	10.7	2014	9.4	FAO. Statistics Division	E
2017.Q2.G.01	SN_ITK_DEFC	Prevalence of undernourishment, total (%)	136	-81.16740559	19.32266656	CYM	Cayman Islands	1	ANNUAL	PERCENT																														
2017.Q2.G.01	SN_ITK_DEFC	Prevalence of undernourishment, total (%)	140	20.93559492	7.003720791	CAF	Central African Republic	1	ANNUAL	PERCENT	47.3	47.6	48.4	49.2	49.6	49.4	48.2	46.8	45	44.1	42.9	42.5	42.2	42.3	41.8	40.6	39	37.1	35.3	34.1	33.7	35.3	39.4	44.5	47.7	40.12	2014	47.7	FAO. Statistics Division	E
2017.Q2.G.01	SN_ITK_DEFC	Prevalence of undernourishment, total (%)	144	80.70489654	7.614693343	LKA	Sri Lanka	1	ANNUAL	PERCENT	30.6	31.3	31.9	32.1	31.3	31.3	31.3	31.3	30.7	29.9	29.7	29.7	29.9	29.8	29.5	29.1	28.4	27.6	26.7	26	25.3	24.6	23.8	22.9	22	23.72	2014	22	FAO. Statistics Division	E
2017.Q2.G.01	SN_ITK_DEFC	Prevalence of undernourishment, total (%)	148	18.66618401	15.36279341	TCD	Chad	1	ANNUAL	PERCENT	59.1	56.4	55.7	54.2	51.5	50.9	48.2	45.5	41.7	40.1	40.1	40.2	40.2	39.7	39.7	39.7	40.3	40.8	41.1	41	40.1	39	37.5	36.1	34.4	37.42	2014	34.4	FAO. Statistics Division	E
2017.Q2.G.01	SN_ITK_DEFC	Prevalence of undernourishment, total (%)	152	-71.23029019	-35.2652885	CHL	Chile	1	ANNUAL	PERCENT	9	8.1	7.1	6.3	5.8	5.5	5.3	5.2	5.1																		1998	5.1	FAO. Statistics Division	E
2017.Q2.G.01	SN_ITK_DEFC	Prevalence of undernourishment, total (%)	156	104.1403375	32.30955217	CHN	China	1	ANNUAL	PERCENT	23.9	24.5	23.4	22	20.1	18.5	17.6	16.9	16.5	16.2	16	15.9	15.9	15.8	15.6	15.3	14.8	14.1	13.3	12.5	11.7	11	10.4	9.8	9.3	10.44	2014	9.3	FAO. Statistics Division	E
2017.Q2.G.01	SN_ITK_DEFC	Prevalence of undernourishment, total (%)	162	105.6426067	-10.4882473	CXR	Christmas Island	1	ANNUAL	PERCENT																														
2017.Q2.G.01	SN_ITK_DEFC	Prevalence of undernourishment, total (%)	166	96.82633757	-12.18600682	CCK	Cocos (Keeling) Islands	1	ANNUAL	PERCENT																														
2017.Q2.G.01	SN_ITK_DEFC	Prevalence of undernourishment, total (%)	170	-73.07446751	3.888209046	COL	Colombia	1	ANNUAL	PERCENT	14.6	13.8	12.8	11.7	10.7	10.2	10	10.1	10.2	9.9	9.6	9	8.9	8.9	9.5	9.7	9.4	9.2	9.6	10.7	11.2	11.1	10.3	9.5	8.8	10.18	2014	8.8	FAO. Statistics Division	E
2017.Q2.G.01	SN_ITK_DEFC	Prevalence of undernourishment, total (%)	174	43.34234565	-11.66121732	COM	Comoros	1	ANNUAL	PERCENT																														
2017.Q2.G.01	SN_ITK_DEFC	Prevalence of undernourishment, total (%)	175	45.14015057	-12.82217691	MYT	Mayotte	1	ANNUAL	PERCENT																														
2017.Q2.G.01	SN_ITK_DEFC	Prevalence of undernourishment, total (%)	178	15.22052612	-0.840544119	COG	Congo	1	ANNUAL	PERCENT	43.2	43.3	43.6	44.3	45	45.4	45	43.2	39.9	35.9	32	29.2	27.6	28.5	30.2	32.8	33.3	33.3	32.5	31.5	29.9	28.3	28	29	30.5	29.14	2014	30.5	FAO. Statistics Division	E
2017.Q2.G.01	SN_ITK_DEFC	Prevalence of undernourishment, total (%)	180	23.65496507	-2.877154732	COD	Democratic Republic of the Congo	1	ANNUAL	PERCENT																														
2017.Q2.G.01	SN_ITK_DEFC	Prevalence of undernourishment, total (%)	184	-159.7711391	-21.22696458	COK	Cook Islands	1	ANNUAL	PERCENT																														
2017.Q2.G.01	SN_ITK_DEFC	Prevalence of undernourishment, total (%)	188	-84.19712782	9.970998683	CRI	Costa Rica	1	ANNUAL	PERCENT	5.2	5.4	5.4	5.4	5.4	5.6	5.8	5.9	5.6	5.2	5.1	5.4	5.9	6.1	6	5.6	5.2	5.2	5.3	5.3	5.3	5.4	5.7	5.5		5.475	2013	5.5	FAO. Statistics Division	E
2017.Q2.G.01	SN_ITK_DEFC	Prevalence of undernourishment, total (%)	191	17.95874553	45.45172212	HRV	Croatia	1	ANNUAL	PERCENT																														
2017.Q2.G.01	SN_ITK_DEFC	Prevalence of undernourishment, total (%)	192	-79.54460144	22.10030366	CUB	Cuba	1	ANNUAL	PERCENT	5.7	9	13.1	18.3	20.7	20.1	16.8	12.6	8.7	5.6																	1999	5.6	FAO. Statistics Division	E
2017.Q2.G.01	SN_ITK_DEFC	Prevalence of undernourishment, total (%)	196	33.22285964	35.05659437	CYP	Cyprus	1	ANNUAL	PERCENT																														
2017.Q2.G.01	SN_ITK_DEFC	Prevalence of undernourishment, total (%)	203	15.33151382	49.73913871	CZE	Czechia	1	ANNUAL	PERCENT																														
2017.Q2.G.01	SN_ITK_DEFC	Prevalence of undernourishment, total (%)	204	2.339933594	9.65401646	BEN	Benin	1	ANNUAL	PERCENT	28.1	27.7	28.5	28.2	27.5	26.3	25.4	25	24.6	23.9	22.4	20.6	18.6	17.2	15.9	15	14	13	12.5	12.1	11.9	10.8	9.4	8.1	7.5	9.54	2014	7.5	FAO. Statistics Division	E
2017.Q2.G.01	SN_ITK_DEFC	Prevalence of undernourishment, total (%)	208	9.326571283	56.03829721	DNK	Denmark	1	ANNUAL	PERCENT																														
2017.Q2.G.01	SN_ITK_DEFC	Prevalence of undernourishment, total (%)	212	-61.3493756	15.43391378	DMA	Dominica	1	ANNUAL	PERCENT																														
2017.Q2.G.01	SN_ITK_DEFC	Prevalence of undernourishment, total (%)	214	-70.49847576	18.89832088	DOM	Dominican Republic	1	ANNUAL	PERCENT	34.3	32.1	30.7	28.1	26.9	27.3	29.4	31.4	31.9	30.7	28.4	27.4	27.6	28.3	26.9	24.2	21.7	20.5	19.8	18.1	15.9	14	13	12.5	12.3	13.54	2014	12.3	FAO. Statistics Division	E
2017.Q2.G.01	SN_ITK_DEFC	Prevalence of undernourishment, total (%)	218	-78.37005241	-1.447785891	ECU	Ecuador	1	ANNUAL	PERCENT	19.4	19.4	17	15.7	14.7	15.1	15.8	16.5	17.2	17.8	18.6	19.3	19.6	19.8	19.3	18.8	17.8	17.1	15.8	14.4	12.8	11.8	11.4	11.1	10.9	11.6	2014	10.9	FAO. Statistics Division	E
2017.Q2.G.01	SN_ITK_DEFC	Prevalence of undernourishment, total (%)	222	-88.86862995	13.73603564	SLV	El Salvador	1	ANNUAL	PERCENT	16.2	15.1	15.4	15.4	15.6	15.4	15	14.6	13.8	12.5	10.6	9.3	8.9	9.4	10.2	10.7	11	11.2	11.5	12	12.6	12.9	12.8	12.6	12.4	12.66	2014	12.4	FAO. Statistics Division	E
2017.Q2.G.01	SN_ITK_DEFC	Prevalence of undernourishment, total (%)	226	10.46535826	1.565792376	GNQ	Equatorial Guinea	1	ANNUAL	PERCENT																														
2017.Q2.G.01	SN_ITK_DEFC	Prevalence of undernourishment, total (%)	231	39.63505296	8.631223181	ETH	Ethiopia	1	ANNUAL	PERCENT	74.8	75.2	72.5	73.4	71.4	69	65.7	63	60.6	57.9	54.8	51.9	49.9	47.8	45.9	43.8	42.4	41.1	39.5	37.6	36	34.9	33.9	33.1	32	33.98	2014	32	FAO. Statistics Division	E
2017.Q2.G.01	SN_ITK_DEFC	Prevalence of undernourishment, total (%)	232	38.11074289	16.12894644	ERI	Eritrea	1	ANNUAL	PERCENT																														
2017.Q2.G.01	SN_ITK_DEFC	Prevalence of undernourishment, total (%)	233	25.84093481	58.68487172	EST	Estonia	1	ANNUAL	PERCENT																														
2017.Q2.G.01	SN_ITK_DEFC	Prevalence of undernourishment, total (%)	234	-7.122044325	62.21228119	FRO	Faroe Islands	1	ANNUAL	PERCENT																														
2017.Q2.G.01	SN_ITK_DEFC	Prevalence of undernourishment, total (%)	238	-58.75246778	-51.74562601	FLK	Falkland Islands (Malvinas)	1	ANNUAL	PERCENT																														
2017.Q2.G.01	SN_ITK_DEFC	Prevalence of undernourishment, total (%)	239	-36.90662765	-54.20736749	SGS	South Georgia and the South Sandwich Islands	1	ANNUAL	PERCENT																														
2017.Q2.G.01	SN_ITK_DEFC	Prevalence of undernourishment, total (%)	242	177.9660884	-17.83301566	FJI	Fiji	1	ANNUAL	PERCENT	6.6	6.1	5.7	5.3	5.3	5.4	5.2	5																			1997	5	FAO. Statistics Division	E
2017.Q2.G.01	SN_ITK_DEFC	Prevalence of undernourishment, total (%)	246	23.308447	61.91586738	FIN	Finland	1	ANNUAL	PERCENT																														
2017.Q2.G.01	SN_ITK_DEFC	Prevalence of undernourishment, total (%)	248	19.80945969	60.1544901	ALA	Åland Islands	1	ANNUAL	PERCENT																														
2017.Q2.G.01	SN_ITK_DEFC	Prevalence of undernourishment, total (%)	250	2.457288129	46.62660861	FRA	France	1	ANNUAL	PERCENT																														
2017.Q2.G.01	SN_ITK_DEFC	Prevalence of undernourishment, total (%)	254	-53.23619089	3.922673437	GUF	French Guiana	1	ANNUAL	PERCENT																														
2017.Q2.G.01	SN_ITK_DEFC	Prevalence of undernourishment, total (%)	258	-149.4052367	-17.67709294	PYF	French Polynesia	1	ANNUAL	PERCENT																														
2017.Q2.G.01	SN_ITK_DEFC	Prevalence of undernourishment, total (%)	260	69.64849091	-49.6068576	ATF	French Southern Territories	1	ANNUAL	PERCENT																														
2017.Q2.G.01	SN_ITK_DEFC	Prevalence of undernourishment, total (%)	262	42.18274707	11.56004161	DJI	Djibouti	1	ANNUAL	PERCENT	74.8	76.8	75.9	74.3	71.5	68	64.9	61	56.6	52.4	48.9	46.5	43.8	40.9	37.2	33	29.3	26.2	24.3	23.1	22	20.5	18.9	17.3	15.9	18.92	2014	15.9	FAO. Statistics Division	E
2017.Q2.G.01	SN_ITK_DEFC	Prevalence of undernourishment, total (%)	266	11.78727747	-0.60687619	GAB	Gabon	1	ANNUAL	PERCENT	11.7	9.5	10.1	9.7	9.5	8.5	7.4	6.5	5.5																		1998	5.5	FAO. Statistics Division	E
2017.Q2.G.01	SN_ITK_DEFC	Prevalence of undernourishment, total (%)	268	43.3713615	42.04813028	GEO	Georgia	1	ANNUAL	PERCENT	56.5	80.8	67.1	65	46.4	29.4	16.3	11.1	12.6	14.8	16.3	13.7	10.5	7.7	6.3	6	6.4	6.8	7.6	9	10.1	10.1	9.1	8	7.4	8.94	2014	7.4	FAO. Statistics Division	E
2017.Q2.G.01	SN_ITK_DEFC	Prevalence of undernourishment, total (%)	270	-15.39944785	13.45295927	GMB	Gambia	1	ANNUAL	PERCENT	13.3	13.5	14.6	15.9	17.3	17.6	17.7	17	15.9	14.1	13	13	13.9	14.5	15	14.9	14.6	13.1	11.2	8.8	7.1	6.1	5.6	5.4	5.3	5.9	2014	5.3	FAO. Statistics Division	E
2017.Q2.G.01	SN_ITK_DEFC	Prevalence of undernourishment, total (%)	275	35.25694122	31.94347933	PSE	State of Palestine	1	ANNUAL	PERCENT																														
2017.Q2.G.01	SN_ITK_DEFC	Prevalence of undernourishment, total (%)	276	10.3806066	51.08862743	DEU	Germany	1	ANNUAL	PERCENT																														
2017.Q2.G.01	SN_ITK_DEFC	Prevalence of undernourishment, total (%)	288	-1.205623522	7.964825185	GHA	Ghana	1	ANNUAL	PERCENT	47.3	36.9	33.9	27.3	24.2	22.3	21.4	20.5	19.1	17.5	15.9	14.6	13.6	12.6	11.6	10.5	9.4	8.3	7.3	6.5	5.6					5.6	2010	5.6	FAO. Statistics Division	E
2017.Q2.G.01	SN_ITK_DEFC	Prevalence of undernourishment, total (%)	292	-5.347561686	36.13895036	GIB	Gibraltar	1	ANNUAL	PERCENT																														
2017.Q2.G.01	SN_ITK_DEFC	Prevalence of undernourishment, total (%)	296	-157.5643005	1.768837732	KIR	Kiribati	1	ANNUAL	PERCENT	7.5	6.7	6.7	6.3	6.3	6.1	5.9	5.6	5.1																		1998	5.1	FAO. Statistics Division	E
2017.Q2.G.01	SN_ITK_DEFC	Prevalence of undernourishment, total (%)	300	22.58307827	39.47301873	GRC	Greece	1	ANNUAL	PERCENT																														
2017.Q2.G.01	SN_ITK_DEFC	Prevalence of undernourishment, total (%)	304	-41.39371316	74.75625681	GRL	Greenland	1	ANNUAL	PERCENT																														
2017.Q2.G.01	SN_ITK_DEFC	Prevalence of undernourishment, total (%)	308	-61.68248568	12.11238395	GRD	Grenada	1	ANNUAL	PERCENT																														
2017.Q2.G.01	SN_ITK_DEFC	Prevalence of undernourishment, total (%)	312	-61.64762115	16.14416917	GLP	Guadeloupe	1	ANNUAL	PERCENT																														
2017.Q2.G.01	SN_ITK_DEFC	Prevalence of undernourishment, total (%)	316	144.7029305	13.35485404	GUM	Guam	1	ANNUAL	PERCENT																														
2017.Q2.G.01	SN_ITK_DEFC	Prevalence of undernourishment, total (%)	320	-91.2312746	15.00273719	GTM	Guatemala	1	ANNUAL	PERCENT	14.9	15.4	15.3	15.2	15.5	17.1	19.3	21.7	22.3	22.1	20.4	18.7	16.9	16.3	16.2	15.9	15.5	15.1	15.2	14.8	14.8	14.8	15.3	15.6	15.6	15.22	2014	15.6	FAO. Statistics Division	E
2017.Q2.G.01	SN_ITK_DEFC	Prevalence of undernourishment, total (%)	324	-11.28173419	11.00210343	GIN	Guinea	1	ANNUAL	PERCENT	23.2	22.8	22.7	23.1	23.9	25.1	26.6	27.9	28	27.2	26.1	25.5	25	24.2	23.1	22	20.7	19.8	18.9	18.3	17.8	17.5	17.1	16.8	16.4	17.12	2014	16.4	FAO. Statistics Division	E
2017.Q2.G.01	SN_ITK_DEFC	Prevalence of undernourishment, total (%)	328	-58.97322037	4.788012784	GUY	Guyana	1	ANNUAL	PERCENT	22.8	22	20.5	18.5	16.4	14.6	13.2	12.2	11.2	10.4	9.7	9.3	9.4	9.7	10.1	10.4	10.8	11.2	11.7	11.9	11.8	11.6	11.5	11.2	10.6	11.34	2014	10.6	FAO. Statistics Division	E
2017.Q2.G.01	SN_ITK_DEFC	Prevalence of undernourishment, total (%)	332	-72.33640958	18.40426539	HTI	Haiti	1	ANNUAL	PERCENT	61.1	61.5	62.6	63.1	62.8	61.4	59.6	57.8	56.1	55.2	55.2	56.1	57	57.7	57.6	57.1	55.8	54.4	52.3	50.6	49.3	49.3	50.7	52.3	53.4	51	2014	53.4	FAO. Statistics Division	E
2017.Q2.G.01	SN_ITK_DEFC	Prevalence of undernourishment, total (%)	334	73.52633626	-53.09106147	HMD	Heard Island and McDonald Islands	1	ANNUAL	PERCENT																														
2017.Q2.G.01	SN_ITK_DEFC	Prevalence of undernourishment, total (%)	336	12.45315803	41.90343751	VAT	Holy See	1	ANNUAL	PERCENT																														
2017.Q2.G.01	SN_ITK_DEFC	Prevalence of undernourishment, total (%)	340	-86.59974381	14.82243161	HND	Honduras	1	ANNUAL	PERCENT	23	22.7	21.9	21.3	20.5	19.8	19.3	19.3	19.2	19	18.5	17.8	17.1	16.8	16.7	16.4	15.9	15.3	15	14.9	14.6	13.7	12.8	12.3	12.2	13.12	2014	12.2	FAO. Statistics Division	E
2017.Q2.G.01	SN_ITK_DEFC	Prevalence of undernourishment, total (%)	344	114.0266445	22.41749934	HKG	China, Hong Kong Special Administrative Region	1	ANNUAL	PERCENT																														
2017.Q2.G.01	SN_ITK_DEFC	Prevalence of undernourishment, total (%)	348	19.41221519	47.1651448	HUN	Hungary	1	ANNUAL	PERCENT																														
2017.Q2.G.01	SN_ITK_DEFC	Prevalence of undernourishment, total (%)	352	-19.02116966	64.79134763	ISL	Iceland	1	ANNUAL	PERCENT																														
2017.Q2.G.01	SN_ITK_DEFC	Prevalence of undernourishment, total (%)	356	79.3608464	22.34642074	IND	India	1	ANNUAL	PERCENT	23.7	22.2	22.4	22.1	21.6	20.5	19.2	18	17.3	17	17.5	18.6	19.9	20.9	21.2	20.5	18.9	17.2	16.2	15.7	15.6	15.4	15.4	15.3	15.2	15.38	2014	15.2	FAO. Statistics Division	E
2017.Q2.G.01	SN_ITK_DEFC	Prevalence of undernourishment, total (%)	360	113.9174	-0.994582204	IDN	Indonesia	1	ANNUAL	PERCENT	19.7	19	18.1	16.8	15.5	14.6	14.5	15.2	16.1	17.2	18.1	18.7	18.8	18.7	18.8	18.8	18.5	17.7	15.9	13.5	11.1	9.3	8.2	7.6	7.6	8.76	2014	7.6	FAO. Statistics Division	E
2017.Q2.G.01	SN_ITK_DEFC	Prevalence of undernourishment, total (%)	364	54.19766348	32.74370885	IRN	Iran (Islamic Republic of)	1	ANNUAL	PERCENT	5.1									5.2	5.6	6.1	6.4	6.5	6.5	6.6	6.6	6.6	6.5	6.4	6.2	5.9	5.7	5.1		5.725	2013	5.1	FAO. Statistics Division	E
2017.Q2.G.01	SN_ITK_DEFC	Prevalence of undernourishment, total (%)	368	43.76606267	33.05013795	IRQ	Iraq	1	ANNUAL	PERCENT	7.9	13.5	15.3	19.6	21	22.6	24.3	25.6	25.7	24.6	23.5	23.3	23.9	24.6	25.1	26	26.5	26.6	25.9	25.2	24.5	24	23.6	23.2	22.8	23.62	2014	22.8	FAO. Statistics Division	E
2017.Q2.G.01	SN_ITK_DEFC	Prevalence of undernourishment, total (%)	372	-7.121425272	53.25274054	IRL	Ireland	1	ANNUAL	PERCENT																														
2017.Q2.G.01	SN_ITK_DEFC	Prevalence of undernourishment, total (%)	376	34.62277992	31.06164552	ISR	Israel	1	ANNUAL	PERCENT																														
2017.Q2.G.01	SN_ITK_DEFC	Prevalence of undernourishment, total (%)	380	12.57022427	42.79917282	ITA	Italy	1	ANNUAL	PERCENT																														
