series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Freq	Sex	Units	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2017.Q2.G.01	SL_DOM_TSPD	Proportion of time spent on unpaid domestic and care work	32	-65.14563274	-35.19446255	ARG	Argentina	2	ANNUAL	FEMALE	PERCENT						16.736111					23.75			23.680556			23.680556	2013	23.680556	1st Survey unpaid work and time use 2013	CA
2017.Q2.G.01	SL_DOM_TSPD	Proportion of time spent on unpaid domestic and care work	36	134.3499412	-25.57717202	AUS	Australia	1	ANNUAL	MALE	PERCENT							11.388889											2006	11.388889	2006 Time Use Survey	CA
2017.Q2.G.01	SL_DOM_TSPD	Proportion of time spent on unpaid domestic and care work	36	134.3499412	-25.57717202	AUS	Australia	2	ANNUAL	FEMALE	PERCENT							20.833333											2006	20.833333	2006 Time Use Survey	CA
2017.Q2.G.01	SL_DOM_TSPD	Proportion of time spent on unpaid domestic and care work	40	14.14172472	47.58704857	AUT	Austria	1	ANNUAL	MALE	PERCENT										8.680556								2009	8.680556	Time Use Survey 2008/09	CA
2017.Q2.G.01	SL_DOM_TSPD	Proportion of time spent on unpaid domestic and care work	40	14.14172472	47.58704857	AUT	Austria	2	ANNUAL	FEMALE	PERCENT										16.944444								2009	16.944444	Time Use Survey 2008/09	CA
2017.Q2.G.01	SL_DOM_TSPD	Proportion of time spent on unpaid domestic and care work	44	-78.05111663	24.69546597	BHS	Bahamas	1	ANNUAL	MALE	PERCENT																					
2017.Q2.G.01	SL_DOM_TSPD	Proportion of time spent on unpaid domestic and care work	44	-78.05111663	24.69546597	BHS	Bahamas	2	ANNUAL	FEMALE	PERCENT																					
2017.Q2.G.01	SL_DOM_TSPD	Proportion of time spent on unpaid domestic and care work	48	50.5490754	26.04407747	BHR	Bahrain	1	ANNUAL	MALE	PERCENT																					
2017.Q2.G.01	SL_DOM_TSPD	Proportion of time spent on unpaid domestic and care work	48	50.5490754	26.04407747	BHR	Bahrain	2	ANNUAL	FEMALE	PERCENT																					
2017.Q2.G.01	SL_DOM_TSPD	Proportion of time spent on unpaid domestic and care work	50	89.17660788	22.86961622	BGD	Bangladesh	1	ANNUAL	MALE	PERCENT																					
2017.Q2.G.01	SL_DOM_TSPD	Proportion of time spent on unpaid domestic and care work	50	89.17660788	22.86961622	BGD	Bangladesh	2	ANNUAL	FEMALE	PERCENT																					
2017.Q2.G.01	SL_DOM_TSPD	Proportion of time spent on unpaid domestic and care work	51	44.93839317	40.29499741	ARM	Armenia	1	ANNUAL	MALE	PERCENT					4.583333				4.375									2008	4.375	Time Use Sample Survey in the Republic of Armenia	CA
2017.Q2.G.01	SL_DOM_TSPD	Proportion of time spent on unpaid domestic and care work	51	44.93839317	40.29499741	ARM	Armenia	2	ANNUAL	FEMALE	PERCENT					24.027778				21.666667									2008	21.666667	Time Use Sample Survey in the Republic of Armenia	CA
2017.Q2.G.01	SL_DOM_TSPD	Proportion of time spent on unpaid domestic and care work	52	-59.5346489	13.13648273	BRB	Barbados	1	ANNUAL	MALE	PERCENT																					
2017.Q2.G.01	SL_DOM_TSPD	Proportion of time spent on unpaid domestic and care work	52	-59.5346489	13.13648273	BRB	Barbados	2	ANNUAL	FEMALE	PERCENT																					
2017.Q2.G.01	SL_DOM_TSPD	Proportion of time spent on unpaid domestic and care work	56	4.660976456	50.64104975	BEL	Belgium	1	ANNUAL	MALE	PERCENT	9.236111					9.236111								10.069444			10.069444	2013	10.069444	Harmonised European Belgian Time Use Survey	CA
2017.Q2.G.01	SL_DOM_TSPD	Proportion of time spent on unpaid domestic and care work	56	4.660976456	50.64104975	BEL	Belgium	2	ANNUAL	FEMALE	PERCENT	16.041667					15								15.902778			15.902778	2013	15.902778	Harmonised European Belgian Time Use Survey	CA
2017.Q2.G.01	SL_DOM_TSPD	Proportion of time spent on unpaid domestic and care work	60	-64.78155012	32.27881922	BMU	Bermuda	1	ANNUAL	MALE	PERCENT																					
2017.Q2.G.01	SL_DOM_TSPD	Proportion of time spent on unpaid domestic and care work	60	-64.78155012	32.27881922	BMU	Bermuda	2	ANNUAL	FEMALE	PERCENT																					
2017.Q2.G.01	SL_DOM_TSPD	Proportion of time spent on unpaid domestic and care work	64	90.45098484	27.39598568	BTN	Bhutan	1	ANNUAL	MALE	PERCENT								5.069444										2007	5.069444	Pilot Time use survey	CA
2017.Q2.G.01	SL_DOM_TSPD	Proportion of time spent on unpaid domestic and care work	64	90.45098484	27.39598568	BTN	Bhutan	2	ANNUAL	FEMALE	PERCENT								13.263889										2007	13.263889	Pilot Time use survey	CA
2017.Q2.G.01	SL_DOM_TSPD	Proportion of time spent on unpaid domestic and care work	68	-64.66224284	-16.71273412	BOL	Bolivia (Plurinational State of)	1	ANNUAL	MALE	PERCENT		5.416667																2001	5.416667	Module in the Continuous Household Survey 2001 on unpaid domestic work	CA
2017.Q2.G.01	SL_DOM_TSPD	Proportion of time spent on unpaid domestic and care work	68	-64.66224284	-16.71273412	BOL	Bolivia (Plurinational State of)	2	ANNUAL	FEMALE	PERCENT		20.833333																2001	20.833333	Module in the Continuous Household Survey 2001 on unpaid domestic work	CA
2017.Q2.G.01	SL_DOM_TSPD	Proportion of time spent on unpaid domestic and care work	70	17.78584332	44.16845548	BIH	Bosnia and Herzegovina	1	ANNUAL	MALE	PERCENT																					
2017.Q2.G.01	SL_DOM_TSPD	Proportion of time spent on unpaid domestic and care work	70	17.78584332	44.16845548	BIH	Bosnia and Herzegovina	2	ANNUAL	FEMALE	PERCENT																					
2017.Q2.G.01	SL_DOM_TSPD	Proportion of time spent on unpaid domestic and care work	72	23.81380223	-22.18810073	BWA	Botswana	1	ANNUAL	MALE	PERCENT																					
2017.Q2.G.01	SL_DOM_TSPD	Proportion of time spent on unpaid domestic and care work	72	23.81380223	-22.18810073	BWA	Botswana	2	ANNUAL	FEMALE	PERCENT																					
2017.Q2.G.01	SL_DOM_TSPD	Proportion of time spent on unpaid domestic and care work	74	3.410732868	-54.43295905	BVT	Bouvet Island	1	ANNUAL	MALE	PERCENT																					
2017.Q2.G.01	SL_DOM_TSPD	Proportion of time spent on unpaid domestic and care work	74	3.410732868	-54.43295905	BVT	Bouvet Island	2	ANNUAL	FEMALE	PERCENT																					
2017.Q2.G.01	SL_DOM_TSPD	Proportion of time spent on unpaid domestic and care work	76	-53.08432878	-10.77668561	BRA	Brazil	1	ANNUAL	MALE	PERCENT										5.972222			3.125				3.125	2012	3.125	Questions in the National Sample Survey of Households (PNAD) on the hours spent on domestic work	CA
2017.Q2.G.01	SL_DOM_TSPD	Proportion of time spent on unpaid domestic and care work	76	-53.08432878	-10.77668561	BRA	Brazil	2	ANNUAL	FEMALE	PERCENT										17.638889			13.333333				13.333333	2012	13.333333	Questions in the National Sample Survey of Households (PNAD) on the hours spent on domestic work	CA
2017.Q2.G.01	SL_DOM_TSPD	Proportion of time spent on unpaid domestic and care work	84	-88.70199554	17.19965901	BLZ	Belize	1	ANNUAL	MALE	PERCENT																					
2017.Q2.G.01	SL_DOM_TSPD	Proportion of time spent on unpaid domestic and care work	84	-88.70199554	17.19965901	BLZ	Belize	2	ANNUAL	FEMALE	PERCENT																					
2017.Q2.G.01	SL_DOM_TSPD	Proportion of time spent on unpaid domestic and care work	86	72.38715553	-7.299281071	IOT	British Indian Ocean Territory	1	ANNUAL	MALE	PERCENT																					
2017.Q2.G.01	SL_DOM_TSPD	Proportion of time spent on unpaid domestic and care work	86	72.38715553	-7.299281071	IOT	British Indian Ocean Territory	2	ANNUAL	FEMALE	PERCENT																					
2017.Q2.G.01	SL_DOM_TSPD	Proportion of time spent on unpaid domestic and care work	90	160.1584117	-9.622391719	SLB	Solomon Islands	1	ANNUAL	MALE	PERCENT																					
2017.Q2.G.01	SL_DOM_TSPD	Proportion of time spent on unpaid domestic and care work	90	160.1584117	-9.622391719	SLB	Solomon Islands	2	ANNUAL	FEMALE	PERCENT																					
2017.Q2.G.01	SL_DOM_TSPD	Proportion of time spent on unpaid domestic and care work	92	-64.63294223	18.42256578	VGB	British Virgin Islands	1	ANNUAL	MALE	PERCENT																					
2017.Q2.G.01	SL_DOM_TSPD	Proportion of time spent on unpaid domestic and care work	92	-64.63294223	18.42256578	VGB	British Virgin Islands	2	ANNUAL	FEMALE	PERCENT																					
2017.Q2.G.01	SL_DOM_TSPD	Proportion of time spent on unpaid domestic and care work	96	114.6288563	4.49736984	BRN	Brunei Darussalam	1	ANNUAL	MALE	PERCENT																					
2017.Q2.G.01	SL_DOM_TSPD	Proportion of time spent on unpaid domestic and care work	96	114.6288563	4.49736984	BRN	Brunei Darussalam	2	ANNUAL	FEMALE	PERCENT																					
2017.Q2.G.01	SL_DOM_TSPD	Proportion of time spent on unpaid domestic and care work	100	25.23763153	42.75731323	BGR	Bulgaria	1	ANNUAL	MALE	PERCENT			10.902778								9.236111							2010	9.236111	2009-2010 Time Use Survey	CA
2017.Q2.G.01	SL_DOM_TSPD	Proportion of time spent on unpaid domestic and care work	100	25.23763153	42.75731323	BGR	Bulgaria	2	ANNUAL	FEMALE	PERCENT			20.902778								18.472222							2010	18.472222	2009-2010 Time Use Survey	CA
2017.Q2.G.01	SL_DOM_TSPD	Proportion of time spent on unpaid domestic and care work	104	96.51752295	21.19332882	MMR	Myanmar	1	ANNUAL	MALE	PERCENT																					
2017.Q2.G.01	SL_DOM_TSPD	Proportion of time spent on unpaid domestic and care work	104	96.51752295	21.19332882	MMR	Myanmar	2	ANNUAL	FEMALE	PERCENT																					
2017.Q2.G.01	SL_DOM_TSPD	Proportion of time spent on unpaid domestic and care work	108	29.89080992	-3.366387428	BDI	Burundi	1	ANNUAL	MALE	PERCENT																					
2017.Q2.G.01	SL_DOM_TSPD	Proportion of time spent on unpaid domestic and care work	108	29.89080992	-3.366387428	BDI	Burundi	2	ANNUAL	FEMALE	PERCENT																					
2017.Q2.G.01	SL_DOM_TSPD	Proportion of time spent on unpaid domestic and care work	112	28.04940161	53.54193075	BLR	Belarus	1	ANNUAL	MALE	PERCENT																9.513889	9.513889	2015	9.513889	Time use survey in Belarus	CA
2017.Q2.G.01	SL_DOM_TSPD	Proportion of time spent on unpaid domestic and care work	112	28.04940161	53.54193075	BLR	Belarus	2	ANNUAL	FEMALE	PERCENT																19.166667	19.166667	2015	19.166667	Time use survey in Belarus	CA
2017.Q2.G.01	SL_DOM_TSPD	Proportion of time spent on unpaid domestic and care work	116	104.922836	12.71163737	KHM	Cambodia	1	ANNUAL	MALE	PERCENT					1.25													2004	1.25	Module in Cambodia Socio-Economic Survey 2003-04 (CSES 2003-04)	CA
2017.Q2.G.01	SL_DOM_TSPD	Proportion of time spent on unpaid domestic and care work	116	104.922836	12.71163737	KHM	Cambodia	2	ANNUAL	FEMALE	PERCENT					12.5													2004	12.5	Module in Cambodia Socio-Economic Survey 2003-04 (CSES 2003-04)	CA
2017.Q2.G.01	SL_DOM_TSPD	Proportion of time spent on unpaid domestic and care work	120	12.7419827	5.692387031	CMR	Cameroon	1	ANNUAL	MALE	PERCENT																					
2017.Q2.G.01	SL_DOM_TSPD	Proportion of time spent on unpaid domestic and care work	120	12.7419827	5.692387031	CMR	Cameroon	2	ANNUAL	FEMALE	PERCENT																					
2017.Q2.G.01	SL_DOM_TSPD	Proportion of time spent on unpaid domestic and care work	124	-101.6575058	57.72360191	CAN	Canada	1	ANNUAL	MALE	PERCENT						10					10.347222							2010	10.347222	General Social Survey 2010 - Cycle 24- Time Use	CA
2017.Q2.G.01	SL_DOM_TSPD	Proportion of time spent on unpaid domestic and care work	124	-101.6575058	57.72360191	CAN	Canada	2	ANNUAL	FEMALE	PERCENT						15.833333					16.180556							2010	16.180556	General Social Survey 2010 - Cycle 24- Time Use	CA
2017.Q2.G.01	SL_DOM_TSPD	Proportion of time spent on unpaid domestic and care work	132	-23.63544151	15.07791834	CPV	Cabo Verde	1	ANNUAL	MALE	PERCENT																					
2017.Q2.G.01	SL_DOM_TSPD	Proportion of time spent on unpaid domestic and care work	132	-23.63544151	15.07791834	CPV	Cabo Verde	2	ANNUAL	FEMALE	PERCENT																					
2017.Q2.G.01	SL_DOM_TSPD	Proportion of time spent on unpaid domestic and care work	136	-81.16740559	19.32266656	CYM	Cayman Islands	1	ANNUAL	MALE	PERCENT																					
2017.Q2.G.01	SL_DOM_TSPD	Proportion of time spent on unpaid domestic and care work	136	-81.16740559	19.32266656	CYM	Cayman Islands	2	ANNUAL	FEMALE	PERCENT																					
2017.Q2.G.01	SL_DOM_TSPD	Proportion of time spent on unpaid domestic and care work	140	20.93559492	7.003720791	CAF	Central African Republic	1	ANNUAL	MALE	PERCENT																					
2017.Q2.G.01	SL_DOM_TSPD	Proportion of time spent on unpaid domestic and care work	140	20.93559492	7.003720791	CAF	Central African Republic	2	ANNUAL	FEMALE	PERCENT																					
2017.Q2.G.01	SL_DOM_TSPD	Proportion of time spent on unpaid domestic and care work	144	80.70489654	7.614693343	LKA	Sri Lanka	1	ANNUAL	MALE	PERCENT																					
2017.Q2.G.01	SL_DOM_TSPD	Proportion of time spent on unpaid domestic and care work	144	80.70489654	7.614693343	LKA	Sri Lanka	2	ANNUAL	FEMALE	PERCENT																					
2017.Q2.G.01	SL_DOM_TSPD	Proportion of time spent on unpaid domestic and care work	148	18.66618401	15.36279341	TCD	Chad	1	ANNUAL	MALE	PERCENT																					
2017.Q2.G.01	SL_DOM_TSPD	Proportion of time spent on unpaid domestic and care work	148	18.66618401	15.36279341	TCD	Chad	2	ANNUAL	FEMALE	PERCENT																					
2017.Q2.G.01	SL_DOM_TSPD	Proportion of time spent on unpaid domestic and care work	152	-71.23029019	-35.2652885	CHL	Chile	1	ANNUAL	MALE	PERCENT									5.208333							9.861111	9.861111	2015	9.861111	Time Use Survey 2015	CA
2017.Q2.G.01	SL_DOM_TSPD	Proportion of time spent on unpaid domestic and care work	152	-71.23029019	-35.2652885	CHL	Chile	2	ANNUAL	FEMALE	PERCENT									16.25							22.152778	22.152778	2015	22.152778	Time Use Survey 2015	CA
2017.Q2.G.01	SL_DOM_TSPD	Proportion of time spent on unpaid domestic and care work	156	104.1403375	32.30955217	CHN	China	1	ANNUAL	MALE	PERCENT									6.319444									2008	6.319444	Time Use Survey in China	CA
2017.Q2.G.01	SL_DOM_TSPD	Proportion of time spent on unpaid domestic and care work	156	104.1403375	32.30955217	CHN	China	2	ANNUAL	FEMALE	PERCENT									16.25									2008	16.25	Time Use Survey in China	CA
2017.Q2.G.01	SL_DOM_TSPD	Proportion of time spent on unpaid domestic and care work	162	105.6426067	-10.4882473	CXR	Christmas Island	1	ANNUAL	MALE	PERCENT																					
2017.Q2.G.01	SL_DOM_TSPD	Proportion of time spent on unpaid domestic and care work	162	105.6426067	-10.4882473	CXR	Christmas Island	2	ANNUAL	FEMALE	PERCENT																					
2017.Q2.G.01	SL_DOM_TSPD	Proportion of time spent on unpaid domestic and care work	166	96.82633757	-12.18600682	CCK	Cocos (Keeling) Islands	1	ANNUAL	MALE	PERCENT																					
2017.Q2.G.01	SL_DOM_TSPD	Proportion of time spent on unpaid domestic and care work	166	96.82633757	-12.18600682	CCK	Cocos (Keeling) Islands	2	ANNUAL	FEMALE	PERCENT																					
2017.Q2.G.01	SL_DOM_TSPD	Proportion of time spent on unpaid domestic and care work	170	-73.07446751	3.888209046	COL	Colombia	1	ANNUAL	MALE	PERCENT													5.277778				5.277778	2012	5.277778	Module in the Integrated Survey of Households	CA
2017.Q2.G.01	SL_DOM_TSPD	Proportion of time spent on unpaid domestic and care work	170	-73.07446751	3.888209046	COL	Colombia	2	ANNUAL	FEMALE	PERCENT													18.125				18.125	2012	18.125	Module in the Integrated Survey of Households	CA
2017.Q2.G.01	SL_DOM_TSPD	Proportion of time spent on unpaid domestic and care work	174	43.34234565	-11.66121732	COM	Comoros	1	ANNUAL	MALE	PERCENT																					
2017.Q2.G.01	SL_DOM_TSPD	Proportion of time spent on unpaid domestic and care work	174	43.34234565	-11.66121732	COM	Comoros	2	ANNUAL	FEMALE	PERCENT																					
2017.Q2.G.01	SL_DOM_TSPD	Proportion of time spent on unpaid domestic and care work	175	45.14015057	-12.82217691	MYT	Mayotte	1	ANNUAL	MALE	PERCENT																					
2017.Q2.G.01	SL_DOM_TSPD	Proportion of time spent on unpaid domestic and care work	175	45.14015057	-12.82217691	MYT	Mayotte	2	ANNUAL	FEMALE	PERCENT																					
2017.Q2.G.01	SL_DOM_TSPD	Proportion of time spent on unpaid domestic and care work	178	15.22052612	-0.840544119	COG	Congo	1	ANNUAL	MALE	PERCENT																					
2017.Q2.G.01	SL_DOM_TSPD	Proportion of time spent on unpaid domestic and care work	178	15.22052612	-0.840544119	COG	Congo	2	ANNUAL	FEMALE	PERCENT																					
2017.Q2.G.01	SL_DOM_TSPD	Proportion of time spent on unpaid domestic and care work	180	23.65496507	-2.877154732	COD	Democratic Republic of the Congo	1	ANNUAL	MALE	PERCENT																					
2017.Q2.G.01	SL_DOM_TSPD	Proportion of time spent on unpaid domestic and care work	180	23.65496507	-2.877154732	COD	Democratic Republic of the Congo	2	ANNUAL	FEMALE	PERCENT																					
2017.Q2.G.01	SL_DOM_TSPD	Proportion of time spent on unpaid domestic and care work	184	-159.7711391	-21.22696458	COK	Cook Islands	1	ANNUAL	MALE	PERCENT																					
2017.Q2.G.01	SL_DOM_TSPD	Proportion of time spent on unpaid domestic and care work	184	-159.7711391	-21.22696458	COK	Cook Islands	2	ANNUAL	FEMALE	PERCENT																					
2017.Q2.G.01	SL_DOM_TSPD	Proportion of time spent on unpaid domestic and care work	188	-84.19712782	9.970998683	CRI	Costa Rica	1	ANNUAL	MALE	PERCENT					6.527778							3.541667					3.541667	2011	3.541667	Time-use Survey in the Greater Metropolitan Area	CA
2017.Q2.G.01	SL_DOM_TSPD	Proportion of time spent on unpaid domestic and care work	188	-84.19712782	9.970998683	CRI	Costa Rica	2	ANNUAL	FEMALE	PERCENT					22.361111							18.819444					18.819444	2011	18.819444	Time-use Survey in the Greater Metropolitan Area	CA
2017.Q2.G.01	SL_DOM_TSPD	Proportion of time spent on unpaid domestic and care work	191	17.95874553	45.45172212	HRV	Croatia	1	ANNUAL	MALE	PERCENT																					
2017.Q2.G.01	SL_DOM_TSPD	Proportion of time spent on unpaid domestic and care work	191	17.95874553	45.45172212	HRV	Croatia	2	ANNUAL	FEMALE	PERCENT																					
2017.Q2.G.01	SL_DOM_TSPD	Proportion of time spent on unpaid domestic and care work	192	-79.54460144	22.10030366	CUB	Cuba	1	ANNUAL	MALE	PERCENT		5.347222																2001	5.347222	Survey on the time use and use of free time (5 municipalities)	CA
2017.Q2.G.01	SL_DOM_TSPD	Proportion of time spent on unpaid domestic and care work	192	-79.54460144	22.10030366	CUB	Cuba	2	ANNUAL	FEMALE	PERCENT		16.319444																2001	16.319444	Survey on the time use and use of free time (5 municipalities)	CA
2017.Q2.G.01	SL_DOM_TSPD	Proportion of time spent on unpaid domestic and care work	196	33.22285964	35.05659437	CYP	Cyprus	1	ANNUAL	MALE	PERCENT																					
2017.Q2.G.01	SL_DOM_TSPD	Proportion of time spent on unpaid domestic and care work	196	33.22285964	35.05659437	CYP	Cyprus	2	ANNUAL	FEMALE	PERCENT																					
2017.Q2.G.01	SL_DOM_TSPD	Proportion of time spent on unpaid domestic and care work	203	15.33151382	49.73913871	CZE	Czechia	1	ANNUAL	MALE	PERCENT																					
2017.Q2.G.01	SL_DOM_TSPD	Proportion of time spent on unpaid domestic and care work	203	15.33151382	49.73913871	CZE	Czechia	2	ANNUAL	FEMALE	PERCENT																					
2017.Q2.G.01	SL_DOM_TSPD	Proportion of time spent on unpaid domestic and care work	204	2.339933594	9.65401646	BEN	Benin	1	ANNUAL	MALE	PERCENT																					
2017.Q2.G.01	SL_DOM_TSPD	Proportion of time spent on unpaid domestic and care work	204	2.339933594	9.65401646	BEN	Benin	2	ANNUAL	FEMALE	PERCENT																					
2017.Q2.G.01	SL_DOM_TSPD	Proportion of time spent on unpaid domestic and care work	208	9.326571283	56.03829721	DNK	Denmark	1	ANNUAL	MALE	PERCENT		10.138889								11.25								2009	11.25	Danish Time-Use and Consumption Survey	CA
2017.Q2.G.01	SL_DOM_TSPD	Proportion of time spent on unpaid domestic and care work	208	9.326571283	56.03829721	DNK	Denmark	2	ANNUAL	FEMALE	PERCENT		14.583333								15.625								2009	15.625	Danish Time-Use and Consumption Survey	CA
2017.Q2.G.01	SL_DOM_TSPD	Proportion of time spent on unpaid domestic and care work	212	-61.3493756	15.43391378	DMA	Dominica	1	ANNUAL	MALE	PERCENT																					
2017.Q2.G.01	SL_DOM_TSPD	Proportion of time spent on unpaid domestic and care work	212	-61.3493756	15.43391378	DMA	Dominica	2	ANNUAL	FEMALE	PERCENT																					
2017.Q2.G.01	SL_DOM_TSPD	Proportion of time spent on unpaid domestic and care work	214	-70.49847576	18.89832088	DOM	Dominican Republic	1	ANNUAL	MALE	PERCENT																					
2017.Q2.G.01	SL_DOM_TSPD	Proportion of time spent on unpaid domestic and care work	214	-70.49847576	18.89832088	DOM	Dominican Republic	2	ANNUAL	FEMALE	PERCENT																					
2017.Q2.G.01	SL_DOM_TSPD	Proportion of time spent on unpaid domestic and care work	218	-78.37005241	-1.447785891	ECU	Ecuador	1	ANNUAL	MALE	PERCENT													4.513889				4.513889	2012	4.513889	Time Use Module in ENEMDU	CA
2017.Q2.G.01	SL_DOM_TSPD	Proportion of time spent on unpaid domestic and care work	218	-78.37005241	-1.447785891	ECU	Ecuador	2	ANNUAL	FEMALE	PERCENT													17.916667				17.916667	2012	17.916667	Time Use Module in ENEMDU	CA
2017.Q2.G.01	SL_DOM_TSPD	Proportion of time spent on unpaid domestic and care work	222	-88.86862995	13.73603564	SLV	El Salvador	1	ANNUAL	MALE	PERCENT											11.34375							2010	11.34375	Time-use Module in Multipurpose household survey (EHPM)	CA
2017.Q2.G.01	SL_DOM_TSPD	Proportion of time spent on unpaid domestic and care work	222	-88.86862995	13.73603564	SLV	El Salvador	2	ANNUAL	FEMALE	PERCENT											26.429398							2010	26.429398	Time-use Module in Multipurpose household survey (EHPM)	CA
2017.Q2.G.01	SL_DOM_TSPD	Proportion of time spent on unpaid domestic and care work	226	10.46535826	1.565792376	GNQ	Equatorial Guinea	1	ANNUAL	MALE	PERCENT																					
2017.Q2.G.01	SL_DOM_TSPD	Proportion of time spent on unpaid domestic and care work	226	10.46535826	1.565792376	GNQ	Equatorial Guinea	2	ANNUAL	FEMALE	PERCENT																					
2017.Q2.G.01	SL_DOM_TSPD	Proportion of time spent on unpaid domestic and care work	231	39.63505296	8.631223181	ETH	Ethiopia	1	ANNUAL	MALE	PERCENT														8.680556			8.680556	2013	8.680556	Ethiopian Time Use Survey	CA
2017.Q2.G.01	SL_DOM_TSPD	Proportion of time spent on unpaid domestic and care work	231	39.63505296	8.631223181	ETH	Ethiopia	2	ANNUAL	FEMALE	PERCENT														22.083333			22.083333	2013	22.083333	Ethiopian Time Use Survey	CA
2017.Q2.G.01	SL_DOM_TSPD	Proportion of time spent on unpaid domestic and care work	232	38.11074289	16.12894644	ERI	Eritrea	1	ANNUAL	MALE	PERCENT																					
2017.Q2.G.01	SL_DOM_TSPD	Proportion of time spent on unpaid domestic and care work	232	38.11074289	16.12894644	ERI	Eritrea	2	ANNUAL	FEMALE	PERCENT																					
