series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Freq	Units	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2017.Q2.G.01	SH_STA_BRTC	Proportion of births attended by skilled health personnel, total (%)	36	134.3499412	-25.57717202	AUS	Australia	1	ANNUAL	PERCENT		99.6	99.3	99.3	99.4	99.3	99.3	99.3	99.3	99.3	99.3	99.3	99.3	99.3	99.3	99.4	99.3	99.2	99.1	99.1	99.1	99.1		99.3				99.3	2013	99.3	Australian Institute of Health and Welfare. Australia’s mothers and babies 2013—in brief. Perinatal statistics series no. 31. Cat no. PER 72. Canberra: AIHW; 2015.	C
2017.Q2.G.01	SH_STA_BRTC	Proportion of births attended by skilled health personnel, total (%)	40	14.14172472	47.58704857	AUT	Austria	1	ANNUAL	PERCENT							98.2	98.2	98.3	98.3	98.3	98.3	98.4	98.4	98.4	98.6	98.6	98.5	98.6	98.6	98.5	98.6	98.5	98.5	98.5			98.5	2014	98.5	Statistik Austria. Jahrbuch der Gesundheitsstatistik 2014. Wien, Austria; 2015.	C
2017.Q2.G.01	SH_STA_BRTC	Proportion of births attended by skilled health personnel, total (%)	44	-78.05111663	24.69546597	BHS	Bahamas	1	ANNUAL	PERCENT	99										99		99	99	98		99	99	99		99	99		98				98	2013	98	Pan American Health Organization/World Health Organization, Communicable Diseases and Health Analysis/Health Information and Analysis. Health Situation in the Americas: Basic Indicators 2015. Washington, D.C., United States of America; 2015.	C
2017.Q2.G.01	SH_STA_BRTC	Proportion of births attended by skilled health personnel, total (%)	48	50.5490754	26.04407747	BHR	Bahrain	1	ANNUAL	PERCENT						97.6					97.7	97.5	97.6	97.8	99.4	100	97.5	97.4	97.5	99.4	99.3	99.6	99.8	99.8	99.8			99.8	2014	99.8	Ministry of Health. Health Statistics of 2014. Bahrain; 2015.	C
2017.Q2.G.01	SH_STA_BRTC	Proportion of births attended by skilled health personnel, total (%)	50	89.17660788	22.86961622	BGD	Bangladesh	1	ANNUAL	PERCENT					9.5			8			12.1	12		13.9	13.2		20.1	18			26.5	31.7		36.5	42.1			39.3	2014	42.1	National Institute of Population Research and Training (NIPORT), Mitra and Associates, ICF International. Bangladesh Demographic and Health Survey 2014. Dhaka, Bangladesh, and Rockville, Maryland, USA: NIPORT, Mitra and Associates, ICF International; 2016.	C
2017.Q2.G.01	SH_STA_BRTC	Proportion of births attended by skilled health personnel, total (%)	51	44.93839317	40.29499741	ARM	Armenia	1	ANNUAL	PERCENT	99.7	99.7	98.3	95.5	93.3	93.1	95.7	96.4	97.4	98.8	96.8	98.4	98.8	99.2	99.5	97.8	99.7	99.9	99.9	100	99.5	100	100	100	100		99.8	99.95	2016	99.8	National Statistical Service [Armenia], Ministry of Health [Armenia], and ICF International. Armenia Demographic and Health Survey 2015-16: Key Indicators. Rockville, Maryland, USA: National Statistical Service (NSS), Ministry of Health (MOH), and ICF International; 2016.	C
2017.Q2.G.01	SH_STA_BRTC	Proportion of births attended by skilled health personnel, total (%)	52	-59.5346489	13.13648273	BRB	Barbados	1	ANNUAL	PERCENT						100				91	98		100	100	100	100	100	100	100			100	98.9	98.6				98.75	2013	98.6	Pan American Health Organization/World Health Organization, Communicable Diseases and Health Analysis/Health Information and Analysis. Health Situation in the Americas: Basic Indicators 2015. Washington, D.C., United States of America; 2015.	C
2017.Q2.G.01	SH_STA_BRTC	Proportion of births attended by skilled health personnel, total (%)	56	4.660976456	50.64104975	BEL	Belgium	1	ANNUAL	PERCENT																																
2017.Q2.G.01	SH_STA_BRTC	Proportion of births attended by skilled health personnel, total (%)	60	-64.78155012	32.27881922	BMU	Bermuda	1	ANNUAL	PERCENT																																
2017.Q2.G.01	SH_STA_BRTC	Proportion of births attended by skilled health personnel, total (%)	64	90.45098484	27.39598568	BTN	Bhutan	1	ANNUAL	PERCENT					12						23.7			56.1		52.3	57.1	71.4	66.3	66	64.5	70	81					81	2012	81	National Statistics Bureau. Statistical Yearbook of Bhutan 2013. Bhutan, 2014.	C
2017.Q2.G.01	SH_STA_BRTC	Proportion of births attended by skilled health personnel, total (%)	68	-64.66224284	-16.71273412	BOL	Bolivia (Plurinational State of)	1	ANNUAL	PERCENT					47.2				59.3		67.3		65.1	60.8					71.1			84	84.8					84.8	2012	84.8	Unidad de Análisis de Políticas Sociales y Económicas (UDAPE), Ministerio de Salud. Encuesta de Evaluación de Salud y Nutrición 2012: Informe de Resultados. UDAPE, La Paz; 2014.	C
2017.Q2.G.01	SH_STA_BRTC	Proportion of births attended by skilled health personnel, total (%)	70	17.78584332	44.16845548	BIH	Bosnia and Herzegovina	1	ANNUAL	PERCENT	97	97.4					98.9	98.7	99.3	99.6	98.9	99.9	99.9	99.9	99.9	99.9	99.4	99.9	99.9	99.9	99.9	99.9	99.9		99.9			99.9	2014	99.9	Federal Office of Statistics. Statistical Yearbook 2015. Bosnia and Herzegovina; 2015.	C
2017.Q2.G.01	SH_STA_BRTC	Proportion of births attended by skilled health personnel, total (%)	72	23.81380223	-22.18810073	BWA	Botswana	1	ANNUAL	PERCENT							87				98.5	92	96.5	96.1	97.3	94	99.3	94.6	98.3	99.5	99.1	99.8	99.8	99.9				99.85	2013	99.9	Statistics Botswana. Stats Brief- Botswana Maternal Mortality Ratio for the period 2009 – 2013. No. 2014/1- November 2014. Botswana; 2014.	C
2017.Q2.G.01	SH_STA_BRTC	Proportion of births attended by skilled health personnel, total (%)	74	3.410732868	-54.43295905	BVT	Bouvet Island	1	ANNUAL	PERCENT																																
2017.Q2.G.01	SH_STA_BRTC	Proportion of births attended by skilled health personnel, total (%)	76	-53.08432878	-10.77668561	BRA	Brazil	1	ANNUAL	PERCENT							87.6	98.6	98.6	98.6	98.6	98.3	98.5	98.4	98.6	98.6	97	98.6	98.8	98.9	98.9	99	99	99.1				99.05	2013	99.1	Ministério de Saúde. MS/SVS/DASIS - Sistema de Informações sobre Nacidos Vivos - SINASC, Brasil; [cited 2016 January 21]. Available from: http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinasc/cnv/nvuf.def	C
2017.Q2.G.01	SH_STA_BRTC	Proportion of births attended by skilled health personnel, total (%)	84	-88.70199554	17.19965901	BLZ	Belize	1	ANNUAL	PERCENT		76.9								83.8							95.8	94.6	94.9	93.5	94	96.2		94.2				94.2	2013	94.2	Pan American Health Organization/World Health Organization, Communicable Diseases and Health Analysis/Health Information and Analysis. Health Situation in the Americas: Basic Indicators 2014. Washington, D.C., United States of America; 2014.	C
2017.Q2.G.01	SH_STA_BRTC	Proportion of births attended by skilled health personnel, total (%)	86	72.38715553	-7.299281071	IOT	British Indian Ocean Territory	1	ANNUAL	PERCENT																																
2017.Q2.G.01	SH_STA_BRTC	Proportion of births attended by skilled health personnel, total (%)	90	160.1584117	-9.622391719	SLB	Solomon Islands	1	ANNUAL	PERCENT	85				83.5					85								85.5											2007	85.5	National Statistics Office, Secretariat of the Pacific Community, Macro International Inc. Solomon Islands Demographic and Health Survey 2006-2007. Secretariat of the Pacific Community, Noumea, New Caledonia, 2009.	C
2017.Q2.G.01	SH_STA_BRTC	Proportion of births attended by skilled health personnel, total (%)	92	-64.63294223	18.42256578	VGB	British Virgin Islands	1	ANNUAL	PERCENT																																
2017.Q2.G.01	SH_STA_BRTC	Proportion of births attended by skilled health personnel, total (%)	96	114.6288563	4.49736984	BRN	Brunei Darussalam	1	ANNUAL	PERCENT		97.8	98	97.8	98.2	98.6	98.9	99.6	99.3	99.4	99.5	99.7	99.6	99.6	99.6	99.7	99.7	99.9	99.7	99.9	99.8	99.7	99.8	99.7	99.9	100		99.85	2015	100	Ministry of Health. Health Information Booklet 2015. Ministry of Health, Brunei Darussalam; 2016.	C
2017.Q2.G.01	SH_STA_BRTC	Proportion of births attended by skilled health personnel, total (%)	100	25.23763153	42.75731323	BGR	Bulgaria	1	ANNUAL	PERCENT	99.1	99.5	99.8	99	99	98.9	99.9	99.9	99.9	99	99.8	98.9	99.2	99.2	99.4	99.4	99.4	99.6	99.6	99.6	99.5			99.7	99.7			99.7	2014	99.7	UNICEF Regional Office for CEE/CIS. Transformative Monitoring for Enhanced Equity (TransMonEE) 2016 Database. (Data downloaded from www.transmonee.org on  17.10.2016)	C
2017.Q2.G.01	SH_STA_BRTC	Proportion of births attended by skilled health personnel, total (%)	104	96.51752295	21.19332882	MMR	Myanmar	1	ANNUAL	PERCENT		46.3						56.4				57						63.9			70.6						60.2	60.2	2016	60.2	Ministry of Health and Sports (MOHS) and ICF International. Myanmar Demographic and Health Survey 2015-16: Key Indicators Report. Nay Pyi Taw, Myanmar, and Rockville, Maryland, USA: Ministry of Health and Sports and ICF International; 2016.	C
2017.Q2.G.01	SH_STA_BRTC	Proportion of births attended by skilled health personnel, total (%)	108	29.89080992	-3.366387428	BDI	Burundi	1	ANNUAL	PERCENT											25.2					31.8					60.3								2010	60.3	Institut de Statistiques et d’Études Économiques du Burundi (ISTEEBU), Ministère de la Santé Publique et de la Lutte  contre le Sida [Burundi] (MSPLS), et ICF International. Enquête Démographique et de Santé Burundi 2010. Bujumbura, Burundi : ISTEEBU, MSPLS, et ICF International, 2012.	C
2017.Q2.G.01	SH_STA_BRTC	Proportion of births attended by skilled health personnel, total (%)	112	28.04940161	53.54193075	BLR	Belarus	1	ANNUAL	PERCENT	99.9	99.9	99.9	99.9	99.9	99.9	99.9	99.9	99.9	99.9	99.9	99.9	99.9	99.9	99.9	100	99.9	99.9	99.9	99.9	99.9	99.8	100	99.8	99.8			99.8666666666667	2014	99.8	UNICEF Regional Office for CEE/CIS. Transformative Monitoring for Enhanced Equity (TransMonEE) 2016 Database. (Data downloaded from www.transmonee.org on  17.10.2016)	C
2017.Q2.G.01	SH_STA_BRTC	Proportion of births attended by skilled health personnel, total (%)	116	104.922836	12.71163737	KHM	Cambodia	1	ANNUAL	PERCENT						43.3			34		31.8				16.3	43.8					71	71.7			89			89	2014	89	National Institute of Statistics, Directorate General for Health, ICF International. Cambodia Demographic and Health Survey 2014. Phnom Penh, Cambodia, and Rockville, Maryland, USA: National Institute of Statistics, Directorate General for Health, ICF International; 2015.	C
2017.Q2.G.01	SH_STA_BRTC	Proportion of births attended by skilled health personnel, total (%)	120	12.7419827	5.692387031	CMR	Cameroon	1	ANNUAL	PERCENT		58.4							55		56				58.9		58.9					56.1			64.7			64.7	2014	64.7	Institut National de la Statistique. Enquête par grappes à indicateurs multiples (MICS5), 2014, Rapport de résultats clés. Yaoundé, Cameroun: Institut National de la Statistique; 2015.	C
2017.Q2.G.01	SH_STA_BRTC	Proportion of births attended by skilled health personnel, total (%)	124	-101.6575058	57.72360191	CAN	Canada	1	ANNUAL	PERCENT		99.1	99.6	99.4	99.3	99.4	99.2	99.3	99.3	99.2	99.3	99.3	99.3	98.9	99	98.8	98.8	98.8	98.7	98.6	98.5	98.4							2011	98.4	Statistics Canada. Table 102-4516 - Live births and fetal deaths (stillbirths), by place of birth (hospital and non-hospital), Canada, provinces and territories, annual, CANSIM (database), (accessed: 17 October 2014).	C
2017.Q2.G.01	SH_STA_BRTC	Proportion of births attended by skilled health personnel, total (%)	132	-23.63544151	15.07791834	CPV	Cabo Verde	1	ANNUAL	PERCENT						54			88.5							77.5	76.4	74.4	74.6	75.6	98.5	98.7		92.3				92.3	2013	92.3	Ministry of Health. Relatório Estatístico 2013 [Statistical Report 2013]. Cabo Verde, Praia; 2014.	C
2017.Q2.G.01	SH_STA_BRTC	Proportion of births attended by skilled health personnel, total (%)	136	-81.16740559	19.32266656	CYM	Cayman Islands	1	ANNUAL	PERCENT																																
2017.Q2.G.01	SH_STA_BRTC	Proportion of births attended by skilled health personnel, total (%)	140	20.93559492	7.003720791	CAF	Central African Republic	1	ANNUAL	PERCENT						45.9					31.7						41.4		43.7		40								2010	40	ICASEES. Enquête par grappes à indicateurs multiples MICS, RCA 2010 Rapport final. Bangui, RCA ICASEES, 2010.	C
2017.Q2.G.01	SH_STA_BRTC	Proportion of births attended by skilled health personnel, total (%)	144	80.70489654	7.614693343	LKA	Sri Lanka	1	ANNUAL	PERCENT				94.1							96							98.6											2007	98.6	Department of Census and Statistics, Ministry of Health Care and Nutrition. Sri Lanka Demographic and Health Survey 2006-2007. Colombo, Sri Lanka, 2008.	C
2017.Q2.G.01	SH_STA_BRTC	Proportion of births attended by skilled health personnel, total (%)	148	18.66618401	15.36279341	TCD	Chad	1	ANNUAL	PERCENT								15			13.7				14.4						16.6					20.2		20.2	2015	20.2	Institut National de la Statistique, des Études Économiques et Démographiques (INSEED), Ministère de la Santé Publique (MSP) et ICF International, 2014-2015. Enquête Démographique et de Santé et à Indicateurs Multiples (EDS-MICS 2014-2015). Rockville, Maryland, USA : INSEED, MSP et ICF International; 2016.	C
2017.Q2.G.01	SH_STA_BRTC	Proportion of births attended by skilled health personnel, total (%)	152	-71.23029019	-35.2652885	CHL	Chile	1	ANNUAL	PERCENT				99	99.5	99.5	99.6	99.4	99.6	99.4	99	99.8	99.8	97.7	99.8	99.8	99.8	99.7	99.8	99.8	99.8	99.8	99.8	99.8	99.8			99.8	2014	99.8	Instituto Nacional de Estadísticas. Estadísticas Vitales - Informe  Annual 2014. Chile; 2016.	C
2017.Q2.G.01	SH_STA_BRTC	Proportion of births attended by skilled health personnel, total (%)	156	104.1403375	32.30955217	CHN	China	1	ANNUAL	PERCENT	94	93.7	84.1	83.6	90.4	89.3	93.1	93.8		96.8	96.6	97.3	96.7	95.9	97.3	97.5	97.8	98.4	99.1	99.3	99.6	99.7	99.8	99.9	99.9			99.8666666666667	2014	99.9	National Bureau of Statistics of China. China Statistical Yearbook 2015. China Statistical Pres, 2015.	C
2017.Q2.G.01	SH_STA_BRTC	Proportion of births attended by skilled health personnel, total (%)	162	105.6426067	-10.4882473	CXR	Christmas Island	1	ANNUAL	PERCENT																																
2017.Q2.G.01	SH_STA_BRTC	Proportion of births attended by skilled health personnel, total (%)	166	96.82633757	-12.18600682	CCK	Cocos (Keeling) Islands	1	ANNUAL	PERCENT																																
2017.Q2.G.01	SH_STA_BRTC	Proportion of births attended by skilled health personnel, total (%)	170	-73.07446751	3.888209046	COL	Colombia	1	ANNUAL	PERCENT	80.6					83.6			91.3	92.1	86.1	93.1	94.5	95	95.6	90.7	97.1	97.8	98.1	98.6	94.8	99.2	98.7	98.7	98.9			98.7666666666667	2014	98.9	Departamento Administrativo Nacional de Estadística (DANE). Estadísticas Vitales - Nacimientos. Bogotá D.C., Colombia; 2016. [cited 2016 October 18]. (Accessed from: http://www.dane.gov.co/index.php/estadisticas-por-tema/salud/nacimientos-y-defunciones/nacimientos/nacimientos-2014?phpMyAdmin=3om27vamm65hhkhrtgc8rrn2g4).	C
2017.Q2.G.01	SH_STA_BRTC	Proportion of births attended by skilled health personnel, total (%)	174	43.34234565	-11.66121732	COM	Comoros	1	ANNUAL	PERCENT							51.6				61.8												82.2					82.2	2012	82.2	Direction Générale de la Statistique et de la Prospective (DGSP) Comores  et ICF International. l'Enquête Démographique et de Santé et à Indicateurs Multiples de l’Union des Comores (EDSC-MICS 12). ICF International: Calverton, MD, USA; 2014.	C
2017.Q2.G.01	SH_STA_BRTC	Proportion of births attended by skilled health personnel, total (%)	175	45.14015057	-12.82217691	MYT	Mayotte	1	ANNUAL	PERCENT																																
2017.Q2.G.01	SH_STA_BRTC	Proportion of births attended by skilled health personnel, total (%)	178	15.22052612	-0.840544119	COG	Congo	1	ANNUAL	PERCENT																83.4							92.5			94.4		93.45	2015	94.4	Institut National de la Statistique (INS), UNICEF. Enquête par grappes à indicateurs multiples, MICS5 Congo 2014-2015, Rapport de résultats clés. Brazzaville, Congo: INS, UNICEF; 2015.	C
2017.Q2.G.01	SH_STA_BRTC	Proportion of births attended by skilled health personnel, total (%)	180	23.65496507	-2.877154732	COD	Democratic Republic of the Congo	1	ANNUAL	PERCENT												60.7						64.4			74.1				80.1			80.1	2014	80.1	Ministère du Plan et Suivi de la Mise en oeuvre de la Révolution de la Modernité (MPSMRM), Ministère de la Santé Publique (MSP) et ICF International. Enquête Démographique et de Santé en République Démocratique du Congo 2013-2014. Rockville, Maryland, USA : MPSMRM, MSP et ICF International; 2014.	C
2017.Q2.G.01	SH_STA_BRTC	Proportion of births attended by skilled health personnel, total (%)	184	-159.7711391	-21.22696458	COK	Cook Islands	1	ANNUAL	PERCENT	70							100			98					100			100	100									2009	100	Western Pacific Country Health Information Profiles 2011 Revision. World Health Organization, Regional Office for the Western Pacific, 2011.	C
2017.Q2.G.01	SH_STA_BRTC	Proportion of births attended by skilled health personnel, total (%)	188	-84.19712782	9.970998683	CRI	Costa Rica	1	ANNUAL	PERCENT				97					98	98.2	96.6	98	98.5	98.2	98.5	98.5	98.6	98.7	99.1	99.1	95.3	98.4	98.9	99	99.2			99.0333333333333	2014	99.2	Instituto Nacional de Estadística y Censos (INEC). Estadísticas Vitales 2014. San José, Costa Rica: INEC; 2015.	C
2017.Q2.G.01	SH_STA_BRTC	Proportion of births attended by skilled health personnel, total (%)	191	17.95874553	45.45172212	HRV	Croatia	1	ANNUAL	PERCENT	99.8	99.8	99.8	99.8	99.8	99.9	99.8	99.9	99.9	99.9	99.9	99.9	99.9	99.9	99.9	99.9	99.9	99.9	99.9	99.9	99.9	99.9	99.9	99.9	99.9			99.9	2014	99.9	Croatian Bureau of Statistics. Statistical Yearbook of the Republic of Croatia 2015. Zagreb, Croatia, 2015.	C
2017.Q2.G.01	SH_STA_BRTC	Proportion of births attended by skilled health personnel, total (%)	192	-79.54460144	22.10030366	CUB	Cuba	1	ANNUAL	PERCENT	99.8	99.8	99.8	99.8	99.8	99.8	99.8	99.9	99.9	99.9	99.9	99.9	99.9	99.9	99.9	99.9	99.9	99.9	99.9	99.9	99.9	99.9	99.9	99.9	99.4	99.9		99.775	2015	99.9	Ministerio de Salud Pública. Anuario Estadístico de Salud 2015. La Habana; 2016.	C
2017.Q2.G.01	SH_STA_BRTC	Proportion of births attended by skilled health personnel, total (%)	196	33.22285964	35.05659437	CYP	Cyprus	1	ANNUAL	PERCENT	100	100	100	100	100	100	100	100	100	100	97.9				95.7	99.3	98.5	98.3	97.2	98.3	98.6	98.3	98.7	99.9	97.4			98.6666666666667	2014	97.4	Statistical Service. Demographic Report 2014. Republic of Cyprus; 2015.	C
2017.Q2.G.01	SH_STA_BRTC	Proportion of births attended by skilled health personnel, total (%)	203	15.33151382	49.73913871	CZE	Czechia	1	ANNUAL	PERCENT	100	100	100	100	100	100	100	100	99.9	99.9	99.8	99.8	99.8	99.8	99.8	99.8	99.7	99.7	99.6	99.6	99.7	99.9	99.9	99.8				99.85	2013	99.8	Institute of Health Information and Statistics of the Czech Republic. Rodicka a novorozenec 2013 [Mother and Newborn 2013]. Prague, Czech Republic; 2015.	C
2017.Q2.G.01	SH_STA_BRTC	Proportion of births attended by skilled health personnel, total (%)	204	2.339933594	9.65401646	BEN	Benin	1	ANNUAL	PERCENT							59.8					65.5					74						80.9		77.2			79.05	2014	77.2	Institut National de la Statistique et de l’Analyse Economique (INSAE). Enquête par grappes à indicateurs multiples (MICS), 2014, Résultats clés. Cotonou, Bénin, Institut National de la Statistique et de l’Analyse Economique; 2015.	C
2017.Q2.G.01	SH_STA_BRTC	Proportion of births attended by skilled health personnel, total (%)	208	9.326571283	56.03829721	DNK	Denmark	1	ANNUAL	PERCENT								98.3	98.8	98.7	98.8	98.9	98.8	98.9	98.6	98.8	98.7	97.8		98.7	98.5	98.5	98.2					98.2	2012	98.2	Statens Serum Institut. Fødselsstatistikken. Tal og analyser 2012 [Numbers and analysis: Birth Statistics 2012]. Copenhagen, Denmark; 2013.	C
2017.Q2.G.01	SH_STA_BRTC	Proportion of births attended by skilled health personnel, total (%)	212	-61.3493756	15.43391378	DMA	Dominica	1	ANNUAL	PERCENT										99.9	100		100	100	100	99		94	100	100		100	100	100	100			100	2014	100	Pan American Health Organization/World Health Organization, Communicable Diseases and Health Analysis/Health Information and Analysis. Health Situation in the Americas: Basic Indicators 2015. Washington, D.C., United States of America; 2015.	C
2017.Q2.G.01	SH_STA_BRTC	Proportion of births attended by skilled health personnel, total (%)	214	-70.49847576	18.89832088	DOM	Dominican Republic	1	ANNUAL	PERCENT		92.4					95.5			96.6	97.6		97.8				95.5	97.8			96.9			98.6	97.7			98.15	2014	97.7	Officina Nacional de Estadisticas y UNICEF. Encuesta Nacional de Hogares de Propositos Multiples - Encuesta de Indicadores Multiples por Conglomerados 2014, Resultados Principales. Santo Domingo, Republica Dominicana: Oficina Nacional de Estadistica; 2015.	C
2017.Q2.G.01	SH_STA_BRTC	Proportion of births attended by skilled health personnel, total (%)	218	-78.37005241	-1.447785891	ECU	Ecuador	1	ANNUAL	PERCENT					98.7					99.1					98.2	80	82.6	84.1	85.8	87.7	89.2	91.1	93.1	94.7	96.3			94.7	2014	96.3	Instituto Nacional de Estadística y Censos. Anuario de Estadísticas Vitales: Nacimientos y Defunciones de la República del Ecuador, 2014. Ecuador; 2015.	C
2017.Q2.G.01	SH_STA_BRTC	Proportion of births attended by skilled health personnel, total (%)	222	-88.86862995	13.73603564	SLV	El Salvador	1	ANNUAL	PERCENT				87.4					90.4					92.4		87.2	89.6	93.1	95.5	97.5	98	99	99.5	99.8	98			99.1	2014	98	Ministerio de Salud/Instituto Nacional de Salud y UNICEF. Encuesta Nacional de Salud 2014 - Encuesta de Indicadores Multiples por Conglomerados 2014, Resultados Principales. San Salvador, El Salvador: Ministerio de Salud e Instituto Nacional de Salud; 2015.	C
2017.Q2.G.01	SH_STA_BRTC	Proportion of births attended by skilled health personnel, total (%)	226	10.46535826	1.565792376	GNQ	Equatorial Guinea	1	ANNUAL	PERCENT											64.6											68.3							2011	68.3	Ministerio de Sanidad y Bienestar Social, Ministerio de Economía, Planificación e Inversiones Públicas, e ICF International. Encuesta Demográfica y de Salud (EDSGE-I) 2011. Calverton, Maryland, USA; 2012.	C
2017.Q2.G.01	SH_STA_BRTC	Proportion of births attended by skilled health personnel, total (%)	231	39.63505296	8.631223181	ETH	Ethiopia	1	ANNUAL	PERCENT									6.5		5.6				6.4	5.7						10			15.5		27.7	21.6	2016	27.7	Central Statistical Agency (CSA) [Ethiopia] and ICF. Ethiopia Demographic and Health Survey 2016: Key Indicators Report. Addis Ababa, Ethiopia, and Rockville, Maryland, USA. CSA and ICF; 2016.	C
2017.Q2.G.01	SH_STA_BRTC	Proportion of births attended by skilled health personnel, total (%)	232	38.11074289	16.12894644	ERI	Eritrea	1	ANNUAL	PERCENT						20.6							28.3								34.1								2010	34.1	National Statistics Office (NSO) [Eritrea] and Fafo AIS. Eritrea Population and Health Survey 2010. Asmara, Eritrea: National Statistics Office and Fafo Institute for Appled International Studies; 2013.	C
2017.Q2.G.01	SH_STA_BRTC	Proportion of births attended by skilled health personnel, total (%)	233	25.84093481	58.68487172	EST	Estonia	1	ANNUAL	PERCENT			98.9	99.1	99.1	99.3	99.4	99.3	99.5	99.5	99.5	99.6	99.5	99.4	99.7	99.6	99.5	99.4	99.3	99.2	99.3	99.4	99.3	99.4	99.4			99.3666666666667	2014	99.4	National Institute for Health Development. Medical Birth Registry (EMSR). Tallinn, Estonia, 2014. [cited 2016 January 25]. Available from: http://www.tai.ee/en/r-and-d/registers/estonian-medical-birth-registry-and-estonian-abortion-registry/statistics.	C
2017.Q2.G.01	SH_STA_BRTC	Proportion of births attended by skilled health personnel, total (%)	234	-7.122044325	62.21228119	FRO	Faroe Islands	1	ANNUAL	PERCENT																																
2017.Q2.G.01	SH_STA_BRTC	Proportion of births attended by skilled health personnel, total (%)	238	-58.75246778	-51.74562601	FLK	Falkland Islands (Malvinas)	1	ANNUAL	PERCENT																																
