series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Freq	Units	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2017.Q2.G.01	BX_TRF_PWKR	Volume of remittances (in United States dollars) as a proportion of total GDP	40	14.14172472	47.58704857	AUT	Austria	1	ANNUAL	PERCENT	0.382285	0.445494	0.418935	0.40489	0.416135	0.42104	0.415804	0.430989	0.650776	0.835061	0.918695	0.90072	0.932208	0.957399	0.84073	0.735611	0.752652	0.754582	0.745975	0.779471	0.764712	0.757262	0.743472	0.761618	0.755486	0.755033	0.7545742	2015	0.755033		
2017.Q2.G.01	BX_TRF_PWKR	Volume of remittances (in United States dollars) as a proportion of total GDP	44	-78.05111663	24.69546597	BHS	Bahamas	1	ANNUAL	PERCENT																															
2017.Q2.G.01	BX_TRF_PWKR	Volume of remittances (in United States dollars) as a proportion of total GDP	48	50.5490754	26.04407747	BHR	Bahrain	1	ANNUAL	PERCENT																															
2017.Q2.G.01	BX_TRF_PWKR	Volume of remittances (in United States dollars) as a proportion of total GDP	50	89.17660788	22.86961622	BGD	Bangladesh	1	ANNUAL	PERCENT	2.464894	2.485233	2.875409	3.037325	3.408134	3.167296	2.895575	3.164103	3.213146	3.524038	3.686597	3.897946	5.222669	5.305388	5.504373	6.685179	7.557205	8.242885	9.757161	10.266276	9.412126	9.383758	10.58794	9.245225	8.669053	7.888043	9.1548038	2015	7.888043		
2017.Q2.G.01	BX_TRF_PWKR	Volume of remittances (in United States dollars) as a proportion of total GDP	51	44.93839317	40.29499741	ARM	Armenia	1	ANNUAL	PERCENT						4.450673	5.251198	8.303789	4.879797	5.128741	9.529371	9.876949	11.104916	11.964827	22.018569	18.676397	18.312819	17.861408	16.327049	16.649165	18.026841	17.734224	18.033019	19.711375	17.90444	14.165163	17.5096442	2015	14.165163		
2017.Q2.G.01	BX_TRF_PWKR	Volume of remittances (in United States dollars) as a proportion of total GDP	52	-59.5346489	13.13648273	BRB	Barbados	1	ANNUAL	PERCENT	1.883415	2.234325	2.784635	2.682637	2.658876	2.692311	2.827709	3.020484	3.040621	3.298449	3.626322	4.169565	3.945624	3.984907	3.713569	2.423508	2.029812	3.050389	2.201411	2.487961	1.84106	3.379123	2.795578	2.477976	2.488486	2.470035	2.7222396	2015	2.470035		
2017.Q2.G.01	BX_TRF_PWKR	Volume of remittances (in United States dollars) as a proportion of total GDP	56	4.660976456	50.64104975	BEL	Belgium	1	ANNUAL	PERCENT	1.735755	1.877051	1.896138	2.027558	1.873668	1.70486	1.758273	1.698854	1.613263	1.716694	1.683279	1.653764	1.749959	1.809823	1.76799	1.778075	1.773012	1.906112	2.020648	2.195511	2.140402	2.099842	2.134185	2.158017	2.163025	2.151148	2.1412434	2015	2.151148		
2017.Q2.G.01	BX_TRF_PWKR	Volume of remittances (in United States dollars) as a proportion of total GDP	60	-64.78155012	32.27881922	BMU	Bermuda	1	ANNUAL	PERCENT																0	21.840131	24.59926	22.762623	23.182558	21.958999	21.173481	21.503703	21.976142			21.5511086666667	2013	21.976142		
2017.Q2.G.01	BX_TRF_PWKR	Volume of remittances (in United States dollars) as a proportion of total GDP	64	90.45098484	27.39598568	BTN	Bhutan	1	ANNUAL	PERCENT																0	0.249399	0.245219	0.282034	0.384793	0.521831	0.574689	0.994945	0.656401	0.72964	0.95519	0.782173	2015	0.95519		
2017.Q2.G.01	BX_TRF_PWKR	Volume of remittances (in United States dollars) as a proportion of total GDP	68	-64.66224284	-16.71273412	BOL	Bolivia (Plurinational State of)	1	ANNUAL	PERCENT	0.094503	0.063631	0.067329	0.073239	0.075235	0.110197	0.182507	1.071202	1.0403	1.15871	1.510733	1.661603	1.428122	1.956932	2.399952	3.529556	5.26529	8.043855	6.805171	6.101086	4.886655	4.352512	4.100247	3.918348	3.566971	3.609217	3.909459	2015	3.609217		
2017.Q2.G.01	BX_TRF_PWKR	Volume of remittances (in United States dollars) as a proportion of total GDP	70	17.78584332	44.16845548	BIH	Bosnia and Herzegovina	1	ANNUAL	PERCENT									49.742513	40.622005	28.713349	26.09183	22.488027	20.765736	20.485227	18.15329	16.701797	17.02804	14.227523	12.084982	10.617563	10.512282	10.726309	10.78526	11.375195	11.123628	10.9045348	2015	11.123628		
2017.Q2.G.01	BX_TRF_PWKR	Volume of remittances (in United States dollars) as a proportion of total GDP	72	23.81380223	-22.18810073	BWA	Botswana	1	ANNUAL	PERCENT	2.257404	2.117788	2.266803	1.785679	1.640607	1.25055	1.033827	0.959268	0.906154	0.616686	0.320341	0.326225	0.350687	0.363543	0.878287	1.185608	1.025569	0.842776	0.427802	0.148133	0.174567	0.130141	0.137728	0.24303	0.290444	0.211913	0.2026512	2015	0.211913		
2017.Q2.G.01	BX_TRF_PWKR	Volume of remittances (in United States dollars) as a proportion of total GDP	74	3.410732868	-54.43295905	BVT	Bouvet Island	1	ANNUAL	PERCENT																															
2017.Q2.G.01	BX_TRF_PWKR	Volume of remittances (in United States dollars) as a proportion of total GDP	76	-53.08432878	-10.77668561	BRA	Brazil	1	ANNUAL	PERCENT	0.124039	0.184122	0.44708	0.284834	0.370535	0.421947	0.297145	0.224411	0.190107	0.31065	0.205912	0.259025	0.394476	0.409564	0.420207	0.314633	0.296772	0.236614	0.214797	0.173313	0.139565	0.122873	0.112935	0.109902	0.107814	0.160614	0.1228276	2015	0.160614		
2017.Q2.G.01	BX_TRF_PWKR	Volume of remittances (in United States dollars) as a proportion of total GDP	84	-88.70199554	17.19965901	BLZ	Belize	1	ANNUAL	PERCENT	4.466772	3.507819	3.810982	2.947175	2.232538	2.240863	2.689497	3.469281	3.396264	3.579671	2.988728	3.257159	2.877713	3.246357	3.181006	4.011167	5.241367	5.665642	5.584753	5.870563	5.587577	5.059026	4.825416	4.576235	4.676419	4.834614	4.794342	2015	4.834614		
2017.Q2.G.01	BX_TRF_PWKR	Volume of remittances (in United States dollars) as a proportion of total GDP	86	72.38715553	-7.299281071	IOT	British Indian Ocean Territory	1	ANNUAL	PERCENT																															
2017.Q2.G.01	BX_TRF_PWKR	Volume of remittances (in United States dollars) as a proportion of total GDP	90	160.1584117	-9.622391719	SLB	Solomon Islands	1	ANNUAL	PERCENT										0.488637	0.993581	1.130703	0.943866	1.166422	2.318372	1.730421	2.351987	2.44789	1.50282	2.09354	2.126107	1.909638	2.021515	1.947746	1.412382	1.646163	1.7874888	2015	1.646163		
2017.Q2.G.01	BX_TRF_PWKR	Volume of remittances (in United States dollars) as a proportion of total GDP	92	-64.63294223	18.42256578	VGB	British Virgin Islands	1	ANNUAL	PERCENT																															
2017.Q2.G.01	BX_TRF_PWKR	Volume of remittances (in United States dollars) as a proportion of total GDP	96	114.6288563	4.49736984	BRN	Brunei Darussalam	1	ANNUAL	PERCENT																															
2017.Q2.G.01	BX_TRF_PWKR	Volume of remittances (in United States dollars) as a proportion of total GDP	100	25.23763153	42.75731323	BGR	Bulgaria	1	ANNUAL	PERCENT							0.410509	0.451962	0.34636	0.315138	0.442919	5.844905	7.193928	8.154229	6.60201	5.408526	5.003538	3.783146	3.509728	3.073944	2.633687	2.583127	2.687938	2.989594	2.969646	2.977622	2.8415854	2015	2.977622		
2017.Q2.G.01	BX_TRF_PWKR	Volume of remittances (in United States dollars) as a proportion of total GDP	104	96.51752295	21.19332882	MMR	Myanmar	1	ANNUAL	PERCENT											1.147129	1.793176	1.554904	0.806451	1.103144	1.080247	0.794123	0.401383	0.171813	0.147596	0.231839	0.211873	0.459754	2.733752	0.425414	0.617856	0.8897298	2015	0.617856		
2017.Q2.G.01	BX_TRF_PWKR	Volume of remittances (in United States dollars) as a proportion of total GDP	108	29.89080992	-3.366387428	BDI	Burundi	1	ANNUAL	PERCENT															0.004565	0.006405	0.000901	0.014007	0.226181	1.622741	1.702084	1.929961	1.878091	1.791835	1.818649	1.647681	1.8132434	2015	1.647681		
2017.Q2.G.01	BX_TRF_PWKR	Volume of remittances (in United States dollars) as a proportion of total GDP	112	28.04940161	53.54193075	BLR	Belarus	1	ANNUAL	PERCENT				0.002457	0.002679	0.20397	2.375166	2.084452	2.070685	1.717677	0.896611	0.543917	0.552247	0.920595	1.034501	0.657396	0.725614	0.636765	0.96013	1.023804	1.041815	1.490928	1.655416	1.660109	1.617918	1.404898	1.5658538	2015	1.404898		
2017.Q2.G.01	BX_TRF_PWKR	Volume of remittances (in United States dollars) as a proportion of total GDP	116	104.922836	12.71163737	KHM	Cambodia	1	ANNUAL	PERCENT				0.374942	0.40481	0.337091	0.330796	0.339779	3.83499	3.026405	2.807857	2.834304	2.87113	2.752108	2.76142	2.601284	2.525226	2.150653	1.815297	1.367194	1.356861	1.250583	1.225968	1.138862	2.245529	2.20178	1.6125444	2015	2.20178		
2017.Q2.G.01	BX_TRF_PWKR	Volume of remittances (in United States dollars) as a proportion of total GDP	120	12.7419827	5.692387031	CMR	Cameroon	1	ANNUAL	PERCENT	0.20618	0.059011	0.219459	0.150321	0.123651	0.128694	0.137788	0.27016	0.389554	0.250049	0.237958	0.174726	0.270745	0.553634	0.655385	0.464126	0.723794	0.819013	0.694678	0.788542	0.486227	0.82466	0.794875	0.82543	0.88285	0.850261	0.8356152	2015	0.850261		
2017.Q2.G.01	BX_TRF_PWKR	Volume of remittances (in United States dollars) as a proportion of total GDP	124	-101.6575058	57.72360191	CAN	Canada	1	ANNUAL	PERCENT											0.074723	0.083004	0.083877	0.075335	0.080914	0.079821	0.082535	0.080368	0.083883	0.087158	0.074321	0.068597	0.068784	0.072558	0.072995	0.085222	0.0736312	2015	0.085222		
2017.Q2.G.01	BX_TRF_PWKR	Volume of remittances (in United States dollars) as a proportion of total GDP	132	-23.63544151	15.07791834	CPV	Cabo Verde	1	ANNUAL	PERCENT	19.270804	19.50008	21.282558	15.597196	21.017637	21.730695	19.990817	15.575868	14.129155	13.352539	16.116762	14.377196	13.700991	13.334488	12.263821	14.058849	12.330849	9.173086	8.668677	7.988506	7.868313	9.479169	10.157803	9.506754	10.459117	12.537442	10.428057	2015	12.537442		
2017.Q2.G.01	BX_TRF_PWKR	Volume of remittances (in United States dollars) as a proportion of total GDP	136	-81.16740559	19.32266656	CYM	Cayman Islands	1	ANNUAL	PERCENT																															
2017.Q2.G.01	BX_TRF_PWKR	Volume of remittances (in United States dollars) as a proportion of total GDP	140	20.93559492	7.003720791	CAF	Central African Republic	1	ANNUAL	PERCENT	0.005609	0.010294	0.010649	0.012427																								1993	0.012427		
2017.Q2.G.01	BX_TRF_PWKR	Volume of remittances (in United States dollars) as a proportion of total GDP	144	80.70489654	7.614693343	LKA	Sri Lanka	1	ANNUAL	PERCENT	4.989396	4.911958	5.645722	6.116661	6.103572	6.208499	6.12747	6.244346	6.479675	6.849566	7.068145	7.429144	7.837615	7.538861	7.616591	8.094385	7.661896	7.750481	7.183066	7.932018	7.268534	7.892164	8.766866	8.641518	8.792627	8.503471	8.5193292	2015	8.503471		
2017.Q2.G.01	BX_TRF_PWKR	Volume of remittances (in United States dollars) as a proportion of total GDP	148	18.66618401	15.36279341	TCD	Chad	1	ANNUAL	PERCENT			0.010841	0.021963	0.061369																							1994	0.061369		
2017.Q2.G.01	BX_TRF_PWKR	Volume of remittances (in United States dollars) as a proportion of total GDP	152	-71.23029019	-35.2652885	CHL	Chile	1	ANNUAL	PERCENT	0.001267										0.016766	0.016451	0.017469	0.015159	0.011527	0.01045	0.001616	0.001444	0.001392	0.002559			0.064195	0.04929	0.048862	0.052754	0.05377525	2015	0.052754		
2017.Q2.G.01	BX_TRF_PWKR	Volume of remittances (in United States dollars) as a proportion of total GDP	156	104.1403375	32.30955217	CHN	China	1	ANNUAL	PERCENT	0.054298	0.101682	0.145083	0.141969	0.151863	0.121326	0.217798	0.516415	0.304794	0.337001	0.062582	0.090265	0.160013	0.278586	0.339644	0.14598	0.156951	0.192364	0.198698	0.180226	0.223519	0.218795	0.199352	0.185174	0.285341	0.403765	0.2584854	2015	0.403765		
2017.Q2.G.01	BX_TRF_PWKR	Volume of remittances (in United States dollars) as a proportion of total GDP	162	105.6426067	-10.4882473	CXR	Christmas Island	1	ANNUAL	PERCENT																															
2017.Q2.G.01	BX_TRF_PWKR	Volume of remittances (in United States dollars) as a proportion of total GDP	166	96.82633757	-12.18600682	CCK	Cocos (Keeling) Islands	1	ANNUAL	PERCENT																															
2017.Q2.G.01	BX_TRF_PWKR	Volume of remittances (in United States dollars) as a proportion of total GDP	170	-73.07446751	3.888209046	COL	Colombia	1	ANNUAL	PERCENT	1.229075	2.136299	1.299727	0.838134	1.185201	0.881139	0.775047	0.725223	0.818666	1.522347	1.611951	2.093976	2.532275	3.248701	2.724504	2.282661	2.398153	2.150357	1.97836	1.764106	1.404387	1.222758	1.087128	1.170417	1.100834	1.602195	1.2366664	2015	1.602195		
2017.Q2.G.01	BX_TRF_PWKR	Volume of remittances (in United States dollars) as a proportion of total GDP	174	43.34234565	-11.66121732	COM	Comoros	1	ANNUAL	PERCENT	3.973617	4.090191	6.010674	6.081842	8.200281	5.266553								10.067506	13.206193	14.205586	15.54777	15.990284	19.290803	19.079193	16.431308	18.426682	19.305716	18.740035	19.446691	22.767392	19.7373032	2015	22.767392		
2017.Q2.G.01	BX_TRF_PWKR	Volume of remittances (in United States dollars) as a proportion of total GDP	175	45.14015057	-12.82217691	MYT	Mayotte	1	ANNUAL	PERCENT																															
2017.Q2.G.01	BX_TRF_PWKR	Volume of remittances (in United States dollars) as a proportion of total GDP	178	15.22052612	-0.840544119	COG	Congo	1	ANNUAL	PERCENT	0.156383	0.159614	0.147338	0.223778	0.241145	0.200341	0.307763	0.196946	0.099383	0.495619	0.321527	0.433726	0.038957	0.354366	0.321687	0.186875	0.170682	0.176472										2007	0.176472		
2017.Q2.G.01	BX_TRF_PWKR	Volume of remittances (in United States dollars) as a proportion of total GDP	180	23.65496507	-2.877154732	COD	Democratic Republic of the Congo	1	ANNUAL	PERCENT																0.074387	0.089532	0.053776	0.076538	0.106775	0.076498	0.480523	0.044421	0.110317	0.068264	0.013387	0.1433824	2015	0.013387		
2017.Q2.G.01	BX_TRF_PWKR	Volume of remittances (in United States dollars) as a proportion of total GDP	184	-159.7711391	-21.22696458	COK	Cook Islands	1	ANNUAL	PERCENT																															
2017.Q2.G.01	BX_TRF_PWKR	Volume of remittances (in United States dollars) as a proportion of total GDP	188	-84.19712782	9.970998683	CRI	Costa Rica	1	ANNUAL	PERCENT	0.162086	0.186916	0.166499	0.167762	0.163909	1.070919	1.125553	1.036482	0.940708	0.890998	0.909563	1.247024	1.518628	1.866027	1.724503	2.106772	2.27056	2.310511	1.975534	1.678836	1.423956	1.230919	1.210039	1.201455	1.183882	1.019617	1.1691824	2015	1.019617		
2017.Q2.G.01	BX_TRF_PWKR	Volume of remittances (in United States dollars) as a proportion of total GDP	191	17.95874553	45.45172212	HRV	Croatia	1	ANNUAL	PERCENT						2.430671	2.820818	2.592498	2.45874	2.382158	3.752606	3.984046	4.066611	3.812936	3.741604	3.438685	3.193821	3.085204	2.930096	3.014947	3.183936	3.360119	3.690695	3.763485	3.760717	4.316712	3.7783456	2015	4.316712		
2017.Q2.G.01	BX_TRF_PWKR	Volume of remittances (in United States dollars) as a proportion of total GDP	192	-79.54460144	22.10030366	CUB	Cuba	1	ANNUAL	PERCENT																															
2017.Q2.G.01	BX_TRF_PWKR	Volume of remittances (in United States dollars) as a proportion of total GDP	196	33.22285964	35.05659437	CYP	Cyprus	1	ANNUAL	PERCENT	1.4056	1.138126	1.174635	1.204987	1.094432	0.494845	0.498234	0.496909	0.466304	0.468498	0.441767	0.736709	0.17783	0.218248	0.444208	0.560425	0.512122	0.590571	3.501923	2.285498	3.371805	2.698393	2.219466	1.561039	1.146985	1.29801	1.7847786	2015	1.29801		
2017.Q2.G.01	BX_TRF_PWKR	Volume of remittances (in United States dollars) as a proportion of total GDP	203	15.33151382	49.73913871	CZE	Czechia	1	ANNUAL	PERCENT				0.34131	0.346265	0.320013	0.166983	0.138403	0.526753	0.491627	0.478192	0.380643	0.407195	0.497194	0.676775	1.073424	1.087386	1.004484	0.482322	0.581382	0.593705	0.611679	0.679504	0.829926	1.264692	1.454425	0.9680452	2015	1.454425		
2017.Q2.G.01	BX_TRF_PWKR	Volume of remittances (in United States dollars) as a proportion of total GDP	204	2.339933594	9.65401646	BEN	Benin	1	ANNUAL	PERCENT	5.155674	5.938798	8.040205	4.787479	5.599355	4.615279	3.651161	3.140555	3.679129	2.849586	3.334245	3.096452	2.479897	1.415411	1.393452	3.05766	3.80174	4.028382	2.902445	1.774648	2.000405	2.200648	2.548593	2.716355	3.134237	3.669695	2.8539056	2015	3.669695		
2017.Q2.G.01	BX_TRF_PWKR	Volume of remittances (in United States dollars) as a proportion of total GDP	208	9.326571283	56.03829721	DNK	Denmark	1	ANNUAL	PERCENT			0.3036	0.31419	0.280951	0.282653	0.366492	0.491184	0.432502	0.451329	0.406015	0.423944	0.439364	0.431265	0.427808	0.327738	0.347304	0.257602	0.366608	0.379435	0.334645	0.394479	0.389295	0.354227	0.420958	0.416561	0.395104	2015	0.416561		
2017.Q2.G.01	BX_TRF_PWKR	Volume of remittances (in United States dollars) as a proportion of total GDP	212	-61.3493756	15.43391378	DMA	Dominica	1	ANNUAL	PERCENT	8.370633	2.748471	2.698213	6.854175	6.165985	5.996032	5.816103	5.65091	5.657863	5.843132	4.026319	4.180059	4.281297	4.228845	5.344895	5.878533	5.654895	5.335518	4.951292	4.526617	4.635108	4.565004	4.784653	4.631973	4.458933	4.553417	4.598796	2015	4.553417		
2017.Q2.G.01	BX_TRF_PWKR	Volume of remittances (in United States dollars) as a proportion of total GDP	214	-70.49847576	18.89832088	DOM	Dominican Republic	1	ANNUAL	PERCENT	4.450303	3.388383	3.073328	5.84214	5.49578	5.130056	5.309453	5.829374	6.640051	7.513222	7.662924	7.961427	8.258058	10.929087	11.348852	7.996698	8.493903	7.690796	7.466509	7.058584	7.204208	7.343625	7.031585	7.238654	7.374404	7.629956	7.3236448	2015	7.629956		
2017.Q2.G.01	BX_TRF_PWKR	Volume of remittances (in United States dollars) as a proportion of total GDP	218	-78.37005241	-1.447785891	ECU	Ecuador	1	ANNUAL	PERCENT	0.334662	0.329634	0.414497	1.071456	1.216408	1.580329	1.938287	2.299974	2.854417	5.545965	7.214742	5.805703	5.037044	5.036334	5.023117	5.926699	6.268548	6.550644	5.000812	4.386516	3.73663	3.381318	2.816308	2.584686	2.417044	2.383342	2.7165396	2015	2.383342		
2017.Q2.G.01	BX_TRF_PWKR	Volume of remittances (in United States dollars) as a proportion of total GDP	222	-88.86862995	13.73603564	SLV	El Salvador	1	ANNUAL	PERCENT	7.62938	8.948125	11.659845	11.469408	12.018048	11.198357	10.506885	10.772505	11.157238	11.129831	13.432211	13.931382	13.648151	14.098108	16.223265	17.717535	18.773955	18.448488	17.520181	16.467451	16.209675	15.748084	16.361001	16.241404	16.567886	16.577147	16.2991044	2015	16.577147		
2017.Q2.G.01	BX_TRF_PWKR	Volume of remittances (in United States dollars) as a proportion of total GDP	226	10.46535826	1.565792376	GNQ	Equatorial Guinea	1	ANNUAL	PERCENT			0.9788	0.670646	0.502232	0.070616	0.070637																					1996	0.070637		
2017.Q2.G.01	BX_TRF_PWKR	Volume of remittances (in United States dollars) as a proportion of total GDP	231	39.63505296	8.631223181	ETH	Ethiopia	1	ANNUAL	PERCENT	0.042853	0.072479	0.143135	0.208137	0.355454	0.35699	0.187322	0.107489	0.349353	0.438	0.644945	0.222488	0.420172	0.538867	1.32011	1.399221	1.126594	1.815736	1.428668	0.806483	1.153047	1.60624	1.441585	1.310377	1.122723	1.014583	1.2991016	2015	1.014583		
2017.Q2.G.01	BX_TRF_PWKR	Volume of remittances (in United States dollars) as a proportion of total GDP	232	38.11074289	16.12894644	ERI	Eritrea	1	ANNUAL	PERCENT									0.361037	0.527492	0.465018																	2000	0.465018		
2017.Q2.G.01	BX_TRF_PWKR	Volume of remittances (in United States dollars) as a proportion of total GDP	233	25.84093481	58.68487172	EST	Estonia	1	ANNUAL	PERCENT						0.029354	0.035491	0.034293	0.047074	0.040417	0.071277	0.17647	0.261524	0.520723	1.383825	1.885596	2.369023	1.848213	1.497323	1.72896	1.832367	1.892066	1.99985	2.263166	2.077135	1.987172	2.0438778	2015	1.987172		
2017.Q2.G.01	BX_TRF_PWKR	Volume of remittances (in United States dollars) as a proportion of total GDP	234	-7.122044325	62.21228119	FRO	Faroe Islands	1	ANNUAL	PERCENT									4.384597	4.445295	4.044845	3.38038	3.133756	2.98481	2.922681	4.638206	4.520263	4.792229	5.659185	6.146895	6.361646	6.416682	6.722316	6.061383			6.400127	2013	6.061383		
2017.Q2.G.01	BX_TRF_PWKR	Volume of remittances (in United States dollars) as a proportion of total GDP	238	-58.75246778	-51.74562601	FLK	Falkland Islands (Malvinas)	1	ANNUAL	PERCENT																															
2017.Q2.G.01	BX_TRF_PWKR	Volume of remittances (in United States dollars) as a proportion of total GDP	239	-36.90662765	-54.20736749	SGS	South Georgia and the South Sandwich Islands	1	ANNUAL	PERCENT																															
2017.Q2.G.01	BX_TRF_PWKR	Volume of remittances (in United States dollars) as a proportion of total GDP	242	177.9660884	-17.83301566	FJI	Fiji	1	ANNUAL	PERCENT	1.641405	1.385936	1.481137	1.598281	1.623981	1.670898	1.569612	1.687039	1.564528	1.257402	2.571171	4.673429	5.394616	5.340803	6.330342	6.76222	6.593845	5.381056	4.163894	5.965368	5.593042	4.248332	4.79877	4.858517	4.942293	5.678906	4.9053636	2015	5.678906		
2017.Q2.G.01	BX_TRF_PWKR	Volume of remittances (in United States dollars) as a proportion of total GDP	246	23.308447	61.91586738	FIN	Finland	1	ANNUAL	PERCENT	0.044435	0.079134	0.091554	0.086326	0.064743	0.055335	0.110114	0.185483	0.280291	0.328053	0.376561	0.379553	0.341578	0.307448	0.338687	0.338797	0.329947	0.315636	0.338042	0.343959	0.360768	0.276102	0.335959	0.360487	0.332724	0.347032	0.3304608	2015	0.347032		
2017.Q2.G.01	BX_TRF_PWKR	Volume of remittances (in United States dollars) as a proportion of total GDP	248	19.80945969	60.1544901	ALA	Åland Islands	1	ANNUAL	PERCENT																															
2017.Q2.G.01	BX_TRF_PWKR	Volume of remittances (in United States dollars) as a proportion of total GDP	250	2.457288129	46.62660861	FRA	France	1	ANNUAL	PERCENT	0.316377	0.362155	0.370052	0.378314	0.282093	0.288218	0.280899	0.666874	0.663313	0.620372	0.648159	0.664983	0.705763	0.661312	0.627692	0.644932	0.667904	0.660482	0.687038	0.729413	0.751916	0.800952	0.845615	0.86925	0.888836	0.965404	0.8740114	2015	0.965404		
2017.Q2.G.01	BX_TRF_PWKR	Volume of remittances (in United States dollars) as a proportion of total GDP	254	-53.23619089	3.922673437	GUF	French Guiana	1	ANNUAL	PERCENT																															
2017.Q2.G.01	BX_TRF_PWKR	Volume of remittances (in United States dollars) as a proportion of total GDP	258	-149.4052367	-17.67709294	PYF	French Polynesia	1	ANNUAL	PERCENT																															
2017.Q2.G.01	BX_TRF_PWKR	Volume of remittances (in United States dollars) as a proportion of total GDP	260	69.64849091	-49.6068576	ATF	French Southern Territories	1	ANNUAL	PERCENT																															
