series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Age	Freq	Units	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2017.Q2.G.01	FB_CBK_BRCH	Number of commercial bank branches per 100,000 adults	36	134.3499412	-25.57717202	AUS	Australia	1	15+	ANNUAL	PER_100000_POP	30.67274	30.63224	31.24218	31.67888	31.57869	31.2316	30.74978	30.36533	30.21501	29.53904	29.17649	28.72061	29.603296	2015	28.72061	Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS	C
2017.Q2.G.01	FB_CBK_BRCH	Number of commercial bank branches per 100,000 adults	40	14.14172472	47.58704857	AUT	Austria	1	15+	ANNUAL	PER_100000_POP	13.93068	13.32376	13.03832	12.88358	12.58602	11.76651	11.28781	15.10629	15.98663	15.56021	14.85952	13.86096	15.074722	2015	13.86096	Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS	C
2017.Q2.G.01	FB_CBK_BRCH	Number of commercial bank branches per 100,000 adults	44	-78.05111663	24.69546597	BHS	Bahamas	1	15+	ANNUAL	PER_100000_POP				39.9519	38.90933	36.7597	36.13376	35.40518	35.02254	34.00525	33.41782	29.65705	33.501568	2015	29.65705	Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS	C
2017.Q2.G.01	FB_CBK_BRCH	Number of commercial bank branches per 100,000 adults	48	50.5490754	26.04407747	BHR	Bahrain	1	15+	ANNUAL	PER_100000_POP																	
2017.Q2.G.01	FB_CBK_BRCH	Number of commercial bank branches per 100,000 adults	50	89.17660788	22.86961622	BGD	Bangladesh	1	15+	ANNUAL	PER_100000_POP	6.941277	6.888928	6.920321	6.955733	7.005031	7.217129	7.4709	7.672722	7.870271	8.038251	8.224125	8.370654	8.0352046	2015	8.370654	Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS	C
2017.Q2.G.01	FB_CBK_BRCH	Number of commercial bank branches per 100,000 adults	51	44.93839317	40.29499741	ARM	Armenia	1	15+	ANNUAL	PER_100000_POP	10.79247	12.23154	13.58245	15.66521	17.11817	17.54743	18.25487	19.48671	20.58838	20.88075	21.67605	22.20924	20.968226	2015	22.20924	Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS	C
2017.Q2.G.01	FB_CBK_BRCH	Number of commercial bank branches per 100,000 adults	52	-59.5346489	13.13648273	BRB	Barbados	1	15+	ANNUAL	PER_100000_POP			19.21986	19.55017	19.42186	18.857	18.76047	19.97559	20.75724	19.34925	21.02534	16.14494	19.450472	2015	16.14494	Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS	C
2017.Q2.G.01	FB_CBK_BRCH	Number of commercial bank branches per 100,000 adults	56	4.660976456	50.64104975	BEL	Belgium	1	15+	ANNUAL	PER_100000_POP	57.21157	53.68745	53.43484	51.37438	49.67339	47.93234	44.99762	43.40485	42.3979	41.31953	39.75599	38.52383	41.08042	2015	38.52383	Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS	C
2017.Q2.G.01	FB_CBK_BRCH	Number of commercial bank branches per 100,000 adults	60	-64.78155012	32.27881922	BMU	Bermuda	1	15+	ANNUAL	PER_100000_POP																	
2017.Q2.G.01	FB_CBK_BRCH	Number of commercial bank branches per 100,000 adults	64	90.45098484	27.39598568	BTN	Bhutan	1	15+	ANNUAL	PER_100000_POP	14.37447	13.74923	13.2431	12.80254	12.8347	12.87469	14.30285	16.27125	12.4657	16.03344	15.49215	15.35285	15.123078	2015	15.35285	Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS	C
2017.Q2.G.01	FB_CBK_BRCH	Number of commercial bank branches per 100,000 adults	68	-64.66224284	-16.71273412	BOL	Bolivia (Plurinational State of)	1	15+	ANNUAL	PER_100000_POP	4.477602	5.101188	5.72952	5.91502	6.283792	6.901214	8.598318	9.298543	9.710567	11.4843	15.0537	15.32081	12.173584	2015	15.32081	Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS	C
2017.Q2.G.01	FB_CBK_BRCH	Number of commercial bank branches per 100,000 adults	70	17.78584332	44.16845548	BIH	Bosnia and Herzegovina	1	15+	ANNUAL	PER_100000_POP		26.46969	27.19988	30.59574	32.62387	31.00082	30.06994	30.58582	29.90824	30.24108	30.75907	27.91192	29.881226	2015	27.91192	Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS	C
2017.Q2.G.01	FB_CBK_BRCH	Number of commercial bank branches per 100,000 adults	72	23.81380223	-22.18810073	BWA	Botswana	1	15+	ANNUAL	PER_100000_POP	6.637733	6.320934	6.64475	7.577743	8.45755	8.389758	8.689372	8.264121	8.276815	8.426311	8.570518	7.929632	8.2934794	2015	7.929632	Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS	C
2017.Q2.G.01	FB_CBK_BRCH	Number of commercial bank branches per 100,000 adults	74	3.410732868	-54.43295905	BVT	Bouvet Island	1	15+	ANNUAL	PER_100000_POP																	
2017.Q2.G.01	FB_CBK_BRCH	Number of commercial bank branches per 100,000 adults	76	-53.08432878	-10.77668561	BRA	Brazil	1	15+	ANNUAL	PER_100000_POP		18.19002	18.08812	18.15793	18.79732	18.70916	18.21017	18.75018	20.02192	20.22941	21.04841	20.67255	20.144494	2015	20.67255	Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS	C
2017.Q2.G.01	FB_CBK_BRCH	Number of commercial bank branches per 100,000 adults	84	-88.70199554	17.19965901	BLZ	Belize	1	15+	ANNUAL	PER_100000_POP	25.69987	25.44853	23.42168	26.34479	26.962	26.02199	25.14191	24.29691	23.52164	24.1097	23.37292	21.01507	23.263248	2015	21.01507	Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS	C
2017.Q2.G.01	FB_CBK_BRCH	Number of commercial bank branches per 100,000 adults	86	72.38715553	-7.299281071	IOT	British Indian Ocean Territory	1	15+	ANNUAL	PER_100000_POP																	
2017.Q2.G.01	FB_CBK_BRCH	Number of commercial bank branches per 100,000 adults	90	160.1584117	-9.622391719	SLB	Solomon Islands	1	15+	ANNUAL	PER_100000_POP	7.461155	7.98667	8.135776	7.932265	7.738792	7.553763	4.488647	4.070017	3.970618	3.573833	4.06536	3.964478	3.9288612	2015	3.964478	Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS	C
2017.Q2.G.01	FB_CBK_BRCH	Number of commercial bank branches per 100,000 adults	92	-64.63294223	18.42256578	VGB	British Virgin Islands	1	15+	ANNUAL	PER_100000_POP																	
2017.Q2.G.01	FB_CBK_BRCH	Number of commercial bank branches per 100,000 adults	96	114.6288563	4.49736984	BRN	Brunei Darussalam	1	15+	ANNUAL	PER_100000_POP	21.15722	25.98117	23.15169	22.60002	22.77378	23.29892	22.79927	22.61067	22.14436	22.35722	19.73944	20.28292	21.426922	2015	20.28292	Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS	C
2017.Q2.G.01	FB_CBK_BRCH	Number of commercial bank branches per 100,000 adults	100	25.23763153	42.75731323	BGR	Bulgaria	1	15+	ANNUAL	PER_100000_POP	84.21787	84.58662	83.39393	88.29308	92.30452	92.27847	91.93114	60.03513	61.34468	60.72503	60.44296	60.36281	60.582122	2015	60.36281	Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS	C
2017.Q2.G.01	FB_CBK_BRCH	Number of commercial bank branches per 100,000 adults	104	96.51752295	21.19332882	MMR	Myanmar	1	15+	ANNUAL	PER_100000_POP	1.757327	1.677678	1.379202	1.403602	1.432728	1.452184	1.492154	1.635198	1.813631	2.672324	3.3061	3.27032	2.5395146	2015	3.27032	Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS	C
2017.Q2.G.01	FB_CBK_BRCH	Number of commercial bank branches per 100,000 adults	108	29.89080992	-3.366387428	BDI	Burundi	1	15+	ANNUAL	PER_100000_POP	1.448628	1.476323	1.59156	1.696313	1.731129	1.88056	2.094458	2.286822	2.483816	2.943003	2.872421	2.900844	2.6973812	2015	2.900844	Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS	C
2017.Q2.G.01	FB_CBK_BRCH	Number of commercial bank branches per 100,000 adults	112	28.04940161	53.54193075	BLR	Belarus	1	15+	ANNUAL	PER_100000_POP	6.097255	5.800896	5.569694	4.876906	4.390227	3.667542	3.192629	2.09696	1.705657	1.561573	1.201862	0.889231	1.4910566	2015	0.889231	Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS	C
2017.Q2.G.01	FB_CBK_BRCH	Number of commercial bank branches per 100,000 adults	116	104.922836	12.71163737	KHM	Cambodia	1	15+	ANNUAL	PER_100000_POP			2.319273	3.023264	3.129167	3.947805	4.103726	4.259816	4.474114	4.756794	5.672925	6.100463	5.0528224	2015	6.100463	Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS	C
2017.Q2.G.01	FB_CBK_BRCH	Number of commercial bank branches per 100,000 adults	120	12.7419827	5.692387031	CMR	Cameroon	1	15+	ANNUAL	PER_100000_POP	0.469538	0.98075	1.059904	1.104977	1.191618	1.281117	1.656396	1.703076	1.802357	1.925989	1.948569		1.84499775	2014	1.948569	Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS	C
2017.Q2.G.01	FB_CBK_BRCH	Number of commercial bank branches per 100,000 adults	124	-101.6575058	57.72360191	CAN	Canada	1	15+	ANNUAL	PER_100000_POP			24.58028	24.67149	24.61515	24.18881	24.0531	24.17677	24.23932	24.15108	23.90801	23.62118	24.019272	2015	23.62118	Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS	C
2017.Q2.G.01	FB_CBK_BRCH	Number of commercial bank branches per 100,000 adults	132	-23.63544151	15.07791834	CPV	Cabo Verde	1	15+	ANNUAL	PER_100000_POP	16.08054	16.26876	18.10425	21.1859	25.72832	28.22415	31.18226	30.63545	34.37806	34.265	33.89991	33.86405	33.408494	2015	33.86405	Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS	C
2017.Q2.G.01	FB_CBK_BRCH	Number of commercial bank branches per 100,000 adults	136	-81.16740559	19.32266656	CYM	Cayman Islands	1	15+	ANNUAL	PER_100000_POP																	
2017.Q2.G.01	FB_CBK_BRCH	Number of commercial bank branches per 100,000 adults	140	20.93559492	7.003720791	CAF	Central African Republic	1	15+	ANNUAL	PER_100000_POP	0.302214	0.296329	0.290347	0.487058	0.515779	0.736274	0.832196	0.849604	0.865568	0.915243			0.876805	2013	0.915243	Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS	C
2017.Q2.G.01	FB_CBK_BRCH	Number of commercial bank branches per 100,000 adults	144	80.70489654	7.614693343	LKA	Sri Lanka	1	15+	ANNUAL	PER_100000_POP	8.775216	9.08718	12.111	13.37653	14.21074	15.01526	15.98392	17.39538	18.00907	18.31259	18.44227	18.58497	18.148856	2015	18.58497	Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS	C
2017.Q2.G.01	FB_CBK_BRCH	Number of commercial bank branches per 100,000 adults	148	18.66618401	15.36279341	TCD	Chad	1	15+	ANNUAL	PER_100000_POP	0.384724	0.370522	0.358183	0.364377	0.492727	0.560409	0.622125	0.679793	0.655582	0.852051	0.976308	0.994721	0.831691	2015	0.994721	Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS	C
2017.Q2.G.01	FB_CBK_BRCH	Number of commercial bank branches per 100,000 adults	152	-71.23029019	-35.2652885	CHL	Chile	1	15+	ANNUAL	PER_100000_POP	12.54212	13.11756	13.85657	14.94078	15.39001	16.95606	17.35891	17.24669	17.09353	16.93133	16.71901	16.01296	16.800704	2015	16.01296	Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS	C
2017.Q2.G.01	FB_CBK_BRCH	Number of commercial bank branches per 100,000 adults	156	104.1403375	32.30955217	CHN	China	1	15+	ANNUAL	PER_100000_POP									7.64376	7.728734	7.968219	8.447166	7.94696975	2015	8.447166	Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS	C
2017.Q2.G.01	FB_CBK_BRCH	Number of commercial bank branches per 100,000 adults	162	105.6426067	-10.4882473	CXR	Christmas Island	1	15+	ANNUAL	PER_100000_POP																	
2017.Q2.G.01	FB_CBK_BRCH	Number of commercial bank branches per 100,000 adults	166	96.82633757	-12.18600682	CCK	Cocos (Keeling) Islands	1	15+	ANNUAL	PER_100000_POP																	
2017.Q2.G.01	FB_CBK_BRCH	Number of commercial bank branches per 100,000 adults	170	-73.07446751	3.888209046	COL	Colombia	1	15+	ANNUAL	PER_100000_POP					13.61031	13.56429	13.4233	14.38081	14.67232	15.29043	15.30865	15.90831	15.112104	2015	15.90831	Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS	CA
2017.Q2.G.01	FB_CBK_BRCH	Number of commercial bank branches per 100,000 adults	174	43.34234565	-11.66121732	COM	Comoros	1	15+	ANNUAL	PER_100000_POP	0.577249	0.560295	0.544502	1.058551	1.029164	1.250847	1.21627	2.130783	2.303972	2.466257	2.836465	2.760519	2.4995992	2015	2.760519	Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS	C
2017.Q2.G.01	FB_CBK_BRCH	Number of commercial bank branches per 100,000 adults	175	45.14015057	-12.82217691	MYT	Mayotte	1	15+	ANNUAL	PER_100000_POP																	
2017.Q2.G.01	FB_CBK_BRCH	Number of commercial bank branches per 100,000 adults	178	15.22052612	-0.840544119	COG	Congo	1	15+	ANNUAL	PER_100000_POP	0.706135	0.688856	0.669734	1.485927	1.801872	1.836233	2.20885	2.696131	2.877665	3.525055	3.790551	3.961293	3.370139	2015	3.961293	Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS	C
2017.Q2.G.01	FB_CBK_BRCH	Number of commercial bank branches per 100,000 adults	180	23.65496507	-2.877154732	COD	Democratic Republic of the Congo	1	15+	ANNUAL	PER_100000_POP	0.456002	0.451136	0.44707	0.473503	0.46698	0.477781	0.592102	0.600592	0.679322	0.636489	0.778957	1.008878	0.7408476	2015	1.008878	Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS	C
2017.Q2.G.01	FB_CBK_BRCH	Number of commercial bank branches per 100,000 adults	184	-159.7711391	-21.22696458	COK	Cook Islands	1	15+	ANNUAL	PER_100000_POP																	
2017.Q2.G.01	FB_CBK_BRCH	Number of commercial bank branches per 100,000 adults	188	-84.19712782	9.970998683	CRI	Costa Rica	1	15+	ANNUAL	PER_100000_POP	16.23428	18.15807	18.75575	20.89441	20.61833	20.20574	20.27368	23.12664	23.0517	22.56309	22.32368	22.32763	22.678548	2015	22.32763	Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS	C
2017.Q2.G.01	FB_CBK_BRCH	Number of commercial bank branches per 100,000 adults	191	17.95874553	45.45172212	HRV	Croatia	1	15+	ANNUAL	PER_100000_POP	28.83949	30.72211	30.76476	32.66653	34.36564	35.68708	35.19183	35.94573	35.63953	34.67558	33.93697	33.45977	34.731516	2015	33.45977	Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS	C
2017.Q2.G.01	FB_CBK_BRCH	Number of commercial bank branches per 100,000 adults	192	-79.54460144	22.10030366	CUB	Cuba	1	15+	ANNUAL	PER_100000_POP																	
2017.Q2.G.01	FB_CBK_BRCH	Number of commercial bank branches per 100,000 adults	196	33.22285964	35.05659437	CYP	Cyprus	1	15+	ANNUAL	PER_100000_POP	67.08926	62.43534	60.60132	60.72288	61.43004	60.6658	58.39744	55.90929	52.31698	39.24564	37.69031	35.88943	44.21033	2015	35.88943	Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS	C
2017.Q2.G.01	FB_CBK_BRCH	Number of commercial bank branches per 100,000 adults	203	15.33151382	49.73913871	CZE	Czechia	1	15+	ANNUAL	PER_100000_POP	21.001	21.37665	21.89547	21.59076	22.81422	22.74374	22.61348	23.29111	23.82996	24.28829	24.20078	23.64985	23.851998	2015	23.64985	Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS	C
2017.Q2.G.01	FB_CBK_BRCH	Number of commercial bank branches per 100,000 adults	204	2.339933594	9.65401646	BEN	Benin	1	15+	ANNUAL	PER_100000_POP	0.936959	1.079353	1.597121	1.975653	2.366614	2.729612	2.936515	3.152334	3.142821	3.215457	3.312924	3.257553	3.2162178	2015	3.257553	Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS	C
2017.Q2.G.01	FB_CBK_BRCH	Number of commercial bank branches per 100,000 adults	208	9.326571283	56.03829721	DNK	Denmark	1	15+	ANNUAL	PER_100000_POP	50.08225	50.20243	50.52424	51.86227	50.45587	45.80308	40.86845	38.73324	34.09374	30.02572	27.79759	24.73592	31.077242	2015	24.73592	Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS	C
2017.Q2.G.01	FB_CBK_BRCH	Number of commercial bank branches per 100,000 adults	212	-61.3493756	15.43391378	DMA	Dominica	1	15+	ANNUAL	PER_100000_POP	21.86524	21.79798	21.75234	21.72008	21.69373	21.65889	21.60654	21.53543	21.45041	21.35509	19.48457	19.39369	20.643838	2015	19.39369	Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS	C
2017.Q2.G.01	FB_CBK_BRCH	Number of commercial bank branches per 100,000 adults	214	-70.49847576	18.89832088	DOM	Dominican Republic	1	15+	ANNUAL	PER_100000_POP	9.942529	9.90675	9.891006	9.900542	10.02922	10.18628	10.22577	10.65191	10.48719	11.66238	11.57405	12.57084	11.389274	2015	12.57084	Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS	C
2017.Q2.G.01	FB_CBK_BRCH	Number of commercial bank branches per 100,000 adults	218	-78.37005241	-1.447785891	ECU	Ecuador	1	15+	ANNUAL	PER_100000_POP	12.79041	14.79638	14.30857	13.99789	17.57876	24.46671	33.8616	41.84559	77.29467	78.59393	77.15331	75.74577	70.126654	2015	75.74577	Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS	C
2017.Q2.G.01	FB_CBK_BRCH	Number of commercial bank branches per 100,000 adults	222	-88.86862995	13.73603564	SLV	El Salvador	1	15+	ANNUAL	PER_100000_POP						11.73637	10.72826	11.57471	11.16347	11.8629	11.80715		11.6020575	2014	11.80715	Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS	C
2017.Q2.G.01	FB_CBK_BRCH	Number of commercial bank branches per 100,000 adults	226	10.46535826	1.565792376	GNQ	Equatorial Guinea	1	15+	ANNUAL	PER_100000_POP	3.10738	3.259691	3.671303	3.799989	3.917862	4.023983	4.346971	4.432427	5.363863	6.022895	6.234163	6.818864	5.7744424	2015	6.818864	Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS	C
2017.Q2.G.01	FB_CBK_BRCH	Number of commercial bank branches per 100,000 adults	231	39.63505296	8.631223181	ETH	Ethiopia	1	15+	ANNUAL	PER_100000_POP	0.835241	0.914255	0.937725	1.076613	1.193702	1.315555	1.362857	1.898064	2.931114				2.414589	2012	2.931114	Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS	C
2017.Q2.G.01	FB_CBK_BRCH	Number of commercial bank branches per 100,000 adults	232	38.11074289	16.12894644	ERI	Eritrea	1	15+	ANNUAL	PER_100000_POP																	
2017.Q2.G.01	FB_CBK_BRCH	Number of commercial bank branches per 100,000 adults	233	25.84093481	58.68487172	EST	Estonia	1	15+	ANNUAL	PER_100000_POP	18.41374	20.8798	22.62601	24.02214	23.82331	20.27656	19.46941	17.33944	16.00083	13.93352	12.38083	11.17241	14.165406	2015	11.17241	Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS	C
2017.Q2.G.01	FB_CBK_BRCH	Number of commercial bank branches per 100,000 adults	234	-7.122044325	62.21228119	FRO	Faroe Islands	1	15+	ANNUAL	PER_100000_POP																	
2017.Q2.G.01	FB_CBK_BRCH	Number of commercial bank branches per 100,000 adults	238	-58.75246778	-51.74562601	FLK	Falkland Islands (Malvinas)	1	15+	ANNUAL	PER_100000_POP																	
2017.Q2.G.01	FB_CBK_BRCH	Number of commercial bank branches per 100,000 adults	239	-36.90662765	-54.20736749	SGS	South Georgia and the South Sandwich Islands	1	15+	ANNUAL	PER_100000_POP																	
2017.Q2.G.01	FB_CBK_BRCH	Number of commercial bank branches per 100,000 adults	242	177.9660884	-17.83301566	FJI	Fiji	1	15+	ANNUAL	PER_100000_POP	9.25682	9.633456	10.58668	11.31041	11.64846	11.30238	11.13677	10.87489	10.45912	11.01344	12.19895	12.26992	11.363264	2015	12.26992	Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS	C
2017.Q2.G.01	FB_CBK_BRCH	Number of commercial bank branches per 100,000 adults	246	23.308447	61.91586738	FIN	Finland	1	15+	ANNUAL	PER_100000_POP	13.17298	14.41617	16.95207	16.11416	16.06794	14.96668	15.49783	15.08069	13.58387	12.19619	12.05686	8.067429	12.1970078	2015	8.067429	Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS	C
2017.Q2.G.01	FB_CBK_BRCH	Number of commercial bank branches per 100,000 adults	248	19.80945969	60.1544901	ALA	Åland Islands	1	15+	ANNUAL	PER_100000_POP																	
2017.Q2.G.01	FB_CBK_BRCH	Number of commercial bank branches per 100,000 adults	250	2.457288129	46.62660861	FRA	France	1	15+	ANNUAL	PER_100000_POP	21.5635	21.99988	45.89164	44.89053	44.56006	41.92405	41.57372	41.38512	39.00721	38.66795	37.98864	37.51756	38.913296	2015	37.51756	Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS	C
2017.Q2.G.01	FB_CBK_BRCH	Number of commercial bank branches per 100,000 adults	254	-53.23619089	3.922673437	GUF	French Guiana	1	15+	ANNUAL	PER_100000_POP																	
2017.Q2.G.01	FB_CBK_BRCH	Number of commercial bank branches per 100,000 adults	258	-149.4052367	-17.67709294	PYF	French Polynesia	1	15+	ANNUAL	PER_100000_POP																	
2017.Q2.G.01	FB_CBK_BRCH	Number of commercial bank branches per 100,000 adults	260	69.64849091	-49.6068576	ATF	French Southern Territories	1	15+	ANNUAL	PER_100000_POP																	
2017.Q2.G.01	FB_CBK_BRCH	Number of commercial bank branches per 100,000 adults	262	42.18274707	11.56004161	DJI	Djibouti	1	15+	ANNUAL	PER_100000_POP	2.115726	2.058515	2.410713	2.352466	3.062107	3.553228	4.391133	5.025775	5.288589	5.025143	5.621739	6.362857	5.4648206	2015	6.362857	Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS	C
2017.Q2.G.01	FB_CBK_BRCH	Number of commercial bank branches per 100,000 adults	266	11.78727747	-0.60687619	GAB	Gabon	1	15+	ANNUAL	PER_100000_POP		4.05896	4.066401	4.184876	4.074782	4.503867	5.012197	5.703786	9.833574	10.36506			8.63414	2013	10.36506	Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS	C
2017.Q2.G.01	FB_CBK_BRCH	Number of commercial bank branches per 100,000 adults	268	43.3713615	42.04813028	GEO	Georgia	1	15+	ANNUAL	PER_100000_POP	9.375843	10.78583	13.02695	15.96098	20.60017	19.63247	20.205	22.57444	26.89197	31.86431	31.7615	31.9248	29.003404	2015	31.9248	Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS	C
