geoAreaCode	years	Age	Freq	Location	Sex	Units	Bounds	sliceId	X	Y	OBJECTID	ISO3CD	geoAreaName	value	valueType	time_detail	source	Nature
12	2017	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NOTAP	LB	2	2.678164227	28.15940032	66	DZA	Algeria	0.894936398148900	Float		BirdLife International and IUCN (2017), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.	E
12	2017	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NOTAP	UB	3	2.678164227	28.15940032	66	DZA	Algeria	0.907570718609267	Float		BirdLife International and IUCN (2017), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.	E
16	2017	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NOTAP	MP	1	-170.7187269	-14.30587306	12	ASM	American Samoa	0.83758832650654	Float		BirdLife International and IUCN (2017), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.	E
16	2017	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NOTAP	LB	2	-170.7187269	-14.30587306	12	ASM	American Samoa	0.762131786745855	Float		BirdLife International and IUCN (2017), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.	E
16	2017	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NOTAP	UB	3	-170.7187269	-14.30587306	12	ASM	American Samoa	0.893964827023949	Float		BirdLife International and IUCN (2017), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.	E
20	2017	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NOTAP	MP	1	1.576257417	42.54548611	7	AND	Andorra	0.91928279188639	Float		BirdLife International and IUCN (2017), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.	E
20	2017	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NOTAP	LB	2	1.576257417	42.54548611	7	AND	Andorra	0.918831352739279	Float		BirdLife International and IUCN (2017), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.	E
20	2017	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NOTAP	UB	3	1.576257417	42.54548611	7	AND	Andorra	0.919707716511249	Float		BirdLife International and IUCN (2017), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.	E
24	2017	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NOTAP	MP	1	17.57817062	-12.33724746	3	AGO	Angola	0.93624210586945	Float		BirdLife International and IUCN (2017), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.	E
24	2017	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NOTAP	LB	2	17.57817062	-12.33724746	3	AGO	Angola	0.929299938190329	Float		BirdLife International and IUCN (2017), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.	E
24	2017	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NOTAP	UB	3	17.57817062	-12.33724746	3	AGO	Angola	0.940057186916183	Float		BirdLife International and IUCN (2017), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.	E
28	2017	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NOTAP	MP	1	-61.7999755	17.07761471	15	ATG	Antigua and Barbuda	0.88997069082025	Float		BirdLife International and IUCN (2017), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.	E
28	2017	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NOTAP	LB	2	-61.7999755	17.07761471	15	ATG	Antigua and Barbuda	0.865989253263068	Float		BirdLife International and IUCN (2017), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.	E
28	2017	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NOTAP	UB	3	-61.7999755	17.07761471	15	ATG	Antigua and Barbuda	0.910478081021528	Float		BirdLife International and IUCN (2017), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.	E
31	2017	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NOTAP	MP	1	50.01064725	40.39229544	19	AZE	Azerbaijan	0.91143394824219	Float		BirdLife International and IUCN (2017), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.	E
31	2017	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NOTAP	LB	2	50.01064725	40.39229544	19	AZE	Azerbaijan	0.864104576434653	Float		BirdLife International and IUCN (2017), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.	E
31	2017	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NOTAP	UB	3	50.01064725	40.39229544	19	AZE	Azerbaijan	0.935298054461468	Float		BirdLife International and IUCN (2017), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.	E
32	2017	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NOTAP	MP	1	-65.14563274	-35.19446255	10	ARG	Argentina	0.86089130392543	Float		BirdLife International and IUCN (2017), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.	E
32	2017	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NOTAP	LB	2	-65.14563274	-35.19446255	10	ARG	Argentina	0.844265897566055	Float		BirdLife International and IUCN (2017), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.	E
32	2017	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NOTAP	UB	3	-65.14563274	-35.19446255	10	ARG	Argentina	0.873600037718343	Float		BirdLife International and IUCN (2017), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.	E
36	2017	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NOTAP	MP	1	134.3499412	-25.57717202	17	AUS	Australia	0.82822989446890	Float		BirdLife International and IUCN (2017), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.	E
36	2017	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NOTAP	LB	2	134.3499412	-25.57717202	17	AUS	Australia	0.802865188597069	Float		BirdLife International and IUCN (2017), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.	E
36	2017	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NOTAP	UB	3	134.3499412	-25.57717202	17	AUS	Australia	0.849281122291114	Float		BirdLife International and IUCN (2017), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.	E
40	2017	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NOTAP	MP	1	14.14172472	47.58704857	18	AUT	Austria	0.89617923592811	Float		BirdLife International and IUCN (2017), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.	E
40	2017	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NOTAP	LB	2	14.14172472	47.58704857	18	AUT	Austria	0.895873071840149	Float		BirdLife International and IUCN (2017), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.	E
40	2017	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NOTAP	UB	3	14.14172472	47.58704857	18	AUT	Austria	0.896519702322463	Float		BirdLife International and IUCN (2017), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.	E
44	2017	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NOTAP	MP	1	-78.05111663	24.69546597	27	BHS	Bahamas	0.70370696663296	Float		BirdLife International and IUCN (2017), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.	E
44	2017	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NOTAP	LB	2	-78.05111663	24.69546597	27	BHS	Bahamas	0.688929256975247	Float		BirdLife International and IUCN (2017), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.	E
44	2017	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NOTAP	UB	3	-78.05111663	24.69546597	27	BHS	Bahamas	0.714549006202458	Float		BirdLife International and IUCN (2017), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.	E
48	2017	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NOTAP	MP	1	50.5490754	26.04407747	26	BHR	Bahrain	0.84944974736657	Float		BirdLife International and IUCN (2017), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.	E
48	2017	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NOTAP	LB	2	50.5490754	26.04407747	26	BHR	Bahrain	0.814193136331000	Float		BirdLife International and IUCN (2017), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.	E
48	2017	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NOTAP	UB	3	50.5490754	26.04407747	26	BHR	Bahrain	0.877741882158575	Float		BirdLife International and IUCN (2017), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.	E
50	2017	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NOTAP	MP	1	89.17660788	22.86961622	24	BGD	Bangladesh	0.76541991241240	Float		BirdLife International and IUCN (2017), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.	E
50	2017	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NOTAP	LB	2	89.17660788	22.86961622	24	BGD	Bangladesh	0.721183815513970	Float		BirdLife International and IUCN (2017), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.	E
50	2017	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NOTAP	UB	3	89.17660788	22.86961622	24	BGD	Bangladesh	0.800339086362979	Float		BirdLife International and IUCN (2017), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.	E
51	2017	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NOTAP	MP	1	44.93839317	40.29499741	11	ARM	Armenia	0.84459166801339	Float		BirdLife International and IUCN (2017), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.	E
51	2017	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NOTAP	LB	2	44.93839317	40.29499741	11	ARM	Armenia	0.823679297673181	Float		BirdLife International and IUCN (2017), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.	E
51	2017	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NOTAP	UB	3	44.93839317	40.29499741	11	ARM	Armenia	0.852363474297890	Float		BirdLife International and IUCN (2017), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.	E
52	2017	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NOTAP	MP	1	-59.5346489	13.13648273	35	BRB	Barbados	0.91425119692850	Float		BirdLife International and IUCN (2017), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.	E
52	2017	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NOTAP	LB	2	-59.5346489	13.13648273	35	BRB	Barbados	0.903357787877557	Float		BirdLife International and IUCN (2017), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.	E
52	2017	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NOTAP	UB	3	-59.5346489	13.13648273	35	BRB	Barbados	0.921677624405581	Float		BirdLife International and IUCN (2017), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.	E
56	2017	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NOTAP	MP	1	4.660976456	50.64104975	21	BEL	Belgium	0.98551369665885	Float		BirdLife International and IUCN (2017), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.	E
56	2017	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NOTAP	LB	2	4.660976456	50.64104975	21	BEL	Belgium	0.984220383680283	Float		BirdLife International and IUCN (2017), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.	E
56	2017	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NOTAP	UB	3	4.660976456	50.64104975	21	BEL	Belgium	0.987004286314626	Float		BirdLife International and IUCN (2017), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.	E
60	2017	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NOTAP	MP	1	-64.78155012	32.27881922	32	BMU	Bermuda	0.58652895605180	Float		BirdLife International and IUCN (2017), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.	E
60	2017	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NOTAP	LB	2	-64.78155012	32.27881922	32	BMU	Bermuda	0.507711447642445	Float		BirdLife International and IUCN (2017), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.	E
60	2017	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NOTAP	UB	3	-64.78155012	32.27881922	32	BMU	Bermuda	0.667318684370902	Float		BirdLife International and IUCN (2017), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.	E
64	2017	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NOTAP	MP	1	90.45098484	27.39598568	37	BTN	Bhutan	0.79939882460174	Float		BirdLife International and IUCN (2017), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.	E
64	2017	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NOTAP	LB	2	90.45098484	27.39598568	37	BTN	Bhutan	0.780930068239186	Float		BirdLife International and IUCN (2017), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.	E
64	2017	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NOTAP	UB	3	90.45098484	27.39598568	37	BTN	Bhutan	0.808253237518285	Float		BirdLife International and IUCN (2017), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.	E
68	2017	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NOTAP	MP	1	-64.66224284	-16.71273412	33	BOL	Bolivia (Plurinational State of)	0.87073874259961	Float		BirdLife International and IUCN (2017), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.	E
68	2017	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NOTAP	LB	2	-64.66224284	-16.71273412	33	BOL	Bolivia (Plurinational State of)	0.861992362094596	Float		BirdLife International and IUCN (2017), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.	E
68	2017	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NOTAP	UB	3	-64.66224284	-16.71273412	33	BOL	Bolivia (Plurinational State of)	0.876785262658913	Float		BirdLife International and IUCN (2017), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.	E
70	2017	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NOTAP	MP	1	17.78584332	44.16845548	28	BIH	Bosnia and Herzegovina	0.90357629511302	Float		BirdLife International and IUCN (2017), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.	E
70	2017	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NOTAP	LB	2	17.78584332	44.16845548	28	BIH	Bosnia and Herzegovina	0.901083436234706	Float		BirdLife International and IUCN (2017), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.	E
70	2017	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NOTAP	UB	3	17.78584332	44.16845548	28	BIH	Bosnia and Herzegovina	0.905011080765666	Float		BirdLife International and IUCN (2017), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.	E
72	2017	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NOTAP	MP	1	23.81380223	-22.18810073	39	BWA	Botswana	0.97963637115709	Float		BirdLife International and IUCN (2017), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.	E
72	2017	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NOTAP	LB	2	23.81380223	-22.18810073	39	BWA	Botswana	0.978056299565974	Float		BirdLife International and IUCN (2017), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.	E
72	2017	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NOTAP	UB	3	23.81380223	-22.18810073	39	BWA	Botswana	0.979990442138723	Float		BirdLife International and IUCN (2017), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.	E
74	2017	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NOTAP	MP	1	3.410732868	-54.43295905	38	BVT	Bouvet Island					
74	2017	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NOTAP	LB	2	3.410732868	-54.43295905	38	BVT	Bouvet Island					
74	2017	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NOTAP	UB	3	3.410732868	-54.43295905	38	BVT	Bouvet Island					
76	2017	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NOTAP	MP	1	-53.08432878	-10.77668561	34	BRA	Brazil	0.90211664404466	Float		BirdLife International and IUCN (2017), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.	E
76	2017	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NOTAP	LB	2	-53.08432878	-10.77668561	34	BRA	Brazil	0.885713063047902	Float		BirdLife International and IUCN (2017), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.	E
76	2017	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NOTAP	UB	3	-53.08432878	-10.77668561	34	BRA	Brazil	0.910013540527234	Float		BirdLife International and IUCN (2017), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.	E
84	2017	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NOTAP	MP	1	-88.70199554	17.19965901	31	BLZ	Belize	0.74288761102919	Float		BirdLife International and IUCN (2017), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.	E
84	2017	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NOTAP	LB	2	-88.70199554	17.19965901	31	BLZ	Belize	0.720173879850496	Float		BirdLife International and IUCN (2017), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.	E
