geoAreaCode	years	Age	Freq	Sex	Units	sliceId	X	Y	OBJECTID	ISO3CD	geoAreaName	series	seriesDescription	value	valueType	time_detail	source	Nature
16	2015	15+	ANNUAL	BOTHSEX	PERCENT	1	-170.7187269	-14.30587306	12	ASM	American Samoa							
16	2015	15+	ANNUAL	MALE	PERCENT	2	-170.7187269	-14.30587306	12	ASM	American Samoa							
16	2015	15+	ANNUAL	FEMALE	PERCENT	3	-170.7187269	-14.30587306	12	ASM	American Samoa							
20	2015	15+	ANNUAL	BOTHSEX	PERCENT	1	1.576257417	42.54548611	7	AND	Andorra	SH_PRV_SMOK	Prevalence of current tobacco use among persons aged 15 years and older	33.7	Float		World Health Organization (WHO) Department of the Prevention of Noncommunicable Diseases;  Secretariat of the WHO Framework Convention on Tobacco Control	E
20	2015	15+	ANNUAL	MALE	PERCENT	2	1.576257417	42.54548611	7	AND	Andorra	SH_PRV_SMOK	Prevalence of current tobacco use among persons aged 15 years and older	38.2	Float		World Health Organization (WHO) Department of the Prevention of Noncommunicable Diseases;  Secretariat of the WHO Framework Convention on Tobacco Control	E
20	2015	15+	ANNUAL	FEMALE	PERCENT	3	1.576257417	42.54548611	7	AND	Andorra	SH_PRV_SMOK	Prevalence of current tobacco use among persons aged 15 years and older	29.0	Float		World Health Organization (WHO) Department of the Prevention of Noncommunicable Diseases;  Secretariat of the WHO Framework Convention on Tobacco Control	E
24	2015	15+	ANNUAL	BOTHSEX	PERCENT	1	17.57817062	-12.33724746	3	AGO	Angola							
24	2015	15+	ANNUAL	MALE	PERCENT	2	17.57817062	-12.33724746	3	AGO	Angola							
24	2015	15+	ANNUAL	FEMALE	PERCENT	3	17.57817062	-12.33724746	3	AGO	Angola							
28	2015	15+	ANNUAL	BOTHSEX	PERCENT	1	-61.7999755	17.07761471	15	ATG	Antigua and Barbuda							
28	2015	15+	ANNUAL	MALE	PERCENT	2	-61.7999755	17.07761471	15	ATG	Antigua and Barbuda							
28	2015	15+	ANNUAL	FEMALE	PERCENT	3	-61.7999755	17.07761471	15	ATG	Antigua and Barbuda							
31	2015	15+	ANNUAL	BOTHSEX	PERCENT	1	50.01064725	40.39229544	19	AZE	Azerbaijan	SH_PRV_SMOK	Prevalence of current tobacco use among persons aged 15 years and older	21.3	Float		World Health Organization (WHO) Department of the Prevention of Noncommunicable Diseases;  Secretariat of the WHO Framework Convention on Tobacco Control	E
31	2015	15+	ANNUAL	MALE	PERCENT	2	50.01064725	40.39229544	19	AZE	Azerbaijan	SH_PRV_SMOK	Prevalence of current tobacco use among persons aged 15 years and older	43.5	Float		World Health Organization (WHO) Department of the Prevention of Noncommunicable Diseases;  Secretariat of the WHO Framework Convention on Tobacco Control	E
31	2015	15+	ANNUAL	FEMALE	PERCENT	3	50.01064725	40.39229544	19	AZE	Azerbaijan	SH_PRV_SMOK	Prevalence of current tobacco use among persons aged 15 years and older	0.3	Float		World Health Organization (WHO) Department of the Prevention of Noncommunicable Diseases;  Secretariat of the WHO Framework Convention on Tobacco Control	E
32	2015	15+	ANNUAL	BOTHSEX	PERCENT	1	-65.14563274	-35.19446255	10	ARG	Argentina	SH_PRV_SMOK	Prevalence of current tobacco use among persons aged 15 years and older	22.5	Float		World Health Organization (WHO) Department of the Prevention of Noncommunicable Diseases;  Secretariat of the WHO Framework Convention on Tobacco Control	E
32	2015	15+	ANNUAL	MALE	PERCENT	2	-65.14563274	-35.19446255	10	ARG	Argentina	SH_PRV_SMOK	Prevalence of current tobacco use among persons aged 15 years and older	28.4	Float		World Health Organization (WHO) Department of the Prevention of Noncommunicable Diseases;  Secretariat of the WHO Framework Convention on Tobacco Control	E
32	2015	15+	ANNUAL	FEMALE	PERCENT	3	-65.14563274	-35.19446255	10	ARG	Argentina	SH_PRV_SMOK	Prevalence of current tobacco use among persons aged 15 years and older	17.0	Float		World Health Organization (WHO) Department of the Prevention of Noncommunicable Diseases;  Secretariat of the WHO Framework Convention on Tobacco Control	E
36	2015	15+	ANNUAL	BOTHSEX	PERCENT	1	134.3499412	-25.57717202	17	AUS	Australia	SH_PRV_SMOK	Prevalence of current tobacco use among persons aged 15 years and older	15.2	Float		World Health Organization (WHO) Department of the Prevention of Noncommunicable Diseases;  Secretariat of the WHO Framework Convention on Tobacco Control	E
36	2015	15+	ANNUAL	MALE	PERCENT	2	134.3499412	-25.57717202	17	AUS	Australia	SH_PRV_SMOK	Prevalence of current tobacco use among persons aged 15 years and older	17.0	Float		World Health Organization (WHO) Department of the Prevention of Noncommunicable Diseases;  Secretariat of the WHO Framework Convention on Tobacco Control	E
36	2015	15+	ANNUAL	FEMALE	PERCENT	3	134.3499412	-25.57717202	17	AUS	Australia	SH_PRV_SMOK	Prevalence of current tobacco use among persons aged 15 years and older	13.5	Float		World Health Organization (WHO) Department of the Prevention of Noncommunicable Diseases;  Secretariat of the WHO Framework Convention on Tobacco Control	E
40	2015	15+	ANNUAL	BOTHSEX	PERCENT	1	14.14172472	47.58704857	18	AUT	Austria	SH_PRV_SMOK	Prevalence of current tobacco use among persons aged 15 years and older	30.5	Float		World Health Organization (WHO) Department of the Prevention of Noncommunicable Diseases;  Secretariat of the WHO Framework Convention on Tobacco Control	E
40	2015	15+	ANNUAL	MALE	PERCENT	2	14.14172472	47.58704857	18	AUT	Austria	SH_PRV_SMOK	Prevalence of current tobacco use among persons aged 15 years and older	32.2	Float		World Health Organization (WHO) Department of the Prevention of Noncommunicable Diseases;  Secretariat of the WHO Framework Convention on Tobacco Control	E
40	2015	15+	ANNUAL	FEMALE	PERCENT	3	14.14172472	47.58704857	18	AUT	Austria	SH_PRV_SMOK	Prevalence of current tobacco use among persons aged 15 years and older	29.0	Float		World Health Organization (WHO) Department of the Prevention of Noncommunicable Diseases;  Secretariat of the WHO Framework Convention on Tobacco Control	E
44	2015	15+	ANNUAL	BOTHSEX	PERCENT	1	-78.05111663	24.69546597	27	BHS	Bahamas	SH_PRV_SMOK	Prevalence of current tobacco use among persons aged 15 years and older	11.3	Float		World Health Organization (WHO) Department of the Prevention of Noncommunicable Diseases;  Secretariat of the WHO Framework Convention on Tobacco Control	E
44	2015	15+	ANNUAL	MALE	PERCENT	2	-78.05111663	24.69546597	27	BHS	Bahamas	SH_PRV_SMOK	Prevalence of current tobacco use among persons aged 15 years and older	20.1	Float		World Health Organization (WHO) Department of the Prevention of Noncommunicable Diseases;  Secretariat of the WHO Framework Convention on Tobacco Control	E
44	2015	15+	ANNUAL	FEMALE	PERCENT	3	-78.05111663	24.69546597	27	BHS	Bahamas	SH_PRV_SMOK	Prevalence of current tobacco use among persons aged 15 years and older	3.2	Float		World Health Organization (WHO) Department of the Prevention of Noncommunicable Diseases;  Secretariat of the WHO Framework Convention on Tobacco Control	E
48	2015	15+	ANNUAL	BOTHSEX	PERCENT	1	50.5490754	26.04407747	26	BHR	Bahrain	SH_PRV_SMOK	Prevalence of current tobacco use among persons aged 15 years and older	26.1	Float		World Health Organization (WHO) Department of the Prevention of Noncommunicable Diseases;  Secretariat of the WHO Framework Convention on Tobacco Control	E
48	2015	15+	ANNUAL	MALE	PERCENT	2	50.5490754	26.04407747	26	BHR	Bahrain	SH_PRV_SMOK	Prevalence of current tobacco use among persons aged 15 years and older	36.9	Float		World Health Organization (WHO) Department of the Prevention of Noncommunicable Diseases;  Secretariat of the WHO Framework Convention on Tobacco Control	E
48	2015	15+	ANNUAL	FEMALE	PERCENT	3	50.5490754	26.04407747	26	BHR	Bahrain	SH_PRV_SMOK	Prevalence of current tobacco use among persons aged 15 years and older	5.9	Float		World Health Organization (WHO) Department of the Prevention of Noncommunicable Diseases;  Secretariat of the WHO Framework Convention on Tobacco Control	E
50	2015	15+	ANNUAL	BOTHSEX	PERCENT	1	89.17660788	22.86961622	24	BGD	Bangladesh	SH_PRV_SMOK	Prevalence of current tobacco use among persons aged 15 years and older	23.2	Float		World Health Organization (WHO) Department of the Prevention of Noncommunicable Diseases;  Secretariat of the WHO Framework Convention on Tobacco Control	E
50	2015	15+	ANNUAL	MALE	PERCENT	2	89.17660788	22.86961622	24	BGD	Bangladesh	SH_PRV_SMOK	Prevalence of current tobacco use among persons aged 15 years and older	45.1	Float		World Health Organization (WHO) Department of the Prevention of Noncommunicable Diseases;  Secretariat of the WHO Framework Convention on Tobacco Control	E
50	2015	15+	ANNUAL	FEMALE	PERCENT	3	89.17660788	22.86961622	24	BGD	Bangladesh	SH_PRV_SMOK	Prevalence of current tobacco use among persons aged 15 years and older	1.1	Float		World Health Organization (WHO) Department of the Prevention of Noncommunicable Diseases;  Secretariat of the WHO Framework Convention on Tobacco Control	E
51	2015	15+	ANNUAL	BOTHSEX	PERCENT	1	44.93839317	40.29499741	11	ARM	Armenia	SH_PRV_SMOK	Prevalence of current tobacco use among persons aged 15 years and older	24.6	Float		World Health Organization (WHO) Department of the Prevention of Noncommunicable Diseases;  Secretariat of the WHO Framework Convention on Tobacco Control	E
51	2015	15+	ANNUAL	MALE	PERCENT	2	44.93839317	40.29499741	11	ARM	Armenia	SH_PRV_SMOK	Prevalence of current tobacco use among persons aged 15 years and older	52.5	Float		World Health Organization (WHO) Department of the Prevention of Noncommunicable Diseases;  Secretariat of the WHO Framework Convention on Tobacco Control	E
51	2015	15+	ANNUAL	FEMALE	PERCENT	3	44.93839317	40.29499741	11	ARM	Armenia	SH_PRV_SMOK	Prevalence of current tobacco use among persons aged 15 years and older	1.5	Float		World Health Organization (WHO) Department of the Prevention of Noncommunicable Diseases;  Secretariat of the WHO Framework Convention on Tobacco Control	E
52	2015	15+	ANNUAL	BOTHSEX	PERCENT	1	-59.5346489	13.13648273	35	BRB	Barbados	SH_PRV_SMOK	Prevalence of current tobacco use among persons aged 15 years and older	7.9	Float		World Health Organization (WHO) Department of the Prevention of Noncommunicable Diseases;  Secretariat of the WHO Framework Convention on Tobacco Control	E
52	2015	15+	ANNUAL	MALE	PERCENT	2	-59.5346489	13.13648273	35	BRB	Barbados	SH_PRV_SMOK	Prevalence of current tobacco use among persons aged 15 years and older	14.4	Float		World Health Organization (WHO) Department of the Prevention of Noncommunicable Diseases;  Secretariat of the WHO Framework Convention on Tobacco Control	E
52	2015	15+	ANNUAL	FEMALE	PERCENT	3	-59.5346489	13.13648273	35	BRB	Barbados	SH_PRV_SMOK	Prevalence of current tobacco use among persons aged 15 years and older	2.0	Float		World Health Organization (WHO) Department of the Prevention of Noncommunicable Diseases;  Secretariat of the WHO Framework Convention on Tobacco Control	E
56	2015	15+	ANNUAL	BOTHSEX	PERCENT	1	4.660976456	50.64104975	21	BEL	Belgium	SH_PRV_SMOK	Prevalence of current tobacco use among persons aged 15 years and older	28.6	Float		World Health Organization (WHO) Department of the Prevention of Noncommunicable Diseases;  Secretariat of the WHO Framework Convention on Tobacco Control	E
56	2015	15+	ANNUAL	MALE	PERCENT	2	4.660976456	50.64104975	21	BEL	Belgium	SH_PRV_SMOK	Prevalence of current tobacco use among persons aged 15 years and older	32.0	Float		World Health Organization (WHO) Department of the Prevention of Noncommunicable Diseases;  Secretariat of the WHO Framework Convention on Tobacco Control	E
56	2015	15+	ANNUAL	FEMALE	PERCENT	3	4.660976456	50.64104975	21	BEL	Belgium	SH_PRV_SMOK	Prevalence of current tobacco use among persons aged 15 years and older	25.4	Float		World Health Organization (WHO) Department of the Prevention of Noncommunicable Diseases;  Secretariat of the WHO Framework Convention on Tobacco Control	E
60	2015	15+	ANNUAL	BOTHSEX	PERCENT	1	-64.78155012	32.27881922	32	BMU	Bermuda							
60	2015	15+	ANNUAL	MALE	PERCENT	2	-64.78155012	32.27881922	32	BMU	Bermuda							
60	2015	15+	ANNUAL	FEMALE	PERCENT	3	-64.78155012	32.27881922	32	BMU	Bermuda							
64	2015	15+	ANNUAL	BOTHSEX	PERCENT	1	90.45098484	27.39598568	37	BTN	Bhutan							
64	2015	15+	ANNUAL	MALE	PERCENT	2	90.45098484	27.39598568	37	BTN	Bhutan							
64	2015	15+	ANNUAL	FEMALE	PERCENT	3	90.45098484	27.39598568	37	BTN	Bhutan							
68	2015	15+	ANNUAL	BOTHSEX	PERCENT	1	-64.66224284	-16.71273412	33	BOL	Bolivia (Plurinational State of)							
68	2015	15+	ANNUAL	MALE	PERCENT	2	-64.66224284	-16.71273412	33	BOL	Bolivia (Plurinational State of)							
68	2015	15+	ANNUAL	FEMALE	PERCENT	3	-64.66224284	-16.71273412	33	BOL	Bolivia (Plurinational State of)							
70	2015	15+	ANNUAL	BOTHSEX	PERCENT	1	17.78584332	44.16845548	28	BIH	Bosnia and Herzegovina	SH_PRV_SMOK	Prevalence of current tobacco use among persons aged 15 years and older	39.3	Float		World Health Organization (WHO) Department of the Prevention of Noncommunicable Diseases;  Secretariat of the WHO Framework Convention on Tobacco Control	E
70	2015	15+	ANNUAL	MALE	PERCENT	2	17.78584332	44.16845548	28	BIH	Bosnia and Herzegovina	SH_PRV_SMOK	Prevalence of current tobacco use among persons aged 15 years and older	48.4	Float		World Health Organization (WHO) Department of the Prevention of Noncommunicable Diseases;  Secretariat of the WHO Framework Convention on Tobacco Control	E
70	2015	15+	ANNUAL	FEMALE	PERCENT	3	17.78584332	44.16845548	28	BIH	Bosnia and Herzegovina	SH_PRV_SMOK	Prevalence of current tobacco use among persons aged 15 years and older	30.5	Float		World Health Organization (WHO) Department of the Prevention of Noncommunicable Diseases;  Secretariat of the WHO Framework Convention on Tobacco Control	E
72	2015	15+	ANNUAL	BOTHSEX	PERCENT	1	23.81380223	-22.18810073	39	BWA	Botswana	SH_PRV_SMOK	Prevalence of current tobacco use among persons aged 15 years and older	19.8	Float		World Health Organization (WHO) Department of the Prevention of Noncommunicable Diseases;  Secretariat of the WHO Framework Convention on Tobacco Control	E
72	2015	15+	ANNUAL	MALE	PERCENT	2	23.81380223	-22.18810073	39	BWA	Botswana	SH_PRV_SMOK	Prevalence of current tobacco use among persons aged 15 years and older	33.8	Float		World Health Organization (WHO) Department of the Prevention of Noncommunicable Diseases;  Secretariat of the WHO Framework Convention on Tobacco Control	E
72	2015	15+	ANNUAL	FEMALE	PERCENT	3	23.81380223	-22.18810073	39	BWA	Botswana	SH_PRV_SMOK	Prevalence of current tobacco use among persons aged 15 years and older	5.8	Float		World Health Organization (WHO) Department of the Prevention of Noncommunicable Diseases;  Secretariat of the WHO Framework Convention on Tobacco Control	E
74	2015	15+	ANNUAL	BOTHSEX	PERCENT	1	3.410732868	-54.43295905	38	BVT	Bouvet Island							
74	2015	15+	ANNUAL	MALE	PERCENT	2	3.410732868	-54.43295905	38	BVT	Bouvet Island							
74	2015	15+	ANNUAL	FEMALE	PERCENT	3	3.410732868	-54.43295905	38	BVT	Bouvet Island							
76	2015	15+	ANNUAL	BOTHSEX	PERCENT	1	-53.08432878	-10.77668561	34	BRA	Brazil	SH_PRV_SMOK	Prevalence of current tobacco use among persons aged 15 years and older	14.3	Float		World Health Organization (WHO) Department of the Prevention of Noncommunicable Diseases;  Secretariat of the WHO Framework Convention on Tobacco Control	E
76	2015	15+	ANNUAL	MALE	PERCENT	2	-53.08432878	-10.77668561	34	BRA	Brazil	SH_PRV_SMOK	Prevalence of current tobacco use among persons aged 15 years and older	18.4	Float		World Health Organization (WHO) Department of the Prevention of Noncommunicable Diseases;  Secretariat of the WHO Framework Convention on Tobacco Control	E
76	2015	15+	ANNUAL	FEMALE	PERCENT	3	-53.08432878	-10.77668561	34	BRA	Brazil	SH_PRV_SMOK	Prevalence of current tobacco use among persons aged 15 years and older	10.5	Float		World Health Organization (WHO) Department of the Prevention of Noncommunicable Diseases;  Secretariat of the WHO Framework Convention on Tobacco Control	E
84	2015	15+	ANNUAL	BOTHSEX	PERCENT	1	-88.70199554	17.19965901	31	BLZ	Belize							
84	2015	15+	ANNUAL	MALE	PERCENT	2	-88.70199554	17.19965901	31	BLZ	Belize							
84	2015	15+	ANNUAL	FEMALE	PERCENT	3	-88.70199554	17.19965901	31	BLZ	Belize							
86	2015	15+	ANNUAL	BOTHSEX	PERCENT	1	72.38715553	-7.299281071	107	IOT	British Indian Ocean Territory							
86	2015	15+	ANNUAL	MALE	PERCENT	2	72.38715553	-7.299281071	107	IOT	British Indian Ocean Territory							
86	2015	15+	ANNUAL	FEMALE	PERCENT	3	72.38715553	-7.299281071	107	IOT	British Indian Ocean Territory							
90	2015	15+	ANNUAL	BOTHSEX	PERCENT	1	160.1584117	-9.622391719	204	SLB	Solomon Islands							
90	2015	15+	ANNUAL	MALE	PERCENT	2	160.1584117	-9.622391719	204	SLB	Solomon Islands							
90	2015	15+	ANNUAL	FEMALE	PERCENT	3	160.1584117	-9.622391719	204	SLB	Solomon Islands							
92	2015	15+	ANNUAL	BOTHSEX	PERCENT	1	-64.63294223	18.42256578	254	VGB	British Virgin Islands							
92	2015	15+	ANNUAL	MALE	PERCENT	2	-64.63294223	18.42256578	254	VGB	British Virgin Islands							
92	2015	15+	ANNUAL	FEMALE	PERCENT	3	-64.63294223	18.42256578	254	VGB	British Virgin Islands							
96	2015	15+	ANNUAL	BOTHSEX	PERCENT	1	114.6288563	4.49736984	36	BRN	Brunei Darussalam	SH_PRV_SMOK	Prevalence of current tobacco use among persons aged 15 years and older	16.9	Float		World Health Organization (WHO) Department of the Prevention of Noncommunicable Diseases;  Secretariat of the WHO Framework Convention on Tobacco Control	E
96	2015	15+	ANNUAL	MALE	PERCENT	2	114.6288563	4.49736984	36	BRN	Brunei Darussalam	SH_PRV_SMOK	Prevalence of current tobacco use among persons aged 15 years and older	30.9	Float		World Health Organization (WHO) Department of the Prevention of Noncommunicable Diseases;  Secretariat of the WHO Framework Convention on Tobacco Control	E
96	2015	15+	ANNUAL	FEMALE	PERCENT	3	114.6288563	4.49736984	36	BRN	Brunei Darussalam	SH_PRV_SMOK	Prevalence of current tobacco use among persons aged 15 years and older	2.1	Float		World Health Organization (WHO) Department of the Prevention of Noncommunicable Diseases;  Secretariat of the WHO Framework Convention on Tobacco Control	E
100	2015	15+	ANNUAL	BOTHSEX	PERCENT	1	25.23763153	42.75731323	25	BGR	Bulgaria	SH_PRV_SMOK	Prevalence of current tobacco use among persons aged 15 years and older	37.7	Float		World Health Organization (WHO) Department of the Prevention of Noncommunicable Diseases;  Secretariat of the WHO Framework Convention on Tobacco Control	E
100	2015	15+	ANNUAL	MALE	PERCENT	2	25.23763153	42.75731323	25	BGR	Bulgaria	SH_PRV_SMOK	Prevalence of current tobacco use among persons aged 15 years and older	45.4	Float		World Health Organization (WHO) Department of the Prevention of Noncommunicable Diseases;  Secretariat of the WHO Framework Convention on Tobacco Control	E
100	2015	15+	ANNUAL	FEMALE	PERCENT	3	25.23763153	42.75731323	25	BGR	Bulgaria	SH_PRV_SMOK	Prevalence of current tobacco use among persons aged 15 years and older	30.6	Float		World Health Organization (WHO) Department of the Prevention of Noncommunicable Diseases;  Secretariat of the WHO Framework Convention on Tobacco Control	E
104	2015	15+	ANNUAL	BOTHSEX	PERCENT	1	96.51752295	21.19332882	149	MMR	Myanmar	SH_PRV_SMOK	Prevalence of current tobacco use among persons aged 15 years and older	20.8	Float		World Health Organization (WHO) Department of the Prevention of Noncommunicable Diseases;  Secretariat of the WHO Framework Convention on Tobacco Control	E
104	2015	15+	ANNUAL	MALE	PERCENT	2	96.51752295	21.19332882	149	MMR	Myanmar	SH_PRV_SMOK	Prevalence of current tobacco use among persons aged 15 years and older	36.1	Float		World Health Organization (WHO) Department of the Prevention of Noncommunicable Diseases;  Secretariat of the WHO Framework Convention on Tobacco Control	E
104	2015	15+	ANNUAL	FEMALE	PERCENT	3	96.51752295	21.19332882	149	MMR	Myanmar	SH_PRV_SMOK	Prevalence of current tobacco use among persons aged 15 years and older	6.6	Float		World Health Organization (WHO) Department of the Prevention of Noncommunicable Diseases;  Secretariat of the WHO Framework Convention on Tobacco Control	E
108	2015	15+	ANNUAL	BOTHSEX	PERCENT	1	29.89080992	-3.366387428	20	BDI	Burundi							
108	2015	15+	ANNUAL	MALE	PERCENT	2	29.89080992	-3.366387428	20	BDI	Burundi							
108	2015	15+	ANNUAL	FEMALE	PERCENT	3	29.89080992	-3.366387428	20	BDI	Burundi							
112	2015	15+	ANNUAL	BOTHSEX	PERCENT	1	28.04940161	53.54193075	30	BLR	Belarus	SH_PRV_SMOK	Prevalence of current tobacco use among persons aged 15 years and older	27.2	Float		World Health Organization (WHO) Department of the Prevention of Noncommunicable Diseases;  Secretariat of the WHO Framework Convention on Tobacco Control	E
112	2015	15+	ANNUAL	MALE	PERCENT	2	28.04940161	53.54193075	30	BLR	Belarus	SH_PRV_SMOK	Prevalence of current tobacco use among persons aged 15 years and older	47.0	Float		World Health Organization (WHO) Department of the Prevention of Noncommunicable Diseases;  Secretariat of the WHO Framework Convention on Tobacco Control	E
112	2015	15+	ANNUAL	FEMALE	PERCENT	3	28.04940161	53.54193075	30	BLR	Belarus	SH_PRV_SMOK	Prevalence of current tobacco use among persons aged 15 years and older	10.6	Float		World Health Organization (WHO) Department of the Prevention of Noncommunicable Diseases;  Secretariat of the WHO Framework Convention on Tobacco Control	E
116	2015	15+	ANNUAL	BOTHSEX	PERCENT	1	104.922836	12.71163737	121	KHM	Cambodia	SH_PRV_SMOK	Prevalence of current tobacco use among persons aged 15 years and older	17.7	Float		World Health Organization (WHO) Department of the Prevention of Noncommunicable Diseases;  Secretariat of the WHO Framework Convention on Tobacco Control	E
116	2015	15+	ANNUAL	MALE	PERCENT	2	104.922836	12.71163737	121	KHM	Cambodia	SH_PRV_SMOK	Prevalence of current tobacco use among persons aged 15 years and older	34.7	Float		World Health Organization (WHO) Department of the Prevention of Noncommunicable Diseases;  Secretariat of the WHO Framework Convention on Tobacco Control	E
116	2015	15+	ANNUAL	FEMALE	PERCENT	3	104.922836	12.71163737	121	KHM	Cambodia	SH_PRV_SMOK	Prevalence of current tobacco use among persons aged 15 years and older	2.1	Float		World Health Organization (WHO) Department of the Prevention of Noncommunicable Diseases;  Secretariat of the WHO Framework Convention on Tobacco Control	E
120	2015	15+	ANNUAL	BOTHSEX	PERCENT	1	12.7419827	5.692387031	47	CMR	Cameroon							
120	2015	15+	ANNUAL	MALE	PERCENT	2	12.7419827	5.692387031	47	CMR	Cameroon							
120	2015	15+	ANNUAL	FEMALE	PERCENT	3	12.7419827	5.692387031	47	CMR	Cameroon							
124	2015	15+	ANNUAL	BOTHSEX	PERCENT	1	-101.6575058	57.72360191	41	CAN	Canada	SH_PRV_SMOK	Prevalence of current tobacco use among persons aged 15 years and older	15.0	Float		World Health Organization (WHO) Department of the Prevention of Noncommunicable Diseases;  Secretariat of the WHO Framework Convention on Tobacco Control	E
124	2015	15+	ANNUAL	MALE	PERCENT	2	-101.6575058	57.72360191	41	CAN	Canada	SH_PRV_SMOK	Prevalence of current tobacco use among persons aged 15 years and older	17.3	Float		World Health Organization (WHO) Department of the Prevention of Noncommunicable Diseases;  Secretariat of the WHO Framework Convention on Tobacco Control	E
124	2015	15+	ANNUAL	FEMALE	PERCENT	3	-101.6575058	57.72360191	41	CAN	Canada	SH_PRV_SMOK	Prevalence of current tobacco use among persons aged 15 years and older	12.7	Float		World Health Organization (WHO) Department of the Prevention of Noncommunicable Diseases;  Secretariat of the WHO Framework Convention on Tobacco Control	E
132	2015	15+	ANNUAL	BOTHSEX	PERCENT	1	-23.63544151	15.07791834	53	CPV	Cabo Verde	SH_PRV_SMOK	Prevalence of current tobacco use among persons aged 15 years and older	9.3	Float		World Health Organization (WHO) Department of the Prevention of Noncommunicable Diseases;  Secretariat of the WHO Framework Convention on Tobacco Control	E
132	2015	15+	ANNUAL	MALE	PERCENT	2	-23.63544151	15.07791834	53	CPV	Cabo Verde	SH_PRV_SMOK	Prevalence of current tobacco use among persons aged 15 years and older	16.7	Float		World Health Organization (WHO) Department of the Prevention of Noncommunicable Diseases;  Secretariat of the WHO Framework Convention on Tobacco Control	E
132	2015	15+	ANNUAL	FEMALE	PERCENT	3	-23.63544151	15.07791834	53	CPV	Cabo Verde	SH_PRV_SMOK	Prevalence of current tobacco use among persons aged 15 years and older	2.3	Float		World Health Organization (WHO) Department of the Prevention of Noncommunicable Diseases;  Secretariat of the WHO Framework Convention on Tobacco Control	E
136	2015	15+	ANNUAL	BOTHSEX	PERCENT	1	-81.16740559	19.32266656	58	CYM	Cayman Islands							
136	2015	15+	ANNUAL	MALE	PERCENT	2	-81.16740559	19.32266656	58	CYM	Cayman Islands							
136	2015	15+	ANNUAL	FEMALE	PERCENT	3	-81.16740559	19.32266656	58	CYM	Cayman Islands							
140	2015	15+	ANNUAL	BOTHSEX	PERCENT	1	20.93559492	7.003720791	40	CAF	Central African Republic							
140	2015	15+	ANNUAL	MALE	PERCENT	2	20.93559492	7.003720791	40	CAF	Central African Republic							
140	2015	15+	ANNUAL	FEMALE	PERCENT	3	20.93559492	7.003720791	40	CAF	Central African Republic							
144	2015	15+	ANNUAL	BOTHSEX	PERCENT	1	80.70489654	7.614693343	132	LKA	Sri Lanka	SH_PRV_SMOK	Prevalence of current tobacco use among persons aged 15 years and older	13.2	Float		World Health Organization (WHO) Department of the Prevention of Noncommunicable Diseases;  Secretariat of the WHO Framework Convention on Tobacco Control	E
