series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Freq	Location	Units	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2017.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity	12	2.678164227	28.15940032	DZA	Algeria	3	ANNUAL	URBAN	PERCENT									100	100	100	100	100	100	100	100	2014	100		M
2017.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity	16	-170.7187269	-14.30587306	ASM	American Samoa	1	ANNUAL	ALLAREA	PERCENT																				
2017.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity	16	-170.7187269	-14.30587306	ASM	American Samoa	2	ANNUAL	RURAL	PERCENT																				
2017.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity	16	-170.7187269	-14.30587306	ASM	American Samoa	3	ANNUAL	URBAN	PERCENT																				
2017.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity	20	1.576257417	42.54548611	AND	Andorra	1	ANNUAL	ALLAREA	PERCENT	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	2014	100		M
2017.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity	20	1.576257417	42.54548611	AND	Andorra	2	ANNUAL	RURAL	PERCENT	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	2014	100		M
2017.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity	20	1.576257417	42.54548611	AND	Andorra	3	ANNUAL	URBAN	PERCENT	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	2014	100		M
2017.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity	24	17.57817062	-12.33724746	AGO	Angola	1	ANNUAL	ALLAREA	PERCENT	41.78854	41.114727	40.43367	39.749268	39.065418	38.386024	37.714977	37.5	36.405998	35.765507	35.132019	34.6	33.879036	33.256046	32	33.7734202	2014	32		G
2017.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity	24	17.57817062	-12.33724746	AGO	Angola	2	ANNUAL	RURAL	PERCENT	13.334761	12.581457	11.823919	11.068214	10.32041	9.586571	8.872765	8.8	7.516459	6.868134	6.234723	5.5	4.997728	4.386689	3	4.823828	2014	3		G
2017.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity	24	17.57817062	-12.33724746	AGO	Angola	3	ANNUAL	URBAN	PERCENT								66.1	82.536691	80.400219	78.303197	82.5	74.259117	72.330576	51	71.678578	2014	51		G
2017.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	1	ANNUAL	ALLAREA	PERCENT	88.168037	88.739235	89.303192	89.8638	90.424957	90.990578	91.564537	92.149811	92.745583	93.350098	93.961617	94.552014	95.198654	95.820679	96.442986	95.19519	2014	96.442986		M
2017.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	2	ANNUAL	RURAL	PERCENT	100	99.999435	99.995232	99.981232	99.954231	99.921814	99.899689	99.899605	99.899605	99.921104	99.952728	99.979858	99.994637	99.999336	100	99.9853118	2014	100		M
2017.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	3	ANNUAL	URBAN	PERCENT			100	100	100	100	100	100	100	100	100	100	80.913324	83.042561	85.295711	89.8503192	2014	85.295711		M
2017.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity	31	50.01064725	40.39229544	AZE	Azerbaijan	1	ANNUAL	ALLAREA	PERCENT	98.015564	98.369934	100	99.05928	99.388336	99.672905	99.5	99.96701	99.996063	100	100	100	100	100	100	100	2014	100		M
2017.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity	31	50.01064725	40.39229544	AZE	Azerbaijan	2	ANNUAL	RURAL	PERCENT	95.957672	96.451492	96.941071	97.432487	97.931808	98.457932	99	99.437538	99.771225	99.940552	99.992752	100	100	100	100	99.9985504	2014	100		M
2017.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity	31	50.01064725	40.39229544	AZE	Azerbaijan	3	ANNUAL	URBAN	PERCENT	99.962443	100	100	100	100	100	99.8	100	100	100	100	100	100	100	100	100	2014	100		M
2017.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity	32	-65.14563274	-35.19446255	ARG	Argentina	1	ANNUAL	ALLAREA	PERCENT	95.095558	95.511063	95.817009	96.170761	96.52507	96.883827	97.250938	97.629356	98.024818	98.421188	98.82	99.220192	99.573059	99.831543	100	99.4889588	2014	100		M
2017.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity	32	-65.14563274	-35.19446255	ARG	Argentina	2	ANNUAL	RURAL	PERCENT																				
2017.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity	32	-65.14563274	-35.19446255	ARG	Argentina	3	ANNUAL	URBAN	PERCENT																				
2017.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity	36	134.3499412	-25.57717202	AUS	Australia	1	ANNUAL	ALLAREA	PERCENT	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	2014	100		M
2017.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity	36	134.3499412	-25.57717202	AUS	Australia	2	ANNUAL	RURAL	PERCENT	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	2014	100		M
2017.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity	36	134.3499412	-25.57717202	AUS	Australia	3	ANNUAL	URBAN	PERCENT	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	2014	100		M
2017.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity	40	14.14172472	47.58704857	AUT	Austria	1	ANNUAL	ALLAREA	PERCENT	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	2014	100		M
2017.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity	40	14.14172472	47.58704857	AUT	Austria	2	ANNUAL	RURAL	PERCENT	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	2014	100		M
2017.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity	40	14.14172472	47.58704857	AUT	Austria	3	ANNUAL	URBAN	PERCENT	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	2014	100		M
2017.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity	44	-78.05111663	24.69546597	BHS	Bahamas	1	ANNUAL	ALLAREA	PERCENT	95.583046	96.065547	96.499977	96.951477	97.403526	97.860031	98.332748	98.80426	99.255096	99.626709	99.863663	99.968536	99.996613	100	100	99.9657624	2014	100		M
2017.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity	44	-78.05111663	24.69546597	BHS	Bahamas	2	ANNUAL	RURAL	PERCENT	99.994255	99.977753	99.945419	99.90239	99.861374	99.835419	99.833221	99.833221	99.856476	99.898018	99.943275	99.97728	99.994278	99.999329	100	99.9828324	2014	100		M
2017.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity	44	-78.05111663	24.69546597	BHS	Bahamas	3	ANNUAL	URBAN	PERCENT	100	96.065547	95.749695	96.311251	96.872238	97.434606	98.010797	98.584299	99.127018	99.569139	99.846833	99.966695	99.997102	100	100	99.962126	2014	100		M
2017.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity	48	50.5490754	26.04407747	BHR	Bahrain	1	ANNUAL	ALLAREA	PERCENT		100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	2014	100		M
2017.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity	48	50.5490754	26.04407747	BHR	Bahrain	2	ANNUAL	RURAL	PERCENT		100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	2014	100		M
2017.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity	48	50.5490754	26.04407747	BHR	Bahrain	3	ANNUAL	URBAN	PERCENT		100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	2014	100		M
2017.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity	50	89.17660788	22.86961622	BGD	Bangladesh	1	ANNUAL	ALLAREA	PERCENT	32	33.786213	36.098682	38.40781	40.6	44.23	45.354099	46.5	50.032177	52.385216	55.26	59.6	59.479324	61.5	62.4	59.6478648	2014	62.4		G
2017.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity	50	89.17660788	22.86961622	BGD	Bangladesh	2	ANNUAL	RURAL	PERCENT	20.5	24.163963	26.334494	28.506859	30.4	31.19	35.095615	36.6	39.595448	41.875191	42.49	49.3	48.78899	54.2	51.4	49.235798	2014	51.4		G
2017.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity	50	89.17660788	22.86961622	BGD	Bangladesh	3	ANNUAL	URBAN	PERCENT	81.2	64.096939	65.776199	67.442529	76.6	82.61	72.376147	82.1	75.623926	77.25176	90.1	90.2	82.206728	88	90.7	88.2413456	2014	90.7		G
2017.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity	51	44.93839317	40.29499741	ARM	Armenia	1	ANNUAL	ALLAREA	PERCENT	98.9	100	98	99.215355	99.307304	99.8	99.507156	99.619987	99.739517	99.85289	99.8	99.983543	99.99794	100	100	99.9562966	2014	100		M
2017.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity	51	44.93839317	40.29499741	ARM	Armenia	2	ANNUAL	RURAL	PERCENT	98.6	98.778305	98.887268	98.998062	99.11673	99.7	99.399811	99.568558	99.739304	99.878754	99.8	99.992699	99.999435	100	100	99.9584268	2014	100		M
2017.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity	51	44.93839317	40.29499741	ARM	Armenia	3	ANNUAL	URBAN	PERCENT	99.1	100	97.507015	99.336261	99.413496	99.9	99.567146	99.64877	99.739637	99.838208	99.7	99.978252	99.997068	100	100	99.935064	2014	100		M
2017.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity	52	-59.5346489	13.13648273	BRB	Barbados	1	ANNUAL	ALLAREA	PERCENT	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	2014	100		M
2017.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity	52	-59.5346489	13.13648273	BRB	Barbados	2	ANNUAL	RURAL	PERCENT	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	2014	100		M
2017.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity	52	-59.5346489	13.13648273	BRB	Barbados	3	ANNUAL	URBAN	PERCENT	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	2014	100		M
2017.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity	56	4.660976456	50.64104975	BEL	Belgium	1	ANNUAL	ALLAREA	PERCENT	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	2014	100		M
2017.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity	56	4.660976456	50.64104975	BEL	Belgium	2	ANNUAL	RURAL	PERCENT	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	2014	100		M
2017.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity	56	4.660976456	50.64104975	BEL	Belgium	3	ANNUAL	URBAN	PERCENT	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	2014	100		M
2017.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity	60	-64.78155012	32.27881922	BMU	Bermuda	1	ANNUAL	ALLAREA	PERCENT	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	2014	100		M
2017.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity	60	-64.78155012	32.27881922	BMU	Bermuda	2	ANNUAL	RURAL	PERCENT	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	2014	100		M
2017.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity	60	-64.78155012	32.27881922	BMU	Bermuda	3	ANNUAL	URBAN	PERCENT	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	2014	100		M
2017.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity	64	90.45098484	27.39598568	BTN	Bhutan	1	ANNUAL	ALLAREA	PERCENT	32.049957	37.080318	42.103436	41.1	52.143532	59.808112	62.201435	71.8	72.300804	77.364487	82.435165	87.511101	91.5	97.671715	100	91.8235962	2014	100		M
2017.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity	64	90.45098484	27.39598568	BTN	Bhutan	2	ANNUAL	RURAL	PERCENT	21.430218	26.684649	31.934847	37.186878	42.446808	43.677965	53.014633	60.3	63.673798	69.033211	74.407532	79.793045	87.3	90.582703	95.980019	85.6126598	2014	95.980019		M
2017.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity	64	90.45098484	27.39598568	BTN	Bhutan	3	ANNUAL	URBAN	PERCENT					74.94798	96.776383	81.984069	98.73	89.630597	93.529757	97.480103	100	99.6	100	100	99.4160206	2014	100		M
2017.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity	68	-64.66224284	-16.71273412	BOL	Bolivia (Plurinational State of)	1	ANNUAL	ALLAREA	PERCENT	69.963045	69.258539	63.996855	72.3	75.693451	68.288209	76.211281	80.156567	84.674991	86.765597	84.491974	88.335943	90.387375	89.505686	90.038729	88.5519414	2014	90.038729		G
2017.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity	68	-64.66224284	-16.71273412	BOL	Bolivia (Plurinational State of)	2	ANNUAL	RURAL	PERCENT	24.932479	28.396318	22.961077	35.7	41.312519	28.89604	44.017947	46.562379	56.135089	63.500866	58.883648	66.622957	72.458314	69.338595	71.474067	67.7555162	2014	71.474067		G
2017.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity	68	-64.66224284	-16.71273412	BOL	Bolivia (Plurinational State of)	3	ANNUAL	URBAN	PERCENT	95.81211	94.211133	88.579206	94	95.258625	89.920884	95.170734	98.195281	99.227943	98.874112	97.435311	99.079263	99.232931	99.520076	99.310844	98.915685	2014	99.310844		G
2017.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity	70	17.78584332	44.16845548	BIH	Bosnia and Herzegovina	1	ANNUAL	ALLAREA	PERCENT	98.637428	99.4	98.5	99.134598	99.296227	99.462067	99.631882	99.7	99.912155	99.97641	99.99704	100	100	100	100	99.999408	2014	100		M
2017.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity	70	17.78584332	44.16845548	BIH	Bosnia and Herzegovina	2	ANNUAL	RURAL	PERCENT	96.759041	97.217812	97.7	98.134636	98.60199	99.067276	99.486633	99.790039	99.945122	99.993271	100	100	100	100	100	100	2014	100		M
2017.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity	70	17.78584332	44.16845548	BIH	Bosnia and Herzegovina	3	ANNUAL	URBAN	PERCENT	100	100	99.3	100	100	100	99.857345	99.560113	99.86094	99.95024	99.992453	100	100	100	100	99.9984906	2014	100		M
2017.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity	72	23.81380223	-22.18810073	BWA	Botswana	1	ANNUAL	ALLAREA	PERCENT	27.210289	24.8	31.345022	33.405418	35.466373	37.531776	39.60553	41.69059	43.1	45.890465	48.001774	53.24	52.238392	54.360203	56.482304	52.8645346	2014	56.482304		M
2017.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity	72	23.81380223	-22.18810073	BWA	Botswana	2	ANNUAL	RURAL	PERCENT	14.903656	8.1	17.989752	19.532516	21.083181	22.647812	24.232475	25.841604	42.9	29.123251	30.788309	23.87	34.148254	35.835682	37.523731	32.4331952	2014	37.523731		M
2017.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity	72	23.81380223	-22.18810073	BWA	Botswana	3	ANNUAL	URBAN	PERCENT	38.028165	37	42.551621	44.937502	47.310251	49.673705	52.028829	54.378284	57.1	59.062566	61.398181	69.13	66.053815	68.370237	70.675633	67.1255732	2014	70.675633		M
2017.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity	74	3.410732868	-54.43295905	BVT	Bouvet Island	1	ANNUAL	ALLAREA	PERCENT																				
2017.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity	74	3.410732868	-54.43295905	BVT	Bouvet Island	2	ANNUAL	RURAL	PERCENT																				
2017.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity	74	3.410732868	-54.43295905	BVT	Bouvet Island	3	ANNUAL	URBAN	PERCENT																				
2017.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity	76	-53.08432878	-10.77668561	BRA	Brazil	1	ANNUAL	ALLAREA	PERCENT	94.45697	96.016528	96.652996	96.980098	96.765107	97.093513	97.594314	98.125382	98.526625	98.856938	99.160065	99.328691	99.519494	99.575151	99.650247	99.4467296	2014	99.650247		G
2017.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity	76	-53.08432878	-10.77668561	BRA	Brazil	2	ANNUAL	RURAL	PERCENT	74.322433	77.62953	80.181746	81.921384	81.507163	83.469462	86.071277	89.070615	91.398435	93.332725	93.638123	95.784948	97.022847	97.294009	97.839087	96.3158028	2014	97.839087		G
2017.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity	76	-53.08432878	-10.77668561	BRA	Brazil	3	ANNUAL	URBAN	PERCENT	99.121104	99.215119	99.426994	99.504184	99.585301	99.634816	99.708742	99.781449	99.821747	99.85168	100	99.898571	99.927418	99.935013	99.945554	99.9413112	2014	99.945554		G
2017.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity	84	-88.70199554	17.19965901	BLZ	Belize	1	ANNUAL	ALLAREA	PERCENT	84.085945	84.663597	85.234009	85.801071	86.368683	86.94075	87.521164	88.112892	88.715118	89.326096	89.917224	90.567291	91.194016	91.822487	92.451248	91.1904532	2014	92.451248		M
2017.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity	84	-88.70199554	17.19965901	BLZ	Belize	2	ANNUAL	RURAL	PERCENT	77.426437	77.942551	78.45443	78.96814	79.489754	80.02533	80.58094	81.161018	81.763466	82.384552	83.039921	83.667747	84.322395	84.980774	85.639771	84.3301216	2014	85.639771		M
2017.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity	84	-88.70199554	17.19965901	BLZ	Belize	3	ANNUAL	URBAN	PERCENT											96.999643	99.096706	99.765642	100	100	99.1723982	2014	100		M
2017.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity	86	72.38715553	-7.299281071	IOT	British Indian Ocean Territory	1	ANNUAL	ALLAREA	PERCENT																				
2017.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity	86	72.38715553	-7.299281071	IOT	British Indian Ocean Territory	2	ANNUAL	RURAL	PERCENT																				
2017.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity	86	72.38715553	-7.299281071	IOT	British Indian Ocean Territory	3	ANNUAL	URBAN	PERCENT																				
2017.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity	90	160.1584117	-9.622391719	SLB	Solomon Islands	1	ANNUAL	ALLAREA	PERCENT	9.522141	11.330301	13.131217	14.928787	16.726912	18.529486	14.4	12.9	23.995378	21.148152	27.685343	29.539074	31.396305	44.7	35.114559	33.6870562	2014	35.114559		M
2017.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity	90	160.1584117	-9.622391719	SLB	Solomon Islands	2	ANNUAL	RURAL	PERCENT	1.011449	2.061034	4.432054	6.804907	9.185659	11.580379	6.5	5.4	18.895939	21.376171	23.871319	26.377651	28.891439	41.3	33.927097	30.8735012	2014	33.927097		M
2017.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity	90	160.1584117	-9.622391719	SLB	Solomon Islands	3	ANNUAL	URBAN	PERCENT	54.832048	59.275123	56.846264	54.589819	52.493753	50.550083	61.2	68.6	45.541454	20.212157	42.895774	41.794727	40.839887	60.4	39.355252	45.057128	2014	39.355252		M
2017.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity	92	-64.63294223	18.42256578	VGB	British Virgin Islands	1	ANNUAL	ALLAREA	PERCENT																				
2017.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity	92	-64.63294223	18.42256578	VGB	British Virgin Islands	2	ANNUAL	RURAL	PERCENT																				
2017.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity	92	-64.63294223	18.42256578	VGB	British Virgin Islands	3	ANNUAL	URBAN	PERCENT																				
2017.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity	96	114.6288563	4.49736984	BRN	Brunei Darussalam	1	ANNUAL	ALLAREA	PERCENT	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	2014	100		M
2017.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity	96	114.6288563	4.49736984	BRN	Brunei Darussalam	2	ANNUAL	RURAL	PERCENT	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	2014	100		M
2017.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity	96	114.6288563	4.49736984	BRN	Brunei Darussalam	3	ANNUAL	URBAN	PERCENT	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	2014	100		M
2017.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity	100	25.23763153	42.75731323	BGR	Bulgaria	1	ANNUAL	ALLAREA	PERCENT	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	2014	100		M
2017.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity	100	25.23763153	42.75731323	BGR	Bulgaria	2	ANNUAL	RURAL	PERCENT	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	2014	100		M
2017.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity	100	25.23763153	42.75731323	BGR	Bulgaria	3	ANNUAL	URBAN	PERCENT	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	2014	100		M
2017.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity	104	96.51752295	21.19332882	MMR	Myanmar	1	ANNUAL	ALLAREA	PERCENT	45.885635	46.272614	47	47.02874	47.405682	47.787075	48.176823	48.577873	48.989426	49.409725	48.8	50.269577	50.705627	51.143429	52	50.5837266	2014	52		G
2017.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity	104	96.51752295	21.19332882	MMR	Myanmar	2	ANNUAL	RURAL	PERCENT	11.668799	14.132716	16.5924	19.053917	21.523333	24.006716	26.510132	29.038015	31.588268	34.157166	34.3	39.335972	41.938427	44.544605	49	41.8238008	2014	49		G
2017.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity	104	96.51752295	21.19332882	MMR	Myanmar	3	ANNUAL	URBAN	PERCENT				100	100	100	100	94.465297	88.898669	83.548569	89	73.573032	68.940184	64.5368	85.5	76.3100032	2014	85.5		G
2017.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity	108	29.89080992	-3.366387428	BDI	Burundi	1	ANNUAL	ALLAREA	PERCENT	3.936111	4.115075	4.286793	4.455166	4.624092	4.797469	4.979197	5.172233	4.8	5.588053	5.3	6.031871	6.5	6.489688	7	6.2643118	2014	7		G
2017.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity	108	29.89080992	-3.366387428	BDI	Burundi	2	ANNUAL	RURAL	PERCENT	0.810859	0.815356	0.815619	0.817715	0.827711	0.851673	0.895668	0.96413	1.2	1.16444	1	1.424405	1.2	1.714198	2	1.4677206	2014	2		G
2017.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity	108	29.89080992	-3.366387428	BDI	Burundi	3	ANNUAL	URBAN	PERCENT	38.71107	39.814512	40.796893	41.651258	42.368139	42.940192	43.357225	43.625348	39.6	43.797556	49	43.648264	58.5	43.341546	52.1	49.317962	2014	52.1		G
2017.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity	112	28.04940161	53.54193075	BLR	Belarus	1	ANNUAL	ALLAREA	PERCENT	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	2014	100		M
2017.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity	112	28.04940161	53.54193075	BLR	Belarus	2	ANNUAL	RURAL	PERCENT	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	2014	100		M
2017.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity	112	28.04940161	53.54193075	BLR	Belarus	3	ANNUAL	URBAN	PERCENT	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	2014	100		M
